moodys_bvd_id,company_name,risk_level,sector,year,Join_Year,esg_overall,esg_industry_adjusted,env_score,env_weight,social_score,social_weight,gov_score,gov_weight,industry_min,industry_max
AE0043368774,Fifth Element Event Management L.L.C,Take caution,Business Services,2023,2024,5.0,5.0,9.0,5.0,6.0,28.0,5.0,67.0,3.0,8.0
AT9070096767,Zauner Anlagentechnik GmbH,Go ahead,"Industrial, Electric & Electronic Machinery",2023,2024,3.0,1.0,3.0,33.0,3.0,20.0,5.0,47.0,3.0,7.0
AT9070096767,Zauner Anlagentechnik GmbH,Go ahead,"Industrial, Electric & Electronic Machinery",2024,2025,3.0,1.0,3.0,33.0,1.0,20.0,5.0,47.0,3.0,7.0
AT9070096767,Zauner Anlagentechnik GmbH,Go ahead,"Industrial, Electric & Electronic Machinery",2025,2026,3.0,1.0,3.0,33.0,1.0,20.0,5.0,47.0,3.0,7.0
AT9110192427,Flextronics International Gesellschaft m.b.H.,Do not source,Metals & Metal Products,2023,2024,4.0,1.0,4.0,40.0,4.0,25.0,5.0,35.0,4.0,7.0
AT9110192427,Flextronics International Gesellschaft m.b.H.,Do not source,Metals & Metal Products,2024,2025,4.0,0.0,4.0,40.0,2.0,25.0,5.0,35.0,4.0,7.0
AT9110444372,Borealis GmbH,Go ahead,Business Services,2023,2024,4.0,5.0,0.0,13.0,5.0,54.0,5.0,33.0,2.0,7.0
AT9110444372,Borealis GmbH,Go ahead,Business Services,2024,2025,4.0,5.0,1.0,13.0,5.0,54.0,5.0,33.0,2.0,7.0
AT9110447524,Bussetti & Co Gesellschaft m.b.H.,Take caution,"Chemicals, Petroleum, Rubber & Plastic",2023,2024,4.0,4.0,3.0,56.0,0.0,11.0,5.0,33.0,2.0,6.0
AT9110447524,Bussetti & Co Gesellschaft m.b.H.,Take caution,"Chemicals, Petroleum, Rubber & Plastic",2022,2023,4.0,4.0,4.0,56.0,4.0,11.0,5.0,33.0,2.0,6.0
AT9130101386,Bilfinger Life Science GmbH,Take caution,"Industrial, Electric & Electronic Machinery",2023,2024,3.0,1.0,3.0,33.0,1.0,20.0,5.0,47.0,3.0,7.0
AT9130101386,Bilfinger Life Science GmbH,Take caution,"Industrial, Electric & Electronic Machinery",2024,2025,3.0,1.0,3.0,33.0,1.0,20.0,5.0,47.0,3.0,7.0
AT9130101386,Bilfinger Life Science GmbH,Take caution,"Industrial, Electric & Electronic Machinery",2022,2023,3.0,1.0,3.0,33.0,3.0,20.0,5.0,47.0,3.0,7.0
AT9150048865,Constantia Patz Ges.m.b.H.,Go ahead,Metals & Metal Products,2023,2024,4.0,0.0,6.0,35.0,0.0,30.0,5.0,35.0,4.0,7.0
AT9150048865,Constantia Patz Ges.m.b.H.,Go ahead,Metals & Metal Products,2024,2025,4.0,0.0,6.0,35.0,0.0,30.0,5.0,35.0,4.0,7.0
AU006522970,IDT Australia Limited,Do not source,"Chemicals, Petroleum, Rubber & Plastic",2024,2025,3.0,1.0,0.0,9.0,1.0,58.0,6.0,33.0,2.0,6.0
AU006522970,IDT Australia Limited,Do not source,"Chemicals, Petroleum, Rubber & Plastic",2025,2026,3.0,1.0,0.0,9.0,1.0,58.0,6.0,33.0,2.0,6.0
AU090975723,Cogstate LTD,Go ahead,"Public Administration, Education, Health Social Services",2024,2025,3.0,1.0,8.0,5.0,1.0,60.0,6.0,35.0,3.0,7.0
AU090975723,Cogstate LTD,Go ahead,"Public Administration, Education, Health Social Services",2025,2026,4.0,1.0,8.0,5.0,2.0,60.0,6.0,35.0,3.0,7.0
BD30346FE,Unique Hotel & Resorts Limited,Take caution,"Travel, Personal & Leisure",2023,2024,5.0,5.0,5.0,27.0,5.0,36.0,5.0,37.0,3.0,7.0
BD30346FE,Unique Hotel & Resorts Limited,Take caution,"Travel, Personal & Leisure",2024,2025,5.0,5.0,3.0,27.0,6.0,36.0,5.0,37.0,3.0,7.0
BD30346FE,Unique Hotel & Resorts Limited,Take caution,"Travel, Personal & Leisure",2025,2026,5.0,5.0,3.0,27.0,6.0,36.0,5.0,37.0,3.0,7.0
BDFEB18501,BRAC Bank PLC,Go ahead,"Banking, Insurance & Financial Services",2023,2024,4.0,4.0,0.0,13.0,4.0,54.0,5.0,33.0,2.0,7.0
BDFEB18501,BRAC Bank PLC,Go ahead,"Banking, Insurance & Financial Services",2024,2025,4.0,4.0,0.0,13.0,4.0,54.0,5.0,33.0,2.0,7.0
BDFEI1009190,Reliance Insurance Ltd,Go ahead,"Banking, Insurance & Financial Services",2023,2024,3.0,0.0,1.0,20.0,2.0,45.0,5.0,35.0,3.0,7.0
BDFEI1009190,Reliance Insurance Ltd,Go ahead,"Banking, Insurance & Financial Services",2024,2025,3.0,0.0,2.0,5.0,2.0,60.0,5.0,35.0,3.0,7.0
BE0400934652,Citribel,Do not source,"Chemicals, Petroleum, Rubber & Plastic",2023,2024,3.0,2.0,2.0,56.0,1.0,11.0,6.0,33.0,2.0,6.0
BE0400934652,Citribel,Do not source,"Chemicals, Petroleum, Rubber & Plastic",2024,2025,3.0,3.0,2.0,56.0,1.0,11.0,6.0,33.0,2.0,6.0
BE0401304737,Enestia Belgium,Go ahead,Business Services,2023,2024,4.0,3.0,9.0,5.0,1.0,28.0,6.0,67.0,3.0,8.0
BE0401304737,Enestia Belgium,Go ahead,Business Services,2024,2025,4.0,3.0,9.0,5.0,1.0,28.0,6.0,67.0,3.0,8.0
BE0404584525,Kuwait Petroleum - Belgium,Go ahead,Wholesale,2023,2024,5.0,4.0,5.0,23.0,5.0,23.0,5.0,54.0,3.0,7.0
BE0404584525,Kuwait Petroleum - Belgium,Go ahead,Wholesale,2024,2025,5.0,4.0,4.0,23.0,5.0,23.0,5.0,54.0,3.0,7.0
BE0404584525,Kuwait Petroleum - Belgium,Go ahead,Wholesale,2025,2026,5.0,4.0,4.0,23.0,5.0,23.0,5.0,54.0,3.0,7.0
BE0405716158,Tereos Starch & Sweeteners Belgium,Take caution,Food & Tobacco Manufacturing,2023,2024,3.0,2.0,3.0,40.0,3.0,27.0,6.0,33.0,2.0,6.0
BE0405716158,Tereos Starch & Sweeteners Belgium,Take caution,Food & Tobacco Manufacturing,2024,2025,3.0,2.0,1.0,40.0,3.0,27.0,6.0,33.0,2.0,6.0
BE0405716158,Tereos Starch & Sweeteners Belgium,Take caution,Food & Tobacco Manufacturing,2025,2026,3.0,1.0,1.0,40.0,3.0,27.0,5.0,33.0,2.0,6.0
BE0405747040,Prayon,Take caution,"Chemicals, Petroleum, Rubber & Plastic",2023,2024,3.0,3.0,2.0,56.0,3.0,11.0,5.0,33.0,2.0,6.0
BE0405747040,Prayon,Take caution,"Chemicals, Petroleum, Rubber & Plastic",2024,2025,3.0,3.0,2.0,56.0,3.0,11.0,5.0,33.0,2.0,6.0
BE0406117818,DOW Silicones Belgium,Go ahead,"Chemicals, Petroleum, Rubber & Plastic",2023,2024,3.0,2.0,1.0,62.0,7.0,5.0,6.0,33.0,2.0,7.0
BE0406117818,DOW Silicones Belgium,Go ahead,"Chemicals, Petroleum, Rubber & Plastic",2024,2025,3.0,1.0,1.0,62.0,7.0,5.0,6.0,33.0,2.0,7.0
