model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
ANIL,0.7463768115942029,0.9004228231230957,0.8049221615754738,0.30458227743290806,0.38929112204189964,0.16,0.27586206896551724,0.40381232623396246,0.7931034482758621,29,23,0.8,0.17391304347826086,0.8539316501572934,0.9,0.391304347826087,0.9052116356304493,0.9,0.782608695652174,0.9053891932372545,0
ANIL,0.6727941176470589,0.8789238409769554,1.1661947224405558,0.457972503277172,0.5518642334001405,0.05714285714285714,0.21428571428571427,0.257659576123669,0.8095238095238095,42,34,0.8,0.11764705882352941,0.8304198973631918,0.9,0.2647058823529412,0.8899541168509599,0.85,0.5,0.863204197650138,1
ANIL,0.41666666666666663,0.6948296029934588,0.6454476092630121,0.22631479081445333,0.05351582232941973,0.810126582278481,0.6808510638297872,0.6675380366913816,0.6808510638297872,47,32,0.8,0.125,0.8539316501572934,0.8,0.25,0.835780413693672,0.5,0.3125,0.6101296312313969,2
ANIL,0.4885714285714286,0.7606749716157648,1.350893011115398,0.5137685491773935,0.5637574728992251,0.15384615384615385,0.26666666666666666,0.21402030487855275,0.7777777777777778,45,35,0.8,0.11428571428571428,0.6608397947263838,0.7,0.2,0.6378891765242928,0.75,0.42857142857142855,0.693857887583471,3
ANIL,0.7355769230769231,0.8776111623376408,0.6666903732692463,0.23746522381861776,0.3366425870095983,0.5789473684210527,0.5294117647058824,0.4965660633409725,0.7647058823529411,34,26,0.8,0.15384615384615385,0.8304198973631918,0.9,0.34615384615384615,0.8899541168509599,0.9,0.6923076923076923,0.8949170079271888,4
ANIL,0.8743961352657005,0.9531272527773658,0.7378622985888844,0.2730085736950557,0.3704545488581062,0.16,0.34375,0.39356602635234594,0.71875,32,23,1.0,0.21739130434782608,0.9999999999999999,1.0,0.43478260869565216,1.0,0.9,0.782608695652174,0.9318123359164179,5
ANIL,0.5985663082437276,0.8402319068003564,1.1024086891669271,0.4327836498418665,0.5095237661153078,0.0625,0.25,0.2654762338846922,0.775,40,31,0.8,0.12903225806451613,0.8687949224876581,0.8,0.25806451612903225,0.8414929602590189,0.85,0.5483870967741935,0.8613484440615895,6
ANIL,0.3046875,0.7402228674405923,1.0451181086771584,0.4104874165520105,0.48010296113789075,0.16666666666666666,0.25,0.33231713585555556,0.8,40,32,0.8,0.125,0.7860137352654724,0.7,0.21875,0.70937536504841,0.7,0.4375,0.7036364515342495,7
ANIL,0.35789473684210527,0.46999962732347195,0.8030881078986881,0.28778906470985055,0.20663476193493063,0.7272727272727273,0.5909090909090909,0.6801500530405478,0.5681818181818182,44,25,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.36,0.315011584484242,8
ANIL,0.4814814814814815,0.6851530589547594,0.7142686165300497,0.2563226472754337,0.23049789112667704,0.7714285714285715,0.627906976744186,0.7165614380392917,0.627906976744186,43,27,0.8,0.14814814814814814,0.8304198973631918,0.8,0.2962962962962963,0.8236998933965709,0.55,0.4074074074074074,0.6367584490714719,9
ANIL,0.4885714285714286,0.7606749716157648,1.350893011115398,0.5137685491773935,0.5637574728992251,0.15384615384615385,0.26666666666666666,0.21402030487855275,0.7777777777777778,45,35,0.8,0.11428571428571428,0.6608397947263838,0.7,0.2,0.6378891765242928,0.75,0.42857142857142855,0.693857887583471,10
ANIL,0.7913043478260869,0.8787141324805122,0.6818012445704684,0.24502448677258795,0.2550595195004434,0.2222222222222222,0.36363636363636365,0.4592642215165225,0.696969696969697,33,23,0.8,0.17391304347826086,0.8539316501572934,0.9,0.391304347826087,0.9052116356304493,0.85,0.7391304347826086,0.8709783835652339,11
ANIL,0.8,0.9014149422430181,0.7122772440199246,0.25975859272074975,0.33161022082755437,0.47368421052631576,0.47368421052631576,0.4344557311974074,0.7368421052631579,38,28,0.8,0.14285714285714285,0.8687949224876581,0.9,0.32142857142857145,0.914856882358379,0.9,0.6428571428571429,0.9121864413604369,12
ANIL,0.4518518518518519,0.6820761276001148,0.7265418653073128,0.25899608306661426,0.2242828408877055,0.782608695652174,0.6428571428571429,0.7316627161843436,0.6428571428571429,42,27,0.8,0.14814814814814814,0.8539316501572934,0.7,0.25925925925925924,0.7695261902392829,0.55,0.4074074074074074,0.6358451006443685,13
ANIL,0.2927350427350427,0.4681003994148365,0.7770210771999064,0.28185160221213973,0.32806739752942865,0.7575757575757576,0.6363636363636364,0.6435300220142711,0.5909090909090909,44,26,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.34615384615384615,0.315011584484242,14
ANIL,0.24728260869565216,0.4553384304472382,0.7975442537152844,0.29044913408034617,0.23965992300938338,0.7213114754098361,0.5641025641025641,0.6684490480484107,0.5897435897435898,39,23,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.391304347826087,0.315011584484242,15
ANIL,0.5077399380804954,0.6742423624560732,0.7666455907566463,0.26529236485304414,0.19180510966282976,0.7816091954022989,0.6415094339622641,0.8333145436250938,0.6415094339622641,53,34,0.8,0.11764705882352941,0.8304198973631918,0.6,0.17647058823529413,0.6906478832608419,0.5,0.29411764705882354,0.5894100205865709,16
ANIL,0.34210526315789475,0.4731741570283172,0.8253628654375835,0.29902271760056504,0.2500808050235112,0.7272727272727273,0.6,0.6356147080659866,0.5777777777777777,45,26,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.34615384615384615,0.32119516015534416,17
ANIL,0.34895833333333337,0.5901592873619859,0.7068841698801309,0.25306444516466553,0.23958221018314363,0.75,0.6,0.609243990778923,0.64,50,32,0.6,0.09375,0.6548086577531306,0.4,0.125,0.49828993591603116,0.5,0.3125,0.5416237787585769,18
ANIL,0.888888888888889,0.9630634233453224,0.7092446988853658,0.2583433202478043,0.3557870652940538,0.5,0.5,0.42416608499156105,0.75,36,27,1.0,0.18518518518518517,0.9999999999999999,1.0,0.37037037037037035,1.0,0.95,0.7037037037037037,0.9665625086152865,19
