model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
MAML,0.2536231884057971,0.7325076644381183,1.3752803534945988,0.5290448522317173,0.5971517254566324,0.0,0.20689655172413793,0.19595172281922965,0.7931034482758621,29,23,0.8,0.17391304347826086,0.7860137352654724,0.7,0.30434782608695654,0.7164850636933812,0.7,0.6086956521739131,0.7049810407866415,0
MAML,0.7389705882352942,0.9273537118531712,1.0428574871090848,0.41372435770209687,0.5130373537540436,0.0,0.19047619047619047,0.29648645576976596,0.8095238095238095,42,34,1.0,0.14705882352941177,0.9999999999999999,1.0,0.29411764705882354,1.0,0.95,0.5588235294117647,0.9603789329441843,1
MAML,0.3020833333333333,0.631408362563626,0.6964088667216498,0.2516318238062958,0.18190751367426933,0.2926829268292683,0.3829787234042553,0.4989435501555179,0.6808510638297872,47,32,0.4,0.0625,0.5531464700081437,0.6,0.1875,0.6464018466408364,0.55,0.34375,0.6008540818698413,2
MAML,0.6942857142857143,0.9038527527759134,1.3656502447100698,0.5264711982663441,0.595336964726448,0.0,0.2222222222222222,0.18244081305132973,0.7777777777777778,45,35,1.0,0.14285714285714285,0.9999999999999999,1.0,0.2857142857142857,1.0,0.95,0.5428571428571428,0.9603789329441843,3
MAML,0.2403846153846154,0.6842504497125742,0.665637007197812,0.23624764591604977,0.23577283410465016,0.8666666666666667,0.7647058823529411,0.5453885267762577,0.7647058823529411,34,26,0.8,0.15384615384615385,0.7860137352654724,0.5,0.19230769230769232,0.576323354912681,0.65,0.5,0.6496451095333327,4
MAML,0.3091787439613527,0.7029711751156711,0.6009670053476324,0.20538280903518324,0.21532486379146573,0.8363636363636363,0.71875,0.7197182886302471,0.71875,32,23,0.8,0.17391304347826086,0.8687949224876581,0.6,0.2608695652173913,0.7007731679885374,0.6,0.5217391304347826,0.6606512351850564,5
MAML,0.2150537634408602,0.6623466240304776,0.7007491444051722,0.25382317542041344,0.2688144326210022,0.5283018867924528,0.375,0.5061855673789978,0.775,40,31,0.2,0.03225806451612903,0.3391602052736161,0.5,0.16129032258064516,0.4977962688668735,0.6,0.3870967741935484,0.5759406752371589,6
MAML,0.61328125,0.8724890725342602,1.2571522549901775,0.4950504007018083,0.5792639590799809,0.0,0.2,0.22073604092001914,0.8,40,32,0.8,0.125,0.8687949224876581,0.9,0.28125,0.914856882358379,0.9,0.5625,0.9086951239394752,7
MAML,0.29052631578947374,0.5368094569505781,0.7232322791353183,0.2631436889881042,0.1173318705775521,0.7246376811594203,0.5681818181818182,0.6855136887593702,0.5681818181818182,44,25,0.6,0.12,0.7227265726449517,0.4,0.16,0.5352543167750637,0.45,0.36,0.5226145380547564,8
MAML,0.5347222222222222,0.6684579004165239,8.540946385747919,0.6279054157301978,0.6279057348613388,0.0,0.37209302325581395,1.2418828471836182e-06,0.627906976744186,43,27,0.6,0.1111111111111111,0.6548086577531306,0.5,0.18518518518518517,0.5669450709942981,0.7,0.5185185185185185,0.6881821975817618,9
MAML,0.6942857142857143,0.9038527527759134,1.3656502447100698,0.5264711982663441,0.595336964726448,0.0,0.2222222222222222,0.18244081305132973,0.7777777777777778,45,35,1.0,0.14285714285714285,0.9999999999999999,1.0,0.2857142857142857,1.0,0.95,0.5428571428571428,0.9603789329441843,10
MAML,0.2782608695652174,0.6389622124481341,0.6858814345906096,0.24636974591030564,0.18067476604924046,0.8,0.6666666666666666,0.5323895179864132,0.696969696969697,33,23,0.8,0.17391304347826086,0.7860137352654724,0.5,0.21739130434782608,0.576323354912681,0.55,0.4782608695652174,0.5838651339269446,11
MAML,0.35000000000000003,0.6890853664426035,0.6948471581007774,0.2508502798365973,0.22680168481249555,0.5833333333333334,0.47368421052631576,0.5100404204506623,0.7368421052631579,38,28,0.8,0.14285714285714285,0.7860137352654724,0.5,0.17857142857142858,0.576323354912681,0.7,0.5,0.6881882887902098,12
MAML,0.40493827160493817,0.6614703416291152,0.6534555708913298,0.2304351708378818,0.07335839101246426,0.782608695652174,0.6428571428571429,0.6772167285283407,0.6428571428571429,42,27,0.6,0.1111111111111111,0.7227265726449517,0.6,0.2222222222222222,0.6772733739526908,0.65,0.48148148148148145,0.6913573388621517,13
MAML,0.264957264957265,0.533336289473536,0.687904555813808,0.24732577129563432,0.02056418901140038,0.7428571428571429,0.5909090909090909,0.5703449018976905,0.5909090909090909,44,26,0.8,0.15384615384615385,0.7860137352654724,0.4,0.15384615384615385,0.510069131458292,0.4,0.3076923076923077,0.4728703903475532,14
MAML,0.32608695652173914,0.5713996983946499,1.9359535991045482,0.5450667978770019,0.5504858190050492,0.0,0.41025641025641024,0.03925777073854055,0.5897435897435898,39,23,0.8,0.17391304347826086,0.7860137352654724,0.5,0.21739130434782608,0.576323354912681,0.5,0.43478260869565216,0.553230211448832,15
MAML,0.411764705882353,0.6494271244015908,0.6665144991831561,0.2367560137831243,0.12862954612048166,0.7816091954022989,0.6415094339622641,0.5924962792756423,0.6415094339622641,53,34,0.8,0.11764705882352941,0.8687949224876581,0.4,0.11764705882352941,0.5637884576902256,0.65,0.38235294117647056,0.6829733036635044,16
MAML,0.3461538461538462,0.5839102349583676,0.8396566655520783,0.3028358307377005,0.2589704354604086,0.7323943661971831,0.5777777777777777,0.8182546112272474,0.5777777777777777,45,26,0.8,0.15384615384615385,0.8687949224876581,0.5,0.19230769230769232,0.6274092458891772,0.5,0.38461538461538464,0.5813284830951001,17
MAML,0.6041666666666666,0.739235092186602,3.0129903974953662,0.35983167362412133,0.3597736239433288,0.7804878048780488,0.64,0.9997736239433288,0.64,50,32,0.8,0.125,0.7860137352654724,0.9,0.28125,0.8611375561264455,0.6,0.375,0.6681623389552228,18
MAML,0.34156378600823045,0.7140913444053949,0.580961915490895,0.195605552375387,0.0752312143643697,0.8571428571428571,0.75,0.6747687856356303,0.75,36,27,0.6,0.1111111111111111,0.7227265726449517,0.5,0.18518518518518517,0.6059848036189865,0.7,0.5185185185185185,0.713377166310342,19
