model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
ZERO_SHOT,0.67,0.8217367779592492,1.0901393545374232,0.41405864759079075,0.48792396472259,0.09523809523809523,0.3090909090909091,0.2535990954800086,0.7272727272727273,55,40,0.6,0.075,0.7227265726449517,0.8,0.2,0.8200685179888283,0.85,0.425,0.8515398054016624,0
ZERO_SHOT,0.5062500000000001,0.741305601521643,1.2097885993529074,0.42144331779485983,0.43392464078645754,0.11764705882352941,0.3617021276595745,0.24692642304332965,0.6808510638297872,47,32,0.8,0.125,0.8687949224876581,0.8,0.25,0.84860265890399,0.65,0.40625,0.7251142205270869,1
ZERO_SHOT,0.6104166666666666,0.7465511614536791,0.9689150639737687,0.3607217586868182,0.37620388832874596,0.09523809523809523,0.40625,0.2562822832260281,0.625,64,40,0.8,0.1,0.8539316501572934,0.8,0.2,0.8268133666517739,0.85,0.425,0.8547935102626374,2
ZERO_SHOT,0.43359374999999994,0.5968254642334931,1.0804775777753826,0.3720684838295331,0.3292450347715722,0.11764705882352941,0.4642857142857143,0.24932822408819838,0.5714285714285714,56,32,0.6,0.09375,0.7227265726449517,0.6,0.1875,0.6780494608112012,0.55,0.34375,0.6172748033920451,3
ZERO_SHOT,0.5814814814814815,0.7915987917976509,1.106227468458002,0.3946928400905325,0.4341363192846378,0.10526315789473684,0.3333333333333333,0.2717460336565387,0.7058823529411765,51,36,0.8,0.1111111111111111,0.8687949224876581,0.8,0.2222222222222222,0.8512360941594274,0.75,0.4166666666666667,0.8009821589920146,4
ZERO_SHOT,0.5104166666666667,0.6681895460813804,0.9938536462816986,0.37084238228326516,0.3672412431333214,0.09523809523809523,0.40625,0.26524492842145264,0.625,64,40,0.6,0.075,0.7227265726449517,0.7,0.175,0.7416702490101529,0.65,0.325,0.691410710179985,5
ZERO_SHOT,0.5249999999999999,0.6831661437546037,0.9847059613025905,0.36690379942326135,0.36426163162104785,0.09523809523809523,0.40625,0.2682245399337262,0.625,64,40,0.8,0.1,0.8539316501572934,0.7,0.175,0.7534494445524138,0.65,0.325,0.7032334496322029,6
ZERO_SHOT,0.5666666666666667,0.7940327431735432,1.0902537266360768,0.41284488277139586,0.47235209305178033,0.09523809523809523,0.3090909090909091,0.265864333645864,0.7272727272727273,55,40,0.8,0.1,0.8687949224876581,0.8,0.2,0.8512360941594274,0.75,0.375,0.8009821589920146,7
ZERO_SHOT,0.41666666666666663,0.535896085350577,0.9709692501749065,0.32899110191099423,0.24862611434207516,0.11764705882352941,0.5384615384615384,0.24983700098326572,0.49230769230769234,65,32,0.6,0.09375,0.7227265726449517,0.6,0.1875,0.6780494608112012,0.55,0.34375,0.6167481239727878,8
ZERO_SHOT,0.6875,0.7320207252262605,0.9837382946078919,0.34926634591477596,0.3509131255559623,0.0,0.4,0.24908687444403768,0.6,60,36,0.6,0.08333333333333333,0.49125969208957565,0.8,0.2222222222222222,0.6698623505528797,0.85,0.4722222222222222,0.7535024491648005,9
