department,n_unique_contracts,gold_total,gold_coverage_pct
Devices & Needles,476,62.0,13.03
Drug Product Outsourcing,300,0.0,0.0
Drug Substance Outsourcing,298,0.0,0.0
Packaging Material,289,12.0,4.15
Raw Materials & Energy,281,0.0,0.0
"Quality, Production Services & Supplies",215,0.0,0.0
Bioprocessing & Raw Materials,113,0.0,0.0
Logistics,94,9.0,9.57
Bioprocessing and Excipients,59,1.0,1.69
"Alliance, Acquisitions & PPM CoE",35,0.0,0.0
Strategic Sourcing US Hub,9,0.0,0.0
Global Strategic Outsourcing & Devices,8,0.0,0.0
HI Warehouse Expansion Program,8,0.0,0.0
"Strategy, Sourcing & Negotiation CoE",2,0.0,0.0
