department,mean,std,min,max
"Alliance, Acquisitions & PPM CoE",0.7607802414969824,0.26279188020898875,0.2075296209178318,0.9999999999948715
Bioprocessing & Raw Materials,0.5861763051218606,0.30179362870495924,0.0001815743459554,0.9999999999956816
Bioprocessing and Excipients,0.6336458569482554,0.3051665002368571,0.0078112911367032,0.9999999999948715
Devices & Needles,0.49709775647762433,0.3171627499437693,0.0001815743459554,0.9999999999956816
Drug Product Outsourcing,0.37240337062866646,0.1886786442031165,0.0028260591535637,0.9999999999948715
Drug Substance Outsourcing,0.5083589235296386,0.25660142092704596,0.0091421133624223,0.9999999999956816
Global Strategic Outsourcing & Devices,0.4061352123348193,0.11815825390316134,0.0418089730318597,0.6214129767407507
HI Warehouse Expansion Program,0.28399487388410405,0.18765332402622936,0.0240943570217065,0.4420262372792088
Logistics,0.3357984667497833,0.39512085108250694,3.5883713872940296e-06,0.9999999999999784
Packaging Material,0.6113100023783371,0.2868545789579373,0.0014380204554809,0.9999999999956816
"Quality, Production Services & Supplies",0.5611774751253061,0.30918047278071764,8.542921937126934e-05,0.9999999999956816
Raw Materials & Energy,0.6497870568073039,0.29121731918160404,0.0011669437168893,0.9999999999982117
Strategic Sourcing US Hub,0.366260027106583,0.0815795527142301,0.1926432168410685,0.4420262372792088
"Strategy, Sourcing & Negotiation CoE",0.4420262372792088,0.0,0.4420262372792088,0.4420262372792088
