target_department,candidate_bucket,contract_id,contract_name,supplier_id,supplier_display_name,department,renegotiation_prob,contract_age_years,years_to_expiry_capped,payment_terms,incoterms,contract_value_dkk
Drug Product Outsourcing,likely_yes_high_score,8174,Vetter_Master_2012_SA,17460,VETTER PHARMA INTERNATIONAL GMBH,Drug Product Outsourcing,0.9999999999843536,13,,F045 Invoice Date + 45 days,EXW Ex works,
Drug Product Outsourcing,likely_yes_high_score,40257,Merck Life Science AS_Stand-alone_2020_LOA_Building FF HAC (Former BFK) SUS project,5713,MERCK LIFE SCIENCE A/S,Drug Product Outsourcing,0.9999999563714432,5,,F045 Invoice Date + 45 days,DDP Delivered duty paid,0.0
Drug Product Outsourcing,likely_yes_high_score,8149,Patheon_Call-off_2019_WO1_Ed1ProjectPhase,13280,"PATHEON MANUFACTURING SERVICES, LLC",Drug Product Outsourcing,0.9999999563714432,6,,F045 Invoice Date + 45 days,,31500000.0
Drug Product Outsourcing,likely_yes_high_score,42718,Merck Life Science AS_Stand alone_2020_Environmental Program Appendix,5713,MERCK LIFE SCIENCE A/S,Drug Product Outsourcing,0.9999999563714432,5,,,,0.0
Drug Product Outsourcing,likely_yes_high_score,8177,Vetter_Call-off_2019_WO2_CR14FormatParts,17460,VETTER PHARMA INTERNATIONAL GMBH,Drug Product Outsourcing,0.9999999357574836,6,,F045 Invoice Date + 45 days,,9685000.0
Drug Product Outsourcing,likely_yes_high_score,94858,Catalent Belgium_Call-off_2020_OA_AA2_Extension,12599,CATALENT BELGIUM SA C/O LIVLINA,Drug Product Outsourcing,0.9999998898635488,5,,F030 Invoice Date + 30 days,FCA Free carrier,391516758.25
Drug Product Outsourcing,likely_yes_high_score,24404,Catalent_Call-off_2020_WO01_CPV,12599,CATALENT BELGIUM SA C/O LIVLINA,Drug Product Outsourcing,0.9999998898635488,5,,,,171722.5
Drug Product Outsourcing,likely_yes_high_score,35513,Catalent_Call-off_2020_WO15_PPQ SEMA D,12599,CATALENT BELGIUM SA C/O LIVLINA,Drug Product Outsourcing,0.9999998898635488,5,,F030 Invoice Date + 30 days,,10463554.8
Drug Product Outsourcing,likely_yes_high_score,19458,Catalent Belgium_Call-off_2019_WO16_SEMA_D_compensation,12599,CATALENT BELGIUM SA C/O LIVLINA,Drug Product Outsourcing,0.9999998898635488,6,,,,10430000.0
Drug Product Outsourcing,likely_yes_high_score,8131,Catalent Belgium_Call-off_2019_WO2rev2_SafetyStock,12599,CATALENT BELGIUM SA C/O LIVLINA,Drug Product Outsourcing,0.9999998898635488,6,,,,15740658.0
Drug Product Outsourcing,likely_no_low_score,410223,Catalent_Call-off_2024_WO#01_PPQ batches,343257,CATALENT ANAGNI S.R.L.,Drug Product Outsourcing,0.0033741625545646,1,,F030 Invoice Date + 30 days,FCA Free carrier,10776960.0
Drug Product Outsourcing,likely_no_low_score,441935,Nichepharm_WO_06082024_TT,304916,NICHEPHARM LIFE SCIENCES PVT LIMITE,Drug Product Outsourcing,0.0245882389422413,1,,F030 Invoice Date + 30 days,DDP Delivered duty paid,4950000.0
Drug Product Outsourcing,likely_no_low_score,476611,Nichepharm_Master_2024_Outsourcing Agreement,304916,NICHEPHARM LIFE SCIENCES PVT LIMITE,Drug Product Outsourcing,0.0245882389422413,1,,F060 Invoice Date + 60 days,DAP Del.at Place-excl.unloading,92400000.0
Drug Product Outsourcing,likely_no_low_score,304516,Ypsomed_Call-off_2023_Consent to Disclosure,12627,YPSOMED AG,Drug Product Outsourcing,0.0752129040665659,2,,F060 Invoice Date + 60 days,FCA Free carrier,0.0
Drug Product Outsourcing,likely_no_low_score,570094,SwissCo_Call-Off_2025_OA_WO4_Needle protrusion test on syringes for PFS1 line (March25 lots),304221,SWISSCO CDMO OPERATIONS GMBH,Drug Product Outsourcing,0.1012152509083737,0,1.0,F045 Invoice Date + 45 days,FCA Free carrier,795991.525
Drug Product Outsourcing,likely_no_low_score,475236,Catalent_Anagni_Call-off_2024_OA_AA3_PFS1,304221,SWISSCO CDMO OPERATIONS GMBH,Drug Product Outsourcing,0.1012152509083737,1,2.0,F045 Invoice Date + 45 days,FCA Free carrier,0.0
Drug Product Outsourcing,likely_no_low_score,312702,Catalent Cham_Stand-alone_2023_MOU (Belgium settlement),304221,SWISSCO CDMO OPERATIONS GMBH,Drug Product Outsourcing,0.1012152509083737,2,1.0,F030 Invoice Date + 30 days,,0.0
Drug Product Outsourcing,likely_no_low_score,312026,Catalent Cham_Master_2023_OA_Anagni PFS,304221,SWISSCO CDMO OPERATIONS GMBH,Drug Product Outsourcing,0.1012152509083737,2,,F045 Invoice Date + 45 days,FCA Free carrier,774800000.0
Drug Product Outsourcing,likely_no_low_score,570121,SwissCo_Call-Off_2025_OA_WO7_New filling kit,304221,SWISSCO CDMO OPERATIONS GMBH,Drug Product Outsourcing,0.1012152509083737,0,1.0,F045 Invoice Date + 45 days,FCA Free carrier,4738349.0
Drug Product Outsourcing,likely_no_low_score,570126,SwissCo_Call-Off_2025_OA_WO8_Needle protrusion test April lots,304221,SWISSCO CDMO OPERATIONS GMBH,Drug Product Outsourcing,0.1012152509083737,0,1.0,F045 Invoice Date + 45 days,FCA Free carrier,795991.525
Drug Product Outsourcing,uncertain_near_0_5,579009,BioFarma_Master_2025_Sales agreement_RECORD Only,395542,PT BIO FARMA (PERSERO),Drug Product Outsourcing,0.4571218105786734,0,5.0,F060 Invoice Date + 60 days,DAT Del.at Terminal-incl.unloading,0.0
Drug Product Outsourcing,uncertain_near_0_5,578841,Saudi Bio_Call-Off (Sales)_2025_Secondary pack (Sema),193385,SAUDI BIOTECHNOLOGY MANUFACTURING C,Drug Product Outsourcing,0.4571218105786734,0,6.0,F210 Invoice Date + 210 days,,0.0
