experiment_id,method,init_name,n_support_pos,n_support_neg,inner_steps,target_department,status,gold_auroc_mean,gold_logloss_mean,ndcg_at_10_mean,gold_ece_mean,precision_at_10_mean
stage2__init-A_weak_only__method-maml__kpos-2__kneg-2__steps-3__target-Devices-&-Needles__lr-0.001,maml,A_weak_only,2,2,3,Devices & Needles,success,0.7789570792017834,0.9132813754451028,0.6899685395620402,0.340907451592092,0.795
stage2__init-A_weak_only__method-fomaml__kpos-2__kneg-2__steps-5__target-Devices-&-Needles__lr-0.001,fomaml,A_weak_only,2,2,5,Devices & Needles,success,0.7230623838342235,0.7061087596681928,0.7002058349020931,0.2845797722780112,0.77
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-3__target-Devices-&-Needles,anil,A_weak_only,2,2,3,Devices & Needles,success,0.6886020771015271,0.6469979781780106,0.8931016612211808,0.2064678607449004,0.925
stage2__init-A_weak_only__method-zero_shot__kpos-2__kneg-2__steps-3__target-Devices-&-Needles,zero_shot,A_weak_only,2,2,3,Devices & Needles,success,0.6492973328502302,1.5528971918416583,1.0,0.4650148320344217,1.0
stage2__init-A_weak_only__method-zero_shot__kpos-2__kneg-2__steps-5__target-Logistics,zero_shot,A_weak_only,2,2,5,Logistics,success,0.6337635296403165,2.0602508923330203,0.7887610667531434,0.5854917943901207,0.79
stage2__init-A_weak_only__method-zero_shot__kpos-2__kneg-2__steps-3__target-Logistics,zero_shot,A_weak_only,2,2,3,Logistics,success,0.6337635296403165,2.0602508923330203,0.7887610667531434,0.5854917943901207,0.79
stage2__init-A_weak_only__method-zero_shot__kpos-2__kneg-2__steps-1__target-Logistics,zero_shot,A_weak_only,2,2,1,Logistics,success,0.6337635296403165,2.0602508923330203,0.7887610667531434,0.5854917943901207,0.79
stage2__init-A_weak_only__method-maml__kpos-2__kneg-2__steps-3__target-Logistics__lr-0.005,maml,A_weak_only,2,2,3,Logistics,success,0.5911436492108927,0.9931991538338424,0.7570045726074757,0.2144625410269566,0.7449999999999999
stage2__init-A_weak_only__method-maml__kpos-2__kneg-2__steps-3__target-Packaging-Material__lr-0.001,maml,A_weak_only,2,2,3,Packaging Material,success,0.5889516519360269,0.8409372763243264,0.7949574910753426,0.2869851882803447,0.7500000000000001
stage2__init-A_weak_only__method-maml__kpos-2__kneg-2__steps-5__target-Logistics__lr-0.0005,maml,A_weak_only,2,2,5,Logistics,success,0.5854119437506944,0.631196769085574,0.7033718285602716,0.1275340165103188,0.6849999999999999
stage2__init-A_weak_only__method-zero_shot__kpos-2__kneg-2__steps-3__target-Packaging-Material,zero_shot,A_weak_only,2,2,3,Packaging Material,success,0.5449317655723906,1.021923194070116,0.7321454750602359,0.3583628293126651,0.715
stage2__init-A_weak_only__method-maml__kpos-2__kneg-2__steps-5__target-Logistics__lr-0.01,maml,A_weak_only,2,2,5,Logistics,success,0.5438998796345756,1.3680800435425735,0.6779951356476788,0.3120678016357363,0.6900000000000001
stage2__init-A_weak_only__method-maml__kpos-2__kneg-2__steps-5__target-Logistics,maml,A_weak_only,2,2,5,Logistics,success,0.5438998796345756,1.3680800435425735,0.6779951356476788,0.3120678016357363,0.6900000000000001
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-5__target-Logistics,anil,A_weak_only,2,2,5,Logistics,success,0.5418224906264986,0.8545554859706707,0.6474889691091805,0.3335988865835237,0.635
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-3__target-Logistics,anil,A_weak_only,2,2,3,Logistics,success,0.5205383338471303,0.8565336518997281,0.6433591647039131,0.3372303945179754,0.635
stage2__init-A_weak_only__method-fomaml__kpos-2__kneg-2__steps-5__target-Packaging-Material__lr-0.001,fomaml,A_weak_only,2,2,5,Packaging Material,success,0.5157767781986532,0.7430353759809644,0.7611010929729084,0.1664707165418407,0.7
stage2__init-A_weak_only__method-fomaml__kpos-2__kneg-2__steps-5__target-Logistics__lr-0.005,fomaml,A_weak_only,2,2,5,Logistics,success,0.5152931516269412,0.6524195246024724,0.7219102122779651,0.1323012723482038,0.6799999999999999
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-5__target-Logistics,finetune,A_weak_only,2,2,5,Logistics,success,0.503264428182663,8.111464322521439,0.6988845347980265,0.4670581836706152,0.6749999999999999
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-3__target-Logistics,finetune,A_weak_only,2,2,3,Logistics,success,0.503264428182663,8.111464322521439,0.6988845347980265,0.4670581836706152,0.6749999999999999
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-1__target-Logistics,finetune,A_weak_only,2,2,1,Logistics,success,0.503264428182663,8.111464322521439,0.6988845347980265,0.4670581836706152,0.6749999999999999
stage2__init-A_weak_only__method-fomaml__kpos-2__kneg-2__steps-5__target-Logistics,fomaml,A_weak_only,2,2,5,Logistics,success,0.5025399127257044,0.6393612284319609,0.7187429999166546,0.1146766531398212,0.715
stage2__init-A_weak_only__method-fomaml__kpos-2__kneg-2__steps-5__target-Logistics__lr-0.01,fomaml,A_weak_only,2,2,5,Logistics,success,0.5025399127257044,0.6393612284319609,0.7187429999166546,0.1146766531398212,0.715
