experiment_id,method,init_name,target_department,n_support_pos,n_support_neg,inner_steps,inner_lr,meta_batch_size,status,n_episodes_diagnosed,collapse_rate,pred_mean_mean,pred_std_mean,gold_auroc_mean,gold_auroc_std,gold_ap_mean,gold_ap_std,gold_logloss_mean,gold_logloss_std,gold_brier_mean,gold_brier_std,gold_ece_mean,gold_ece_std,gold_f1_mean,gold_f1_std,ndcg_at_10_mean,ndcg_at_10_std,precision_at_10_mean,recall_at_10_mean
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-1__target-Logistics,anil,A_weak_only,Logistics,2,2,1,0.01,4,success,20,0.0,0.4995070606470108,0.1118890298530459,0.4142415146393279,0.1733647439131936,0.6782824238792157,0.1351846739010196,0.8809517626131165,0.2425804452994756,0.3269602879186399,0.0974709435357477,0.3470814976974092,0.1309906695899417,0.4838773000367323,0.2566455557799773,0.5750583959876097,0.2866279457870099,0.5650000000000001,0.2027954612755784
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-3__target-Logistics,anil,A_weak_only,Logistics,2,2,3,0.01,4,success,20,0.0,0.5040295481681824,0.0975835675373673,0.5205383338471303,0.2021762497103807,0.7231255573627404,0.1614118202587441,0.8565336518997281,0.2191571320850945,0.3171928566560854,0.0917043103667011,0.3372303945179754,0.1417412017538742,0.4837438859586169,0.2785247868818995,0.6433591647039131,0.3413918185471322,0.635,0.2251945317286718
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-5__target-Logistics,anil,A_weak_only,Logistics,2,2,5,0.01,4,success,20,0.0,0.50406943410635,0.0977765876799821,0.5418224906264986,0.2012325515330894,0.7324077674168323,0.1655952111134873,0.8545554859706707,0.2158974945107903,0.3163032996245335,0.0908036771988202,0.3335988865835237,0.1376687839478177,0.4759030682481998,0.2874117642921814,0.6474889691091805,0.3460183541376704,0.635,0.2251945317286718
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-1__target-Logistics,finetune,A_weak_only,Logistics,2,2,1,0.01,4,success,20,0.9,0.4797937154770425,0.0279143201554104,0.503264428182663,0.0331255186745396,0.7012613880353864,0.0856571550473884,8.111464322521439,4.265014208911133,0.4617093536503899,0.208937749246085,0.4670581836706152,0.2043897336698992,0.4221645512524844,0.4234776001817801,0.6988845347980265,0.1137788807544866,0.6749999999999999,0.236294572013603
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-3__target-Logistics,finetune,A_weak_only,Logistics,2,2,3,0.01,4,success,20,0.9,0.4797937154770425,0.0279143201554104,0.503264428182663,0.0331255186745396,0.7012613880353864,0.0856571550473884,8.111464322521439,4.265014208911133,0.4617093536503899,0.208937749246085,0.4670581836706152,0.2043897336698992,0.4221645512524844,0.4234776001817801,0.6988845347980265,0.1137788807544866,0.6749999999999999,0.236294572013603
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-5__target-Logistics,finetune,A_weak_only,Logistics,2,2,5,0.01,4,success,20,0.9,0.4797937154770425,0.0279143201554104,0.503264428182663,0.0331255186745396,0.7012613880353864,0.0856571550473884,8.111464322521439,4.265014208911133,0.4617093536503899,0.208937749246085,0.4670581836706152,0.2043897336698992,0.4221645512524844,0.4234776001817801,0.6988845347980265,0.1137788807544866,0.6749999999999999,0.236294572013603
stage2__init-A_weak_only__method-fomaml__kpos-2__kneg-2__steps-1__target-Logistics,fomaml,A_weak_only,Logistics,2,2,1,0.01,4,success,20,1.0,0.4796831997402478,0.0025705856678541,0.4777253775732236,0.0906328680200252,0.6926507935697718,0.0936170028679735,1.1693020023825855,1.48437653486541,0.2942899597259382,0.1608370633931326,0.2194874421394429,0.204393891498877,0.7303013462522986,0.248764008358714,0.6724272199652929,0.138465227353519,0.655,0.2327153289928071
stage2__init-A_weak_only__method-fomaml__kpos-2__kneg-2__steps-3__target-Logistics,fomaml,A_weak_only,Logistics,2,2,3,0.01,4,success,20,1.0,0.5955141335725784,0.0026788031042087,0.4899119730325473,0.0253623951957717,0.6931223481867691,0.0870786406316696,0.6443805249120211,0.0278536546848567,0.2258224128607309,0.0136928896837989,0.1226406558231289,0.0810348297167788,0.8194826328020062,0.0564480847822197,0.6924273748988102,0.087381974034051,0.69,0.2404507787282568
stage2__init-A_weak_only__method-fomaml__kpos-2__kneg-2__steps-5__target-Logistics,fomaml,A_weak_only,Logistics,2,2,5,0.01,4,success,20,1.0,0.5969081580638885,0.0021521736241993,0.5025399127257044,0.0319299667128876,0.7007598061590171,0.0852181208606275,0.6393612284319609,0.0282924637024505,0.2233442410687073,0.0139758738562586,0.1146766531398212,0.0756411504113335,0.8194826328020062,0.0564480847822197,0.7187429999166546,0.0863627629148378,0.715,0.2510695078252468
stage2__init-A_weak_only__method-maml__kpos-2__kneg-2__steps-1__target-Logistics,maml,A_weak_only,Logistics,2,2,1,0.01,4,success,20,0.8,0.6412133595917112,0.0077854328432181,0.4676073790284887,0.193760720348112,0.7184054297245603,0.1139177581151903,2.412279780458557,2.587686735474711,0.3722587380671066,0.1885244691068824,0.3502597686533724,0.2145481391426058,0.6042299176808701,0.3518421558138109,0.7115664680386722,0.1625742274765906,0.6849999999999999,0.2446114140718082
stage2__init-A_weak_only__method-maml__kpos-2__kneg-2__steps-3__target-Logistics,maml,A_weak_only,Logistics,2,2,3,0.01,4,success,20,0.35,0.4724174602637731,0.0197998497937845,0.4107143908352316,0.1657652494565737,0.700360881375341,0.115548747220551,1.4046348534896036,1.7356089702852977,0.3471986701171154,0.1377101672245935,0.3200836943576534,0.2051940498837824,0.4654543096637242,0.3635441733768388,0.6864734302851956,0.1670002086749579,0.625,0.2182054579758564
stage2__init-A_weak_only__method-maml__kpos-2__kneg-2__steps-5__target-Logistics,maml,A_weak_only,Logistics,2,2,5,0.01,4,success,20,0.95,0.4326616424310486,0.0040235330594441,0.5438998796345756,0.1482099331942354,0.7310497963016506,0.1127251742523503,1.3680800435425735,1.3820445961135102,0.3541615392154566,0.192375367612624,0.3120678016357363,0.230939717487624,0.4957230473429505,0.4067774708623028,0.6779951356476788,0.2119926081932733,0.6900000000000001,0.2482332598081607
stage2__init-A_weak_only__method-zero_shot__kpos-2__kneg-2__steps-1__target-Logistics,zero_shot,A_weak_only,Logistics,2,2,1,0.01,4,success,20,0.0,0.1318363044410944,0.1380706613883376,0.6337635296403165,0.1985046462887269,0.7927345648597525,0.1828080875236445,2.0602508923330203,0.2946066735654656,0.5320281859826075,0.0561684725463212,0.5854917943901207,0.0717803441673584,0.080128765787995,0.0596361566122984,0.7887610667531434,0.3338085757277746,0.79,0.2782896343844594
stage2__init-A_weak_only__method-zero_shot__kpos-2__kneg-2__steps-3__target-Logistics,zero_shot,A_weak_only,Logistics,2,2,3,0.01,4,success,20,0.0,0.1318363044410944,0.1380706613883376,0.6337635296403165,0.1985046462887269,0.7927345648597525,0.1828080875236445,2.0602508923330203,0.2946066735654656,0.5320281859826075,0.0561684725463212,0.5854917943901207,0.0717803441673584,0.080128765787995,0.0596361566122984,0.7887610667531434,0.3338085757277746,0.79,0.2782896343844594
stage2__init-A_weak_only__method-zero_shot__kpos-2__kneg-2__steps-5__target-Logistics,zero_shot,A_weak_only,Logistics,2,2,5,0.01,4,success,20,0.0,0.1318363044410944,0.1380706613883376,0.6337635296403165,0.1985046462887269,0.7927345648597525,0.1828080875236445,2.0602508923330203,0.2946066735654656,0.5320281859826075,0.0561684725463212,0.5854917943901207,0.0717803441673584,0.080128765787995,0.0596361566122984,0.7887610667531434,0.3338085757277746,0.79,0.2782896343844594
