model,rmse,mae,r2,pred_mean,true_mean,condition,model_base
Mean Predictor_A_weak_only,0.29093883612248256,0.23297339135315198,-3.572773489723957e-06,0.5400125228150258,0.5405624480676008,A_weak_only,Mean Predictor
Elastic Net_A_weak_only,0.1469365329967085,0.11122054596760354,0.7449309679773853,0.5348492914592847,0.5405624480676008,A_weak_only,Elastic Net
XGBoost_A_weak_only,0.002721242078421621,0.001325368955530339,0.9999125152181979,0.5404608419335541,0.5405624480676008,A_weak_only,XGBoost
MLP_A_weak_only,0.29093833852766154,0.23318471011032044,-1.5214955406683828e-07,0.5404489636421204,0.5405624480676008,A_weak_only,MLP
Mean Predictor_B_gold_only,0.5438087605695199,0.45943755193239927,-2.4937397945544233,1.0,0.5405624480676008,B_gold_only,Mean Predictor
Elastic Net_B_gold_only,0.5438087605695199,0.45943755193239927,-2.4937397945544233,1.0,0.5405624480676008,B_gold_only,Elastic Net
XGBoost_B_gold_only,0.5438087605695199,0.45943755193239927,-2.4937397945544233,1.0,0.5405624480676008,B_gold_only,XGBoost
MLP_B_gold_only,0.5438087605695199,0.45943755193239927,-2.4937397945544233,1.0,0.5405624480676008,B_gold_only,MLP
Mean Predictor_C_hybrid,0.29093831639459483,0.23323965773726962,0.0,0.5405624480676107,0.5405624480676008,C_hybrid,Mean Predictor
Elastic Net_C_hybrid,0.147110032539164,0.11136789324629597,0.7443282521414721,0.5351054751523203,0.5405624480676008,C_hybrid,Elastic Net
XGBoost_C_hybrid,0.002793884768160113,0.001354802958878815,0.9999077821192979,0.5404577194324167,0.5405624480676008,C_hybrid,XGBoost
MLP_C_hybrid,0.26305722721789443,0.2217017500201482,0.18247953437109798,0.5585374332953893,0.5405624480676008,C_hybrid,MLP
