model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,condition,model_base
Mean Predictor_A_weak_only,0.5,0.75,0.6484665046505378,0.22772863213537176,0.20057076590413603,0.8571428571428571,0.75,0.549429234095864,0.75,16,12,0.6,0.25,0.7499999999999999,0.8,0.6666666666666666,0.75,0.75,1.0,0.8992209520003496,A_weak_only,Mean Predictor
Elastic Net_A_weak_only,0.9375,0.9833333333333334,0.31152811296568517,0.08689596615623471,0.1695268548651751,0.9565217391304348,0.9375,0.70989846993826,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9960260777722643,A_weak_only,Elastic Net
XGBoost_A_weak_only,0.9375,0.9833333333333334,0.3300652591644993,0.08953779891845089,0.13627178755630115,0.9565217391304348,0.9375,0.7636187693751946,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9960260777722643,A_weak_only,XGBoost
MLP_A_weak_only,0.9375,0.9833333333333333,0.2866590896580139,0.07384593038821925,0.11956351107073715,0.9565217391304348,0.9375,0.7351109045921476,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9960260777722643,A_weak_only,MLP
Mean Predictor_B_gold_only,0.5,0.75,0.8565261257259265,0.32971847170353347,0.3771186440677966,0.0,0.25,0.3728813559322034,0.75,16,12,0.6,0.25,0.7499999999999999,0.8,0.6666666666666666,0.75,0.75,1.0,0.8992209520003496,B_gold_only,Mean Predictor
Elastic Net_B_gold_only,0.9375,0.9791666666666666,1.1673662410797165,0.06284543545265424,0.07731871906416826,0.9565217391304348,0.9375,0.6726812809358318,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9960659100875261,B_gold_only,Elastic Net
XGBoost_B_gold_only,0.9583333333333333,0.9791666666666666,0.5748539018145485,0.06248733490970055,0.06258625483042124,0.9565217391304348,0.9375,0.6874137451695788,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9973415289247134,B_gold_only,XGBoost
MLP_B_gold_only,0.22916666666666666,0.6246094183594184,2.4084099106171837,0.31200149364176843,0.3112634664921643,0.8148148148148148,0.6875,0.9362766200156329,0.75,16,12,0.4,0.16666666666666666,0.2772734273550482,0.7,0.5833333333333334,0.5309999066793252,0.75,1.0,0.7314468176393973,B_gold_only,MLP
Mean Predictor_C_hybrid,0.5,0.75,0.6493818155460422,0.2281819161914848,0.20169758598328547,0.8571428571428571,0.75,0.5483024140167145,0.75,16,12,0.6,0.25,0.7499999999999999,0.8,0.6666666666666666,0.75,0.75,1.0,0.8992209520003496,C_hybrid,Mean Predictor
Elastic Net_C_hybrid,0.9375,0.9833333333333334,0.30420549675536335,0.0861291643504298,0.17314672016247967,0.9565217391304348,0.9375,0.704848851577512,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9960260777722643,C_hybrid,Elastic Net
XGBoost_C_hybrid,0.9375,0.9833333333333334,0.32927732271648774,0.08936111432514934,0.13768970260497995,0.9565217391304348,0.9375,0.7619800600958162,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9960260777722643,C_hybrid,XGBoost
MLP_C_hybrid,0.9375,0.9833333333333333,0.24267159798051097,0.06891158805988032,0.10803500174370126,0.9565217391304348,0.9375,0.7375567761919228,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9960260777722643,C_hybrid,MLP
