Country;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Albania;..;..;..;..;..;..;..;101,1;98;98,2;98,9;100,1;100;97,9;99,9;117,3;126,7;128,1;..
Andorra;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Armenia;47,2;48,8;52,3;64;69,9;74,8;78,3;84,9;84,3;85,6;87,4;87,5;88;91;100;102,6;104,2;107,7;111,8
Austria;84,3;88,4;86,8;90,3;94,6;95,5;94,5;93,1;91,1;88,9;90,6;93,3;93,4;91,5;100;126,5;129,9;121,2;118,8
Azerbaijan;38,1;43,8;38,3;48,6;53,1;54,4;52,2;49,8;34,5;44,1;60,4;76;78,4;59;100;184,4;164,2;164,2;148,4
Belarus;8,8;10;11,5;13,1;22,7;40,5;46,3;52,3;61,2;68,7;75,7;80,2;84,8;89,3;100;115,8;123;131,3;140,3
Belgium;67,2;73,5;68,2;71,9;77,8;80,5;80,9;77,2;74;72,6;79,1;84,7;85,8;82,6;100;131,9;122,8;118;120
Bosnia and Herzegovina;81,3;88,2;88,4;89,2;92,6;93,5;91,9;91,4;91,9;89,7;92,5;95,7;95,9;94,7;100;119,3;124,2;125,1;131
Bulgaria;62,4;70,6;67,6;72,4;78,7;82,9;81,8;81,1;79,7;77,5;80,7;84;87,2;87;100;148,4;129,9;123,6;139,9
Canada;73,3;76,4;73,8;74,9;80,1;81;81,3;83,3;82,6;82,4;85;88,3;88,2;87,8;100;112,8;110,7;111,7;115,9
Croatia;76,5;82,9;82,5;86;91,5;97,9;98,4;95,7;92;88,4;90,2;92,3;93,1;91,2;100;126,4;133,9;128,9;130,5
Cyprus;79,4;88,8;87,2;90,7;96;103,8;101,6;98,4;92,8;88,4;91,7;94,5;97,2;94,3;100;122,2;128;125,1;124,6
Czechia;84,5;88,3;85,6;86,6;91,4;93,3;94,1;93,4;90,4;87,4;89,1;90,9;93,2;93,3;100;124,3;130,5;131,5;130,4
Denmark;67,2;76,1;71;75,6;81,4;83,5;85,3;83,4;78;76,8;79,3;84,4;83,9;79,9;100;147;146,1;143,2;148,3
Estonia;63;69;68,9;70,1;73,3;75,8;83,3;81,3;79;77,3;79,9;85,6;86,8;83,8;100;138,6;134,8;130,8;131,4
Finland;76,1;82,7;77,5;82,9;87,8;89,7;90,5;89,7;87,4;86,1;88,4;91,9;92,7;88,7;100;123,7;120,2;117,1;117
France;84,6;88,9;84,3;86,6;91,2;93,7;94;92,7;90,7;88,6;90,8;93,2;93,6;91,6;100;125,3;130,6;122,8;122
Georgia;42,4;46,5;44;49;55,2;56,1;55;56,6;60,8;60,8;67,4;71,5;76,7;85,7;100;111,4;108,2;114,9;120,7
Germany;82,2;86,7;83,2;84,3;88,6;90,1;90,1;89,2;87,7;86,3;88,4;90,7;91,9;91,2;100;130,2;131,1;128,6;127,2
Greece;79,5;87,4;82,4;87,4;93,9;98,6;97,9;97,1;91,4;86,5;90,1;93,1;93,7;89,3;100;133,6;124,9;121,9;124,6
Hungary;59,4;66,3;67,1;72;76,4;80,4;80;78,3;75,9;73,6;77;81,7;84,9;85,6;100;153,1;186;182,7;186,8
Iceland;48,8;63,9;71,1;79,5;86,8;87,7;83,9;83,3;87,6;80,5;76,8;82;86;89,7;100;117,3;114,7;117,4;122
Ireland;63,6;67,5;65,1;66,1;70,4;72,5;73,6;73,3;70,2;66,9;67,8;73;69,4;64,2;100;126;107,2;104,6;106,6
Israel;88,1;96,6;90,4;94;101,4;105,7;106,2;104,7;98,6;95;96,4;99,6;98,5;93,6;100;113,1;114,1;114,1;112,9
Italy;83,8;88,6;83,9;86,5;90,9;94,6;93,5;91,8;88,7;86,7;89;92,5;92,5;88,5;100;142,8;130,9;123,4;126,7
Kazakhstan;31,9;43,7;34;42,6;54,2;56,2;56;61,3;48,7;56,9;65,6;78;82;75,4;100;126,9;147,6;157,2;168,5
