,Country,Code,LPI_Score,Customs,Infrastructure,International_Shipments,Logistics_Competence,Tracking_Tracing,Timeliness,Year,PPI_Value
0,Afghanistan,AFG,1.2116693503692606,1.3,1.1,1.22222,1.25,1.0,1.375,2007,
1,Afghanistan,AFG,2.24316,2.223085,1.873596,2.244916,2.090449,2.365503,2.605503,2010,
2,Afghanistan,AFG,2.297272,2.333617,2.003611,2.332182,2.162592,2.095155,2.795259,2012,
3,Afghanistan,AFG,2.069573,2.163453,1.818951,1.986686,2.119709,1.847776,2.482138,2014,
4,Afghanistan,AFG,1.948565,1.7349,1.807143,2.104431,1.919246,1.697024,2.382438,2018,
5,Afghanistan,AFG,1.9,2.1,1.7,1.8,2.0,1.6,2.3,2023,
6,Albania,ALB,2.0813763758629302,2.0,2.33333,2.33333,2.0,1.66667,2.125,2007,
7,Albania,,2.0813763758629302,2.0,2.33333,2.33333,2.0,1.66667,2.125,2008,
8,Albania,,2.0813763758629302,2.0,2.33333,2.33333,2.0,1.66667,2.125,2009,
9,Albania,ALB,2.459047,2.071429,2.144558,2.644558,2.394558,2.394558,3.012585,2010,
10,Albania,,2.459047,2.071429,2.144558,2.644558,2.394558,2.394558,3.012585,2011,
11,Albania,ALB,2.773218,2.426877,2.426877,2.841767,2.646856,2.64504,3.578028,2012,
12,Albania,,2.773218,2.426877,2.426877,2.841767,2.646856,2.64504,3.578028,2013,
13,Albania,,2.773218,2.426877,2.426877,2.841767,2.646856,2.64504,3.578028,2014,101.1
14,Albania,,2.773218,2.426877,2.426877,2.841767,2.646856,2.64504,3.578028,2015,98.0
15,Albania,,2.773218,2.426877,2.426877,2.841767,2.646856,2.64504,3.578028,2016,98.2
16,Albania,,2.773218,2.426877,2.426877,2.841767,2.646856,2.64504,3.578028,2017,98.9
17,Albania,ALB,2.659603,2.347126,2.293674,2.823862,2.558898,2.665647,3.202666,2018,100.1
18,Albania,,2.659603,2.347126,2.293674,2.823862,2.558898,2.665647,3.202666,2019,100.0
19,Albania,,2.659603,2.347126,2.293674,2.823862,2.558898,2.665647,3.202666,2020,97.9
20,Albania,,2.659603,2.347126,2.293674,2.823862,2.558898,2.665647,3.202666,2021,99.9
21,Albania,,2.659603,2.347126,2.293674,2.823862,2.558898,2.665647,3.202666,2022,117.3
22,Albania,ALB,2.5,2.4,2.7,2.8,2.3,2.3,2.5,2023,126.7
23,Albania,,2.5,2.4,2.7,2.8,2.3,2.3,2.5,2024,128.1
24,Albania,,2.5,2.4,2.7,2.8,2.3,2.3,2.5,2025,
25,Algeria,DZA,2.0633803491051586,1.6,1.83333,2.0,1.91667,2.27273,2.81818,2007,
26,Algeria,DZA,2.360373,1.96875,2.059659,2.696023,2.241477,2.263864,2.814489,2010,
27,Algeria,DZA,2.414844,2.259596,2.016162,2.682828,2.127273,2.460606,2.854286,2012,
28,Algeria,DZA,2.649451,2.714286,2.540816,2.540816,2.540816,2.540816,3.040816,2014,
29,Algeria,DZA,2.448071,2.13028,2.421383,2.38747,2.391247,2.604862,2.761177,2018,
30,Algeria,DZA,2.5,2.3,2.1,3.0,2.2,2.5,2.6,2023,
50,Angola,AGO,2.47752197378388,2.4,2.25,2.5,2.5,2.375,2.83333,2007,
51,Angola,AGO,2.247351,1.75,1.6875,2.375,2.019345,2.541406,3.008073,2010,
52,Angola,AGO,2.27602,2.333333,2.482869,2.25873,2.002635,2.001506,2.585969,2012,
53,Angola,AGO,2.54298,2.368421,2.105263,2.789474,2.311173,2.58895,3.023951,2014,
54,Angola,AGO,2.046158,1.571429,1.857143,2.202283,2.004317,2.004317,2.594983,2018,
55,Angola,AGO,2.1,1.7,2.1,2.4,2.3,2.3,2.1,2023,
56,Antigua and Barbuda,,2.9,2.2,2.7,2.9,2.9,3.2,3.4,2023,
57,Argentina,ARG,2.982467656218206,2.64865,2.80556,2.9697,3.0,3.0,3.5,2007,
58,Argentina,ARG,3.099664,2.629174,2.750209,3.152119,3.03062,3.150037,3.816632,2010,
59,Argentina,ARG,3.046716,2.447484,2.943176,3.33106,2.952439,3.302219,3.266585,2012,
60,Argentina,ARG,2.986475,2.546248,2.831158,2.957428,2.930554,3.150335,3.492036,2014,
