feature,importance
num__lpi_relative_risk,0.0681519
num__missingindicator_fin_Number_of_months,0.04927662
num__fin_implied_rating_missing_flag,0.033057597
num__fin_implied_rating_ordinal,0.03295301
cat__Risk level_Go ahead,0.030161953
num__fin_flag_multiple_financial_stress_signals,0.024261652
num__start_year_capped,0.023075987
num__missingindicator_fin_roa_net_income,0.021041837
num__fin_current_ratio_missing_flag,0.019914366
num__market_flag_stock_price_take_caution_or_worse,0.018868234
cat__department_Packaging Material,0.017769197
cat__nn_contract_type_Work Order,0.016348876
num__missingindicator_fin_EBITDA_margin,0.016271792
num__Tracking_Tracing,0.015943337
num__fin_flag_moderate_or_worse_rating,0.015935168
"cat__notes_Development-only injected positive label for Alliance, Acquisitions & PPM CoE.",0.015457674
cat__incoterms_FCA Free carrier,0.015300256
cat__notes_Development-only injected positive label for Raw Materials & Energy.,0.014668995
cat__company_country_clean_China,0.014144075
num__contract_age_years,0.014135122
cat__notes_Development-only injected positive label for Bioprocessing & Raw Materials.,0.0132174725
"cat__contract_type_Finance, Legal & Procurement",0.0127728535
num__missingindicator_esg_esg_overall,0.011175239
cat__notes_Development-only injected negative label for Bioprocessing & Raw Materials.,0.011013949
"cat__notes_Development-only injected negative label for Alliance, Acquisitions & PPM CoE.",0.010412027
cat__notes_Development-only injected positive label for Drug Product Outsourcing.,0.010371658
num__start_year,0.010329078
"cat__notes_Development-only injected negative label for Quality, Production Services & Supplies.",0.01022799
num__open_ended_contract,0.009923258
"cat__notes_Development-only injected positive label for Quality, Production Services & Supplies.",0.009768582
num__fin_total_stress_flags,0.009329669
num__market_data_available,0.009186435
cat__notes_Development-only injected positive label for HI Warehouse Expansion Program.,0.009178413
cat__department_Logistics,0.009144055
cat__notes_Development-only injected negative label for Drug Substance Outsourcing.,0.0090182
num__contract_value_dkk,0.008679036
cat__notes_Development-only injected positive label for Drug Substance Outsourcing.,0.008292787
cat__notes_Development-only injected positive label for Strategic Sourcing US Hub.,0.008128891
cat__incoterms_DDP Delivered duty paid,0.0075572804
cat__notes_Development-only injected negative label for Drug Product Outsourcing.,0.007443517
cat__notes_Development-only injected negative label for Raw Materials & Energy.,0.0071776174
cat__notes_Development-only injected positive label for Bioprocessing and Excipients.,0.0070153186
cat__contract_commodity_Side Chains Unclassified,0.0066828714
num__Customs,0.0064446577
num__PPI_Value,0.0060057924
num__esg_row_missing_pct,0.005993887
cat__contract_commodity_Purchase of Real Estate/Land,0.005754184
cat__notes_Development-only injected positive label for Global Strategic Outsourcing & Devices.,0.0054566795
cat__notes_Development-only injected negative label for Bioprocessing and Excipients.,0.005408334
"cat__supplier_sector_Chemicals, Petroleum, Rubber & Plastic",0.005259766
num__expiry_year,0.0052080816
num__missingindicator_contract_value_dkk,0.0043695085
num__missingindicator_years_to_expiry_capped,0.004363387
cat__Risk level_Take caution,0.0041993456
cat__contract_currency_code_USD,0.004181951
cat__label_source_DUMMY_FILLER,0.0039061583
cat__notes_Development-only injected positive label for Devices & Needles.,0.0038684243
cat__fin_closing_date_2024-12-31,0.0038318103
cat__nn_contract_type_Supply Agreement,0.0038257933
cat__team_Bioprocessing and Excipients,0.0038125075
cat__contract_commodity_Shipper Boxes,0.0037323616
cat__notes_Development-only injected negative label for Devices & Needles.,0.0035364728
cat__department_Strategic Sourcing US Hub,0.0034817408
num__news_has_high_relevance_negative_news,0.003450128
cat__notes_Development-only injected negative label for HI Warehouse Expansion Program.,0.0033549515
num__fin_gearing,0.0033482627
cat__label_source_manual_hardcoded,0.0031246373
num__fin_long_term_gearing,0.0031086374
num__esg_social_score,0.003077505
cat__team_Negotiation & Capability Building,0.003063206
cat__incoterms_DAP Del.at Place-excl.unloading,0.0029766695
cat__contract_commodity_Process Aids,0.0029082103
cat__incoterms_CIP Carriage and insurance paid,0.0028670193
cat__notes_Development-only injected negative label for Strategic Sourcing US Hub.,0.0028502732
cat__department_HI Warehouse Expansion Program,0.0028463213
cat__fin_implied_rating_Ba,0.0027814598
cat__company_country_CHINA,0.0024997848
cat__department_Bioprocessing & Raw Materials,0.0024647417
num__LPI_Score,0.0024547789
cat__department_from_cost_center_Devices & Needles,0.0024499998
cat__contract_commodity_Packaging Lines,0.00244517
cat__contract_currency_code_BRL,0.00244226
"cat__supplier_sector_Wood, Furniture & Paper Manufacturing",0.0023696814
cat__department_from_cost_center_HI Warehouse Expansion Program,0.0023637607
cat__contract_commodity_Human Resources Training,0.0022776194
num__fin_flag_severe_financial_stress,0.0020702
cat__department_Bioprocessing and Excipients,0.0020588692
