feature,importance
num__lpi_below_supplier_median,0.38034135
num__fin_implied_rating_missing_flag,0.104641795
num__fin_flag_moderate_or_worse_rating,0.0781901
num__lpi_relative_risk,0.07456084
num__missingindicator_fin_Number_of_months,0.07442188
num__Customs,0.048925865
num__contract_age_years,0.044562727
num__start_year_capped,0.026094094
num__Tracking_Tracing,0.018513504
num__missingindicator_esg_esg_overall,0.01127676
num__LPI_Score,0.010791066
num__start_year,0.010711843
num__fin_flag_multiple_financial_stress_signals,0.008399593
num__open_ended_contract,0.007684279
cat__department_Logistics,0.0062242113
num__missingindicator_contract_value_dkk,0.005585319
num__fin_flag_severe_financial_stress,0.004652302
num__esg_row_missing_pct,0.0046185413
num__expiry_year,0.004356812
num__observation_year,0.0040235436
num__fin_total_stress_flags,0.0036215426
cat__fin_moodys_company_name_Novozymes A/S,0.002947009
cat__fin_financial_level_Medium financial risk,0.0026474323
num__missingindicator_years_to_expiry_capped,0.0024672744
cat__contract_commodity_Warehouse Operations - Storage,0.0024312038
num__supplier_is_publicly_listed,0.002084332
num__esg_esg_industry_adjusted,0.0019216933
cat__fin_implied_rating_Ba,0.0018565337
cat__fin_closing_date_2023-12-31,0.0015969307
num__missingindicator_fin_Net_assets_turnover,0.0015440157
num__Timeliness,0.001445904
cat__nn_contract_type_Logistics Services Provider Agreement,0.001418901
num__fin_flag_risk_take_caution_or_worse,0.0013585715
num__news_has_high_relevance_negative_news,0.0013116885
num__PPI_Value,0.0012404735
num__news_negative_count,0.0011977343
num__fin_financial_level_missing_flag,0.0011524579
num__esg_social_score,0.0011412501
num__esg_social_weight,0.0011086275
num__missingindicator_fin_long_term_gearing,0.0010721384
"cat__supplier_sector_Transport, Freight & Storage",0.001029187
num__missingindicator_avg_vol,0.000982668
cat__Risk level_Take caution,0.0009784853
cat__fin_moodys_company_name_Nemera LA Verpilliere,0.00097465696
cat__label_source_manual_hardcoded,0.0008775173
num__missingindicator_news_article_count,0.00085451984
num__news_article_count,0.0008414807
cat__fin_closing_date_2023-09-30,0.000821594
num__market_flag_negative_52w_price_trend,0.00077709806
num__Price_trends_52 weeks_%,0.000769382
num__fin_implied_rating_ordinal,0.00075770007
num__missingindicator_esg_env_score,0.000721994
num__fin_flag_liquidity_stress,0.00071177474
cat__fin_risk_level_Take caution,0.00069717836
num__missingindicator_vol_stability_score,0.00069548853
num__missingindicator_vol_shock_ratio,0.0006496578
cat__Shares outstanding_414.555.046,0.00057439256
num__fin_current_ratio_missing_flag,0.00052393094
cat__fin_Implied_rating - original_Baa3,0.00051698706
cat__contract_commodity_Freights Forwarding - Road,0.00050300674
num__contracts_per_supplier,0.00049309264
num__market_data_available,0.00046355347
cat__fin_moodys_company_name_MGS Lynge A/S,0.00042677156
cat__fin_moodys_company_name_ISS Facility Services A/S,0.00042037666
cat__fin_implied_rating_Aa,0.0004070277
num__fin_Number_of_employees,0.0004026018
num__fin_long_term_gearing,0.00039483054
cat__contract_commodity_Shipper Boxes,0.00039161675
"cat__fin_output_text_Use caution. Input from outdated and/or partial data, hence low quality credit rating & traffic light. Mitigation actions required. Request financial data from supplier as described in the risk process tab.",0.00037285444
"cat__fin_output_text_Sourcing exclusion recommended. Input from outdated and/or partial data, hence low quality credit rating & traffic light. Mitigation actions required. Request financial data from supplier as described in the risk process tab.",0.00037015835
cat__contract_commodity_Freights Forwarding - Air,0.00035393803
num__news_negative_ratio,0.0003518537
"cat__contract_type_Finance, Legal & Procurement",0.0003434584
cat__company_country_CHINA,0.0003274136
num__fin_current_ratio,0.0003224241
cat__contract_type_Distribution,0.00031371068
num__esg_env_weight,0.00031333635
num__esg_gov_score,0.00030347327
num__missingindicator_fin_roa_net_income,0.00030180812
cat__term_type_auto_renew,0.0003013311
cat__team_Devices & Needles,0.00029532466
cat__nn_contract_type_Framework Trading Agreement,0.00026652633
cat__fin_closing_date_2024-12-31,0.00026256236
num__missingindicator_Customs,0.000253441
num__fin_flag_risk_do_not_source,0.00024270233
cat__contract_type_Research & Development,0.00024144069
cat__contract_commodity_Other Drug Product Manufacturing Services,0.000223505
num__fin_flag_interest_coverage_stress,0.0002225256
cat__payment_terms_F030 Invoice Date + 30 days,0.00021743905
cat__contract_type_Production,0.000211141
num__news_positive_count,0.0002071375
num__fin_Total_liabilities_Equity_ratio,0.00020615527
num__missingindicator_fin_Total_shareholders'_funds_and_liabilitiesth_DKK,0.00019513723
cat__contract_commodity_Road Transportation,0.0001805832
num__fin_debt_asset_ratio,0.00017614465
cat__fin_Implied_rating - original_A1,0.00017339172
num__avg_vol,0.00017031521
cat__fin_closing_date_2025-12-31,0.00017018265
cat__term_type_fixed,0.00016674896
num__Infrastructure,0.00016657203
num__price_trend_slope,0.0001616769
num__market_log_vol_shock_ratio,0.00016082218
cat__term_type_perpetual,0.00016040383
num__years_to_expiry_capped,0.00015997603
num__news_avg_sentiment_score,0.0001585393
cat__fin_moodys_company_name_DHL Global Forwarding (Denmark) A/S,0.00015374877
cat__incoterms_DAP Del.at Place-excl.unloading,0.00015335015
cat__supplier_sector_Wholesale,0.00015279502
cat__fin_closing_date_2025-03-31,0.00015261922
cat__contract_commodity_Cartons,0.0001453282
num__esg_env_score,0.0001424531
"cat__supplier_sector_Wood, Furniture & Paper Manufacturing",0.00013771016
cat__fin_moodys_company_name_Kalundborg Bioenergi ApS,0.0001327719
num__missingindicator_PPI_Value,0.00012934566
num__vol_shock_ratio,0.000120025
num__fin_EBITDA_margin,0.0001171831
num__esg_gov_weight,0.000114747905
num__fin_flag_strong_liquidity,0.00011151634
num__International_Shipments,0.00010811323
cat__fin_Status_Active,0.000107193766
num__fin_Cash_ratio,0.00010599089
cat__department_from_cost_center_Devices & Needles,0.000105745414
num__fin_roe_net_income,0.00010555375
cat__nn_contract_type_Basic Terms Agreement,0.00010554014
cat__fin_implied_rating_Baa,0.00010474466
num__fin_solvency_ratio_asset_based,0.00010472129
num__fin_short_term_liabilities_equity_ratio,0.00010202176
cat__contract_commodity_Side Chains Unclassified,9.850409e-05
num__news_row_missing_pct,9.837139e-05
cat__fin_closing_date_2022-12-31,9.617748e-05
cat__contract_commodity_Other Energy Unclassified,9.5594645e-05
cat__company_country_clean_China,9.3135975e-05
num__fin_Total_shareholders'_funds_and_liabilitiesth_DKK,9.17544e-05
"cat__supplier_sector_Industrial, Electric & Electronic Machinery",9.0599104e-05
num__contract_owner_cost_centre,8.878099e-05
num__esg_esg_overall,8.708529e-05
num__vol_stability_score,8.5681095e-05
num__missingindicator_LPI_Score,8.459807e-05
num__news_max_relevance_score,8.385004e-05
cat__fin_moodys_company_name_Linde Gas A/S,8.317424e-05
cat__Risk level_Do not source,8.174429e-05
num__fin_Net_assets_turnover,7.5130934e-05
cat__fin_implied_rating_Aaa,7.4878124e-05
cat__contract_commodity_Finished Devices,7.33658e-05
cat__department_from_cost_center_Drug Substance Outsourcing,7.170373e-05
num__fin_ebit_margin,6.941932e-05
num__market_flag_stock_price_take_caution_or_worse,6.377084e-05
cat__fin_risk_level_Go ahead,6.364864e-05
cat__company_country_BRAZIL,6.2440224e-05
cat__payment_terms_F060 Invoice Date + 60 days,6.1989886e-05
"cat__supplier_sector_Chemicals, Petroleum, Rubber & Plastic",6.1881154e-05
cat__fin_moodys_company_name_Novartis Pharma AG,6.173623e-05
num__market_cap_volatility,6.132268e-05
num__fin_gearing,6.0055474e-05
cat__fin_closing_date_2021-12-31,5.9329126e-05
num__fin_interest_coverage_ratio,5.705874e-05
num__news_neutral_count,5.7008685e-05
num__missingindicator_fin_Number_of_employees,5.667506e-05
"cat__department_Quality, Production Services & Supplies",5.6250825e-05
cat__contract_commodity_Fuel,5.5928733e-05
cat__nn_contract_type_Freight Forwarder Agreement,5.3884054e-05
cat__supplier_sector_Business Services,5.1329753e-05
cat__contract_commodity_Cleaning Services (GxP)',4.9885868e-05
cat__contract_currency_code_USD,4.963155e-05
cat__company_country_DENMARK,4.9063234e-05
cat__incoterms_CPT Carriage paid,4.7772515e-05
cat__fin_moodys_company_name_Smurfit Westrock Danmark A/S,4.726e-05
num__vol_trend_slope,4.6591133e-05
cat__company_country_clean_Brazil,4.6187568e-05
cat__moodys_risk_rating_Do not source,4.6074776e-05
num__contract_value,4.557567e-05
cat__nn_contract_type_Confidentiality Agreement,4.420289e-05
cat__company_country_clean_Denmark,4.3647004e-05
num__fin_flag_low_solvency,4.349707e-05
cat__fin_moodys_company_name_All4labels Denmark Sb A/S,4.243496e-05
num__market_flag_negative_volume_trend,4.0260013e-05
cat__fin_output_text_Approved for sourcing. No further actions required.,3.9631905e-05
num__esg_below_industry_min,3.9500188e-05
num__fin_interest_coverage_ratio_missing_flag,3.9338443e-05
cat__fin_moodys_company_name_Agilent Technologies Denmark ApS,3.856717e-05
num__esg_industry_min,3.763354e-05
num__missingindicator_fin_gearing,3.7586306e-05
num__news_avg_relevance_score,3.6112648e-05
num__fin_profit_margin,3.606099e-05
cat__unit_SSIMS,3.5259123e-05
cat__fin_closing_date_2023-06-30,3.4820623e-05
cat__unit_GSOD,3.472575e-05
"cat__fin_moodys_company_name_Cytiva, Filial af Cytiva Europe GmbH, Tyskland",3.4412406e-05
num__Earnings_per_share_DKK,3.4021454e-05
cat__fin_moodys_company_name_Enestia Belgium,3.353796e-05
num__missingindicator_fin_roe_net_income,3.284294e-05
cat__department_Packaging Material,3.2394528e-05
cat__payment_terms_F015 Invoice Date + 15 days,3.092163e-05
cat__contract_commodity_Sterilization,3.0642608e-05
cat__fin_financial_level_Low financial risk,3.0436737e-05
cat__fin_moodys_company_name_Va-Q-Tec AG,2.9960054e-05
cat__expiry_pressure_bucket_3_to_5y,2.9945304e-05
cat__department_from_cost_center_Bioprocessing & Raw Materials,2.919862e-05
cat__department_Raw Materials & Energy,2.8535853e-05
cat__Risk level_Go ahead,2.588334e-05
cat__contract_commodity_Transport Consumables,2.5592006e-05
cat__fin_Implied_rating - original_Aa3,2.4137891e-05
cat__fin_Implied_rating - original_Baa2,2.3455072e-05
num__esg_industry_max,2.1939279e-05
cat__fin_moodys_company_name_Sonderborg Vaerktojsfabrik A/S,2.0877771e-05
cat__fin_moodys_company_name_Zirq Cables AS,2.0690022e-05
"cat__team_Quality, Production Services & Supplies",2.0653573e-05
cat__Code_DNK,2.0518492e-05
cat__fin_moodys_company_name_W. R. Grace & Co.-Conn.,2.0462912e-05
cat__contract_commodity_Distributor Delivery,2.0452926e-05
cat__contract_currency_code_EUR,1.942122e-05
num__market_flag_negative_price_trend,1.8896166e-05
num__price_volatility_score,1.8621475e-05
cat__label_source_DUMMY_FILLER,1.8287506e-05
cat__incoterms_DDP Delivered duty paid,1.8104198e-05
cat__Risk level_stock_closing_price_Take caution,1.7092067e-05
cat__department_Drug Substance Outsourcing,1.6741482e-05
num__avg_closing_price,1.673356e-05
num__fin_roa_net_income,1.6527849e-05
cat__incoterms_FCA Free carrier,1.6124575e-05
cat__fin_moodys_company_name_Deloitte Statsautoriseret Revisionspartnerselskab,1.6006126e-05
cat__notes_Development-only injected positive label for Drug Substance Outsourcing.,1.5744177e-05
cat__moodys_risk_rating_Go ahead,1.5665853e-05
cat__expiry_pressure_bucket_5y_plus,1.5634214e-05
cat__company_country_clean_United States,1.5619693e-05
cat__nn_contract_type_Other,1.5145083e-05
cat__nn_contract_type_Engineering agreement,1.506283e-05
cat__fin_Implied_rating - original_Aa2,1.50523665e-05
cat__fin_moodys_company_name_SPS Medical,1.4949492e-05
cat__company_country_FINLAND,1.4619822e-05
cat__fin_Implied_rating - original_Ba2,1.457202e-05
cat__Current_market_capitalisation_DKK_112.918.290,1.4362701e-05
cat__fin_moodys_company_name_Synoptik A/S,1.4149845e-05
cat__fin_closing_date_2022-06-30,1.4055495e-05
cat__contract_commodity_Aseptic Filling,1.3796867e-05
cat__fin_Implied_rating - original_Ba3,1.3747791e-05
cat__contract_currency_code_DKK,1.3577526e-05
cat__fin_moodys_company_name_Gerresheimer Horsovsky Tyn spol. s r.o.,1.3353479e-05
cat__team_Raw Materials,1.333092e-05
cat__fin_moodys_company_name_Becton Dickinson Denmark A/S,1.3277826e-05
cat__fin_moodys_company_name_Brenntag Nordic A/S,1.30510925e-05
cat__fin_moodys_company_name_Sartorius Stedim UK Limited,1.2957753e-05
cat__contract_commodity_Gels,1.2839639e-05
cat__contract_commodity_Clothing and Personal Safety Unclassified,1.2675338e-05
cat__contract_commodity_Personal Safety (PPE),1.2627195e-05
cat__contract_commodity_Outsourced Product Services,1.2081131e-05
num__market_flag_negative_eps,1.17177215e-05
cat__nn_contract_type_Distributor Agreement,1.1187284e-05
cat__fin_Implied_rating - original_A2,1.1155803e-05
cat__fin_Implied_rating - original_Ba1,1.083955e-05
num__missingindicator_Infrastructure,1.0813074e-05
cat__contract_commodity_Waste Management,1.0780534e-05
cat__nn_contract_type_Supply Agreement,1.0571444e-05
cat__nn_contract_type_Lease Agreement,1.0533646e-05
cat__fin_moodys_company_name_Millmount Healthcare Limited,1.0458495e-05
cat__fin_moodys_company_name_Catalent Germany Schorndorf GmbH,1.040467e-05
cat__payment_terms_F045 Invoice Date + 45 days,1.0343653e-05
cat__company_country_UNITED STATES,1.0254944e-05
cat__expiry_pressure_bucket_1_to_3y,1.0210248e-05
cat__company_country_SWEDEN,1.0178044e-05
cat__payment_terms_FD1M Invoice Date + 1 month,9.8052e-06
"cat__incoterms_CIF Costs, insurance & freight",9.774714e-06
cat__contract_commodity_Warehouse Operations - Inbound,9.5512905e-06
cat__contract_commodity_Cleaning Equipment (GxP),9.508148e-06
cat__contract_commodity_Ocean Transportation,9.488932e-06
cat__fin_Implied_rating - original_B2,9.473373e-06
cat__fin_moodys_company_name_F.I.S. Fabbrica Italiana Sintetici S.P.A.,9.1524225e-06
cat__supplier_sector_Retail,8.982167e-06
cat__fin_closing_date_2024-03-31,8.964102e-06
cat__incoterms_EXW Ex works,8.877914e-06
num__contract_value_dkk,8.847308e-06
cat__Risk level_stock_closing_price_Do not source,8.822449e-06
cat__contract_commodity_Dry Ice and Gas,8.639082e-06
cat__fin_moodys_company_name_Pharma-Skan ApS,8.578497e-06
cat__payment_terms_L030 Current Month + 30 days,8.577517e-06
cat__contract_currency_code_GBP,8.491134e-06
cat__fin_moodys_company_name_Merck Life Science A/S,8.007593e-06
cat__incoterms_DAT Del.at Terminal-incl.unloading,7.774657e-06
cat__fin_Status_Dissolved,7.65315e-06
cat__fin_moodys_company_name_Ypsomed AG,7.6206416e-06
cat__fin_moodys_company_name_Novo Nordisk Production Belgium SA,7.564738e-06
num__fin_ebit_margin_missing_flag,7.561517e-06
cat__company_country_clean_Sweden,7.358283e-06
cat__supplier_sector_Utilities,7.2792304e-06
cat__supplier_sector_Food & Tobacco Manufacturing,7.1732607e-06
cat__fin_moodys_company_name_ICM A/S,7.032147e-06
cat__supplier_sector_Waste Management & Treatment,6.893068e-06
cat__company_country_NORWAY,6.869013e-06
"cat__contract_commodity_Glass (Syringes, Vials, Cartridges)",6.8378195e-06
cat__company_country_clean_Finland,6.5405093e-06
cat__fin_moodys_company_name_IGS B.V.,6.5173167e-06
cat__contract_commodity_Needles,6.4183732e-06
cat__fin_closing_date_2023-03-31,6.3445286e-06
cat__incoterms_FOB Free on board,6.3036996e-06
cat__fin_closing_date_2023-11-30,6.1895503e-06
cat__contract_commodity_Office Consumables,6.131882e-06
num__missingindicator_contract_value,5.9421973e-06
cat__department_Devices & Needles,5.8418636e-06
cat__incoterms_DDU Delivered duty unpaid,5.665265e-06
cat__nn_contract_type_Scope of Work,5.609831e-06
cat__fin_moodys_company_name_Camfil A/S,5.5343203e-06
cat__team_Raw Materials & Energy,5.496889e-06
num__fin_flag_interest_coverage_weak,5.49654e-06
cat__supplier_sector_Biotechnology and Life Sciences,5.44597e-06
cat__contract_commodity_Other Energy & Utilities,5.4270463e-06
cat__fin_moodys_company_name_AVISTA Green ApS,5.320264e-06
cat__fin_moodys_company_name_Gerresheimer Buende GmbH,5.2153955e-06
num__missingindicator_fin_Cash_ratio,5.1668053e-06
cat__team_Bioprocessing,5.0562585e-06
cat__fin_closing_date_2025-08-31,4.8169486e-06
cat__contract_commodity_Cell Culture Media,4.7726667e-06
cat__fin_moodys_company_name_UFAG Laboratorien AG,4.665328e-06
"cat__fin_moodys_company_name_Macco Organiques, s.r.o.",4.5958604e-06
cat__department_Bioprocessing & Raw Materials,4.3907326e-06
cat__fin_moodys_company_name_Roquette Freres,4.389545e-06
cat__moodys_risk_rating_Take caution,4.3197138e-06
cat__contract_commodity_Other Warehousing,4.2853935e-06
"cat__supplier_sector_Travel, Personal & Leisure",4.232067e-06
"cat__fin_moodys_company_name_Kovac MED Co.,Ltd",4.1796375e-06
num__fin_financial_risk_score,4.173032e-06
cat__fin_moodys_company_name_Mm Eson Pac AB,4.1590333e-06
cat__fin_moodys_company_name_Elis Danmark A/S,4.124675e-06
cat__contract_commodity_Support Proteins and BIO APIs Unclassified,3.9317647e-06
cat__contract_commodity_Excipients,3.9184747e-06
cat__company_country_FRANCE,3.8418243e-06
cat__supplier_sector_Miscellaneous Manufacturing,3.691187e-06
cat__fin_Implied_rating - original_Aa1,3.6886383e-06
cat__fin_moodys_company_name_OPTIMA pharma GmbH,3.608288e-06
cat__contract_commodity_GxP Gas,3.5107175e-06
cat__contract_commodity_Moulding and Pre-assembly,3.5015753e-06
cat__fin_moodys_company_name_Groesfjeld Advanced Cleaning Solutions ApS,3.4887084e-06
cat__fin_Implied_rating - original_A3,3.435368e-06
cat__Current_market_capitalisation_DKK_2.511.971,3.415594e-06
cat__fin_moodys_company_name_CUC Engineering A/S,3.3459237e-06
cat__contract_commodity_Process Aids,3.0538888e-06
cat__nn_contract_type_Service Agreement,3.0531737e-06
cat__fin_moodys_company_name_Life Technologies Limited,3.0425892e-06
cat__contract_commodity_Moulding Tools Unclassified,2.918704e-06
cat__contract_commodity_Industrial Commodities,2.8618022e-06
num__is_old_and_near_expiry,2.8447726e-06
cat__fin_Implied_rating - original_B3,2.7874487e-06
cat__fin_moodys_company_name_Insatech A/S,2.6526227e-06
cat__payment_terms_L060 Current Month + 60 days,2.6289977e-06
cat__notes_Development-only injected positive label for Logistics.,2.538196e-06
cat__department_Strategic Sourcing US Hub,2.520688e-06
