model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
ANIL,0.5434782608695652,0.7995318127759004,0.8198535554151488,0.3114168193926043,0.36920464758215277,0.2857142857142857,0.3103448275862069,0.4238988006937093,0.7931034482758621,29,23,0.8,0.17391304347826086,0.7860137352654724,0.7,0.30434782608695654,0.7133080652109928,0.85,0.7391304347826086,0.8149783862203678,0
ANIL,0.20955882352941174,0.7126104538824539,1.1907982399658312,0.46446513747741797,0.5439879660095487,0.20512820512820512,0.2619047619047619,0.2875684208813168,0.8095238095238095,42,34,0.8,0.11764705882352941,0.6608397947263838,0.6,0.17647058823529413,0.5708588662113935,0.65,0.38235294117647056,0.6167920727121811,1
ANIL,0.40625,0.6906589175000786,0.6529792237716504,0.23155297485742604,0.23286893266312622,0.810126582278481,0.6808510638297872,0.6095162731535891,0.6808510638297872,47,32,0.8,0.125,0.8687949224876581,0.7,0.21875,0.7720617383222416,0.55,0.34375,0.642649404577085,2
ANIL,0.34571428571428575,0.6979603445224565,1.4513188644647488,0.5416771610513617,0.5957566042741139,0.15384615384615385,0.26666666666666666,0.20685866475105286,0.7777777777777778,45,35,0.6,0.08571428571428572,0.529634717214042,0.5,0.14285714285714285,0.48331483694589444,0.65,0.37142857142857144,0.5940622287077862,3
ANIL,0.375,0.7443720613661086,0.711798199872553,0.25767027163001616,0.24958019572145798,0.5365853658536586,0.4411764705882353,0.538117848774966,0.7647058823529411,34,26,0.8,0.15384615384615385,0.7860137352654724,0.7,0.2692307692307692,0.7280855459907165,0.7,0.5384615384615384,0.7173937591115842,4
ANIL,0.8309178743961353,0.9348823076671395,0.7473628504112827,0.2765427734949465,0.3117475723847747,0.2962962962962963,0.40625,0.4070024276152253,0.71875,32,23,1.0,0.21739130434782608,0.9999999999999999,1.0,0.43478260869565216,1.0,0.85,0.7391304347826086,0.8956768451367345,5
ANIL,0.32974910394265233,0.7200938411500495,1.1777377911612714,0.4600953824732857,0.5230364661663771,0.0625,0.25,0.2519635338336229,0.775,40,31,0.6,0.0967741935483871,0.6843515475204854,0.5,0.16129032258064516,0.5919268187287084,0.7,0.45161290322580644,0.7011328831169187,6
ANIL,0.1328125,0.6673791070372066,1.1081808032688887,0.43501779581263766,0.5307674624025821,0.16666666666666666,0.25,0.3402924485504627,0.8,40,32,0.6,0.09375,0.529634717214042,0.5,0.15625,0.47938213678331165,0.6,0.375,0.553019440376722,7
ANIL,0.3494736842105263,0.46609587974221234,0.7963663958584029,0.2896497005695097,0.2923004871064966,0.746268656716418,0.6136363636363636,0.6430324045094576,0.5681818181818182,44,25,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.36,0.315011584484242,8
ANIL,0.4861111111111111,0.6910185609331116,0.7112286534451995,0.25680600492395483,0.2262285448784052,0.7714285714285715,0.627906976744186,0.6837765920993893,0.627906976744186,43,27,0.8,0.14814814814814814,0.8539316501572934,0.8,0.2962962962962963,0.8268133666517739,0.6,0.4444444444444444,0.674897532685537,9
ANIL,0.34571428571428575,0.6979603445224565,1.4513188644647488,0.5416771610513617,0.5957566042741139,0.15384615384615385,0.26666666666666666,0.20685866475105286,0.7777777777777778,45,35,0.6,0.08571428571428572,0.529634717214042,0.5,0.14285714285714285,0.48331483694589444,0.65,0.37142857142857144,0.5940622287077862,10
ANIL,0.5478260869565217,0.7353351704791409,0.71187715465748,0.25882118389160147,0.24355955828319895,0.3333333333333333,0.3939393939393939,0.4984114576469768,0.696969696969697,33,23,0.8,0.17391304347826086,0.7860137352654724,0.6,0.2608695652173913,0.6496872770120411,0.75,0.6521739130434783,0.7415813156851588,11
ANIL,0.5892857142857143,0.8015371290080936,0.7335547752061643,0.26919932466881563,0.2993033512642509,0.47368421052631576,0.47368421052631576,0.46955744373170955,0.7368421052631579,38,28,0.8,0.14285714285714285,0.7860137352654724,0.9,0.32142857142857145,0.8611375561264455,0.8,0.5714285714285714,0.803303495494415,12
ANIL,0.4567901234567901,0.6839901856074451,0.7088810625116967,0.25520931097915023,0.24058023378962562,0.782608695652174,0.6428571428571429,0.685025699081875,0.6428571428571429,42,27,0.8,0.14814814814814814,0.8304198973631918,0.8,0.2962962962962963,0.8205228949141826,0.55,0.4074074074074074,0.6339338992550749,13
ANIL,0.264957264957265,0.47833440694421175,0.7980470043311763,0.2924256328800519,0.30672998319972644,0.7428571428571429,0.5909090909090909,0.6614267284219916,0.5909090909090909,44,26,0.4,0.07692307692307693,0.36005461457723387,0.3,0.11538461538461539,0.2999050316974942,0.4,0.3076923076923077,0.36463727861838247,14
ANIL,0.25271739130434784,0.45435629485882134,0.7872512828130247,0.2882992900216429,0.35217264218208116,0.7419354838709677,0.5897435897435898,0.6572492535297687,0.5897435897435898,39,23,0.0,0.0,0.0,0.2,0.08695652173913043,0.1427951440361374,0.4,0.34782608695652173,0.29923028859083445,15
ANIL,0.5278637770897833,0.6808310851450479,0.7369281106590997,0.25895117246484933,0.17309062211018686,0.7816091954022989,0.6415094339622641,0.8114879018855545,0.6415094339622641,53,34,0.8,0.11764705882352941,0.8304198973631918,0.6,0.17647058823529413,0.6745711375739727,0.6,0.35294117647058826,0.6527186531625693,16
ANIL,0.3259109311740891,0.46702346604177625,0.8120563386678951,0.29750596045973965,0.29402943121062386,0.71875,0.6,0.6126218842135536,0.5777777777777777,45,26,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.34615384615384615,0.315011584484242,17
