model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
ANIL,0.675,0.8473420702726066,0.6153363859855177,0.2165903020314083,0.1386171836277534,0.7916666666666666,0.6551724137931034,0.73328419081096,0.6551724137931034,58,38,1.0,0.13157894736842105,0.9999999999999999,1.0,0.2631578947368421,1.0,0.95,0.5,0.9671350294324228,0
ANIL,0.7872340425531914,0.8768418779153258,0.6219757779548644,0.2148934561276581,0.1682668088087395,0.8235294117647058,0.7313432835820896,0.5519923416536245,0.7014925373134329,67,47,0.8,0.0851063829787234,0.8304198973631918,0.9,0.19148936170212766,0.8899541168509599,0.95,0.40425531914893614,0.9289799801831712,1
ANIL,0.7250000000000001,0.8675534837891214,0.6149573079592371,0.21093955104216847,0.27926327526569367,0.8266666666666667,0.74,0.5532615441083908,0.8,50,40,0.8,0.1,0.6608397947263838,0.9,0.225,0.7799082337019198,0.9,0.45,0.8245224689816291,2
ANIL,0.8584795321637426,0.9367561620650932,0.5634717923177828,0.18926622474533367,0.10380010027438405,0.8256880733944955,0.703125,0.6751890676096082,0.703125,64,45,1.0,0.1111111111111111,0.9999999999999999,1.0,0.2222222222222222,1.0,0.95,0.4222222222222222,0.9665625086152865,3
ANIL,0.7106382978723405,0.7852071841133712,0.63936280968095,0.21999284267161148,0.21906622532588332,0.8518518518518519,0.7611940298507462,0.5788410888678992,0.7014925373134329,67,47,0.8,0.0851063829787234,0.6608397947263838,0.7,0.14893617021276595,0.6320787427864671,0.8,0.3404255319148936,0.7241709956246708,4
ANIL,0.6171052631578947,0.8294327958400689,0.6202482155512512,0.218718441830955,0.1769027790780795,0.7272727272727273,0.5932203389830508,0.6270026008961564,0.6779661016949152,59,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,0.9,0.45,0.9342242174669666,5
ANIL,0.5868421052631579,0.8207794059584496,0.6455909564773169,0.23169631331840299,0.29829174431703853,0.7032967032967034,0.5423728813559322,0.6741512099565086,0.6779661016949152,59,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,0.9,0.45,0.9342242174669666,6
ANIL,0.6804407713498624,0.8141884879709786,0.764476766804515,0.27674924211889623,0.24623837145892055,0.75,0.6,0.8288603988560763,0.6,55,33,1.0,0.15151515151515152,0.9999999999999999,1.0,0.30303030303030304,1.0,0.75,0.45454545454545453,0.8325461019445386,7
ANIL,0.7950617283950617,0.9188052067925064,0.5929894258405214,0.20220859923637113,0.22750293593558057,0.7884615384615384,0.6507936507936508,0.615185081485718,0.7142857142857143,63,45,1.0,0.1111111111111111,0.9999999999999999,1.0,0.2222222222222222,1.0,0.95,0.4222222222222222,0.9603789329441843,8
ANIL,0.4395833333333333,0.7336028211928824,0.7014013267557994,0.25415124272534223,0.26568521845799226,0.5538461538461539,0.4423076923076923,0.503545550772777,0.7692307692307693,52,40,0.6,0.075,0.6548086577531306,0.6,0.15,0.6429424283490955,0.65,0.325,0.6586960259473343,9
ANIL,0.8366666666666667,0.9192255186584709,0.579514274857447,0.1971344587538891,0.09851235426389258,0.8181818181818182,0.6923076923076923,0.6841982419674213,0.6923076923076923,65,45,1.0,0.1111111111111111,0.9999999999999999,1.0,0.2222222222222222,1.0,0.9,0.4,0.9318123359164179,10
ANIL,0.5852941176470587,0.8341255181689163,0.6316388008414977,0.2236509192338353,0.265535130835416,0.7529411764705882,0.631578947368421,0.6080570796079803,0.7017543859649122,57,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,0.9,0.45,0.934796738284103,11
ANIL,0.5821371610845295,0.7653304006145272,0.6347236146539266,0.2233076842358452,0.23920036393862498,0.7764705882352941,0.6346153846153846,0.6871038938944156,0.6346153846153846,52,33,1.0,0.15151515151515152,0.9999999999999999,1.0,0.30303030303030304,1.0,0.6,0.36363636363636365,0.7178533860833349,12
ANIL,0.4488888888888889,0.7864467214528235,0.8513626997036456,0.32498669256450924,0.42732003006068137,0.16,0.23636363636363636,0.4221851733597842,0.8181818181818182,55,45,0.8,0.08888888888888889,0.6608397947263838,0.8,0.17777777777777778,0.7162874455029681,0.7,0.3111111111111111,0.6714160130743737,13
ANIL,0.725,0.7769786710876446,0.6679515985675617,0.2312541723428665,0.12356699392443797,0.7920792079207921,0.6557377049180327,0.7770411802119896,0.6557377049180327,61,40,0.8,0.1,0.6608397947263838,0.9,0.225,0.7799082337019198,0.75,0.375,0.7134169996776367,14
ANIL,0.635,0.8330308100799034,0.6060908349927787,0.21222087150882238,0.10502851307392119,0.7608695652173914,0.6333333333333333,0.6750460098187129,0.6666666666666666,60,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,0.95,0.475,0.9671350294324228,15
ANIL,0.7388888888888889,0.8619093314407403,0.589343223457673,0.20185386755187043,0.22710297539316374,0.8163265306122449,0.6896551724137931,0.6902019535673076,0.6896551724137931,58,40,0.8,0.1,0.7860137352654724,0.9,0.225,0.8611375561264455,0.95,0.475,0.9103827127966565,16
ANIL,0.821026282853567,0.8822966063396225,0.6598321939517935,0.23303048061126988,0.25103288888931274,0.6756756756756757,0.625,0.5069768968969584,0.734375,64,47,0.8,0.0851063829787234,0.6608397947263838,0.9,0.19148936170212766,0.7799082337019198,0.95,0.40425531914893614,0.8579599603663426,17
ANIL,0.6724386724386725,0.7764276266448233,0.7620640373491683,0.27085445578838013,0.19906877367584788,0.7586206896551724,0.6111111111111112,0.810179884786959,0.6111111111111112,54,33,0.8,0.12121212121212122,0.6608397947263838,0.9,0.2727272727272727,0.7799082337019198,0.95,0.5757575757575758,0.8579599603663426,18
ANIL,0.8513157894736842,0.9411863138605455,0.5776275198569655,0.19582890462065114,0.06935454829264495,0.8080808080808081,0.6779661016949152,0.6474328566405733,0.6779661016949152,59,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,19
