iteration,meta_loss,n_skipped,n_valid_tasks
1,0.7751049995422363,0,4
2,0.6999175548553467,0,4
3,0.7858530282974243,0,4
4,0.7910851240158081,0,4
5,0.7058084011077881,0,4
6,0.6931450366973877,0,4
7,0.7106313109397888,0,4
8,0.6045976877212524,0,4
9,0.8435885906219482,0,4
10,0.8003609776496887,0,4
11,0.7493041753768921,0,4
12,0.8184834122657776,0,4
13,0.8911291360855103,0,4
14,0.6504992246627808,0,4
15,0.7688709497451782,0,4
16,0.6411060094833374,0,4
17,0.6836464405059814,0,4
18,0.6396920084953308,0,4
19,0.8909871578216553,0,4
20,0.6302391290664673,0,4
21,0.7466697096824646,0,4
22,0.6097643971443176,0,4
23,0.693755567073822,0,4
24,0.9277316331863403,0,4
25,0.6279932260513306,0,4
26,0.7147926688194275,0,4
27,0.7025195956230164,0,4
28,0.6090458631515503,0,4
29,0.6339103579521179,0,4
30,0.7581245303153992,0,4
31,0.7138136625289917,0,4
32,0.6755485534667969,0,4
33,0.7203845381736755,0,4
34,0.6479173302650452,0,4
35,0.700300931930542,0,4
36,0.6949619650840759,0,4
37,0.729656994342804,0,4
38,0.6462709903717041,0,4
39,0.7020334005355835,0,4
40,0.7074618935585022,0,4
41,0.6600316762924194,0,4
42,0.7006030082702637,0,4
43,0.6514244675636292,0,4
44,0.656243085861206,0,4
45,0.7514466643333435,0,4
46,0.5992898941040039,0,4
47,0.6761690974235535,0,4
48,0.7243987321853638,0,4
49,0.6933760643005371,0,4
50,0.5826313495635986,0,4
51,0.5296617746353149,0,4
52,0.6710802912712097,0,4
53,0.5990993976593018,0,4
54,0.534966230392456,0,4
55,0.7095109820365906,0,4
56,0.5965970754623413,0,4
57,0.6419405937194824,0,4
58,0.5930894613265991,0,4
59,0.6939160227775574,0,4
60,0.6770443320274353,0,4
61,0.7115034461021423,0,4
62,0.6953046917915344,0,4
63,0.7139755487442017,0,4
64,0.5249003767967224,0,4
65,0.6883414387702942,0,4
66,0.6422206163406372,0,4
67,0.6651627421379089,0,4
68,0.6438039541244507,0,4
69,0.6484348773956299,0,4
70,0.6434787511825562,0,4
71,0.6445560455322266,0,4
72,0.6778108477592468,0,4
73,0.6921267509460449,0,4
74,0.7189555764198303,0,4
75,0.7235851287841797,0,4
76,0.6489867568016052,0,4
77,0.6817024946212769,0,4
78,0.6449324488639832,0,4
79,0.7189252972602844,0,4
80,0.6510865688323975,0,4
81,0.5872901082038879,0,4
82,0.6037226319313049,0,4
83,0.6767221689224243,0,4
84,0.7156102061271667,0,4
85,0.662714958190918,0,4
86,0.6325834393501282,0,4
87,0.6098101735115051,0,4
88,0.6292873620986938,0,4
89,0.5158862471580505,0,4
90,0.5797610282897949,0,4
91,0.673403263092041,0,4
92,0.7486975193023682,0,4
93,0.586564302444458,0,4
94,0.6953815817832947,0,4
95,0.7625694870948792,0,4
96,0.6860276460647583,0,4
97,0.6803590655326843,0,4
98,0.6111125946044922,0,4
99,0.7576193809509277,0,4
100,0.7253508567810059,0,4
101,0.707992672920227,0,4
102,0.6192484498023987,0,4
103,0.6924270987510681,0,4
104,0.6973403692245483,0,4
105,0.6558291912078857,0,4
106,0.6708882451057434,0,4
107,0.6798962950706482,0,4
108,0.672317385673523,0,4
109,0.6263812184333801,0,4
110,0.7360685467720032,0,4
111,0.5357323884963989,0,4
112,0.6814703345298767,0,4
113,0.6567907333374023,0,4
114,0.6304274201393127,0,4
115,0.6606945991516113,0,4
116,0.6466048359870911,0,4
117,0.6636981964111328,0,4
118,0.6866066455841064,0,4
119,0.7778099775314331,0,4
120,0.7026694416999817,0,4
121,0.664700984954834,0,4
122,0.6354650259017944,0,4
123,0.6943627595901489,0,4
124,0.6495745182037354,0,4
125,0.685733437538147,0,4
126,0.6646026968955994,0,4
127,0.6990227699279785,0,4
128,0.6766815185546875,0,4
129,0.7089788913726807,0,4
130,0.615566611289978,0,4
131,0.6253122091293335,0,4
132,0.6079132556915283,0,4
133,0.6985706090927124,0,4
134,0.6952345371246338,0,4
135,0.6662977933883667,0,4
136,0.6777715682983398,0,4
137,0.7151328325271606,0,4
138,0.6740402579307556,0,4
139,0.6778620481491089,0,4
140,0.649442195892334,0,4
141,0.6932579874992371,0,4
142,0.6023297309875488,0,4
143,0.7805320024490356,0,4
144,0.6822237968444824,0,4
145,0.673983097076416,0,4
146,0.705155611038208,0,4
147,0.6934995651245117,0,4
148,0.6963877081871033,0,4
149,0.6377841234207153,0,4
150,0.5932206511497498,0,4
151,0.6606916785240173,0,4
152,0.689179539680481,0,4
153,0.7542144656181335,0,4
154,0.7051174640655518,0,4
155,0.6415876150131226,0,4
156,0.795339822769165,0,4
157,0.6369234323501587,0,4
158,0.6168657541275024,0,4
159,0.6649507284164429,0,4
160,0.6539705991744995,0,4
161,0.6777456998825073,0,4
162,0.649377167224884,0,4
163,0.7494555115699768,0,4
164,0.6218796968460083,0,4
165,0.645051896572113,0,4
166,0.7129286527633667,0,4
167,0.7020118236541748,0,4
168,0.7659603357315063,0,4
169,0.612295389175415,0,4
170,0.6194274425506592,0,4
171,0.6633688807487488,0,4
172,0.7307156324386597,0,4
173,0.731522262096405,0,4
174,0.5984939336776733,0,4
175,0.6141995787620544,0,4
176,0.6436632871627808,0,4
177,0.6799284815788269,0,4
178,0.6851308941841125,0,4
179,0.6599642038345337,0,4
180,0.6691455841064453,0,4
181,0.6202090382575989,0,4
182,0.5458779335021973,0,4
183,0.7061159014701843,0,4
184,0.5902435779571533,0,4
185,0.6795104742050171,0,4
186,0.6956749558448792,0,4
187,0.6098467707633972,0,4
188,0.6052405834197998,0,4
189,0.6924027800559998,0,4
190,0.6709532737731934,0,4
191,0.6540526151657104,0,4
192,0.6224607825279236,0,4
193,0.6010775566101074,0,4
194,0.6557338237762451,0,4
195,0.5582166314125061,0,4
196,0.7565163969993591,0,4
197,0.6237859129905701,0,4
198,0.6035010814666748,0,4
199,0.6595311760902405,0,4
200,0.7091169357299805,0,4
