iteration,meta_loss,n_skipped,n_valid_tasks
1,0.7276526689529419,0,4
2,11.383867263793945,0,4
3,9.130340576171875,0,4
4,4.038258075714111,0,4
5,2.3879430294036865,0,4
6,0.7017124891281128,0,4
7,1.127347469329834,0,4
8,1.510046124458313,0,4
9,0.8735668659210205,0,4
10,1.0642144680023193,0,4
11,0.7651163935661316,0,4
12,1.4419413805007935,0,4
13,1.8029862642288208,0,4
14,0.7644836902618408,0,4
15,1.4819512367248535,0,4
16,1.792878270149231,0,4
17,1.4458104372024536,0,4
18,0.9129960536956787,0,4
19,1.201000452041626,0,4
20,0.9222732782363892,0,4
21,0.8207771182060242,0,4
22,1.0401225090026855,0,4
23,0.6997947096824646,0,4
24,1.0011627674102783,0,4
25,1.1928353309631348,0,4
26,0.7719628810882568,0,4
27,0.7162269949913025,0,4
28,0.942152202129364,0,4
29,0.6317113041877747,0,4
30,0.9366639256477356,0,4
31,1.0801528692245483,0,4
32,0.936664342880249,0,4
33,0.5644343495368958,0,4
34,0.6608450412750244,0,4
35,0.8959698677062988,0,4
36,0.5800881385803223,0,4
37,0.6611328721046448,0,4
38,0.7173981070518494,0,4
39,0.6617931723594666,0,4
40,0.5903828144073486,0,4
41,0.7875305414199829,0,4
42,0.5845851898193359,0,4
43,0.6479169130325317,0,4
44,0.716619610786438,0,4
45,0.5396938323974609,0,4
46,0.8821519017219543,0,4
47,1.407564401626587,0,4
48,1.0501686334609985,0,4
49,0.4896354675292969,0,4
50,0.9446821212768555,0,4
51,1.1962907314300537,0,4
52,1.3803335428237915,0,4
53,0.771490216255188,0,4
54,0.8035991787910461,0,4
55,1.0297622680664062,0,4
56,0.8858404755592346,0,4
57,0.5040029287338257,0,4
58,0.5541918277740479,0,4
59,0.5598593354225159,0,4
60,0.5552152991294861,0,4
61,0.7098344564437866,0,4
62,0.6414852142333984,0,4
63,0.5278120040893555,0,4
64,0.6306565999984741,0,4
65,0.7481488585472107,0,4
66,0.7198155522346497,0,4
67,0.6518713235855103,0,4
68,0.5687146186828613,0,4
69,0.6995688676834106,0,4
70,0.5900492072105408,0,4
71,0.623486340045929,0,4
72,0.7884791493415833,0,4
73,0.932787299156189,0,4
74,0.7935992479324341,0,4
75,0.6846280097961426,0,4
76,0.6732058525085449,0,4
77,0.5075565576553345,0,4
78,0.6133973002433777,0,4
79,0.6443020105361938,0,4
80,0.503710150718689,0,4
81,0.5713827013969421,0,4
82,0.9944652318954468,0,4
83,0.6215863227844238,0,4
84,0.6250926852226257,0,4
85,0.826422929763794,0,4
