model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
FOMAML,0.7157894736842105,0.7731260935675099,0.6275334749357346,0.2162201424936367,0.2557116746902466,0.891566265060241,0.8448275862068966,0.6031075962658586,0.6551724137931034,58,38,0.6,0.07894736842105263,0.6548086577531306,0.8,0.21052631578947367,0.7759944384848245,0.8,0.42105263157894735,0.7840644021022434,0
FOMAML,0.7606382978723405,0.7912658839482963,0.7330301922736723,0.26596613600734414,0.37481831970499524,0.40625,0.43283582089552236,0.4894503212686795,0.7014925373134329,67,47,0.6,0.06382978723404255,0.49125969208957565,0.7,0.14893617021276595,0.5914640815742043,0.8,0.3404255319148936,0.6990375072084523,1
FOMAML,0.475,0.7478199921841475,0.8278993813423418,0.3108568270487991,0.41154906511306766,0.33962264150943394,0.3,0.4817469596862793,0.8,50,40,0.4,0.05,0.30078518014914984,0.7,0.175,0.5462574254588145,0.75,0.375,0.6347217473636019,2
FOMAML,0.7695906432748538,0.7997521594736662,0.7149582843395714,0.259890442446465,0.40320090437307954,0.36666666666666664,0.40625,0.48225068440660834,0.703125,64,45,0.6,0.06666666666666667,0.49125969208957565,0.8,0.17777777777777778,0.6698623505528797,0.75,0.3333333333333333,0.6775250941204461,3
FOMAML,0.7659574468085106,0.7925858896225374,0.7371702460421856,0.26720021574940284,0.393527463745715,0.4307692307692308,0.44776119402985076,0.4857316751088669,0.7014925373134329,67,47,0.6,0.06382978723404255,0.49125969208957565,0.7,0.14893617021276595,0.5914640815742043,0.8,0.3404255319148936,0.6979596194095139,4
FOMAML,0.7802631578947369,0.8130026799631149,0.6512104167855772,0.22843579566120065,0.15906142935914505,0.5483870967741935,0.5254237288135594,0.5465355571043693,0.6779661016949152,59,40,0.6,0.075,0.6548086577531306,0.8,0.2,0.7759944384848245,0.8,0.4,0.7815394766508733,5
FOMAML,0.8723684210526317,0.9262878629930587,0.573331127874837,0.19544470702963299,0.12761235590708458,0.7058823529411765,0.6610169491525424,0.5503537457878307,0.6779661016949152,59,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,0.95,0.475,0.9644899900915855,6
FOMAML,0.7548209366391185,0.7531394819275322,0.7121908414469281,0.24795908439353423,0.24261616143313325,0.75,0.6,0.7578586860136552,0.6,55,33,0.6,0.09090909090909091,0.639945385422766,0.7,0.21212121212121213,0.7000949683025057,0.7,0.42424242424242425,0.70608565069532,7
FOMAML,0.7604938271604937,0.8246149955281066,0.7131823329972969,0.2596709356112951,0.2557294032876453,0.3508771929824561,0.4126984126984127,0.46349476585312493,0.7142857142857143,63,45,0.8,0.08888888888888889,0.6608397947263838,0.9,0.2,0.7799082337019198,0.75,0.3333333333333333,0.7152521673376943,8
FOMAML,0.45,0.7371927227077575,0.8224499867950926,0.31147862089828443,0.36661294905038977,0.28,0.3076923076923077,0.4510041761856813,0.7692307692307693,52,40,0.6,0.075,0.639945385422766,0.7,0.175,0.6969179698201174,0.6,0.3,0.6299801505112538,9
FOMAML,0.6733333333333333,0.7478058797256155,0.7048892778322341,0.2546803578851357,0.3242519809649541,0.41935483870967744,0.4461538461538462,0.49962120422950157,0.6923076923076923,65,45,0.6,0.06666666666666667,0.49125969208957565,0.7,0.15555555555555556,0.606241562353928,0.65,0.28888888888888886,0.6108841200734758,10
FOMAML,0.8794117647058823,0.8831113427176557,0.6477928945186722,0.22735906059293517,0.3058420466749291,0.5263157894736842,0.5263157894736842,0.5082138771550697,0.7017543859649122,57,40,0.8,0.1,0.6608397947263838,0.9,0.225,0.7799082337019198,0.9,0.45,0.8206532099998979,11
FOMAML,0.7799043062200958,0.785319221629125,0.6423886501680377,0.22077218028324103,0.2232131069669357,0.8571428571428571,0.7884615384615384,0.606385041314822,0.6346153846153846,52,33,0.6,0.09090909090909091,0.639945385422766,0.7,0.21212121212121213,0.7027284035579431,0.75,0.45454545454545453,0.7394560388948771,12
FOMAML,0.5888888888888889,0.8312921033362521,0.8375323453744511,0.3185454917678677,0.4169945229183545,0.32727272727272727,0.32727272727272727,0.42558848532763394,0.8181818181818182,55,45,0.8,0.08888888888888889,0.6608397947263838,0.9,0.2,0.7799082337019198,0.75,0.3333333333333333,0.7184025736603334,13
FOMAML,0.6535714285714286,0.6993003082409905,0.7003850063215707,0.2417753210103645,0.27835973657545504,0.8602150537634409,0.7868852459016393,0.5923951600418716,0.6557377049180327,61,40,0.4,0.05,0.36005461457723387,0.6,0.15,0.521098444712307,0.6,0.3,0.5521383323701263,14
FOMAML,0.7,0.7689871331710249,0.6470009700416081,0.22590330544289733,0.12857914318641023,0.6666666666666666,0.6,0.5715365911523501,0.6666666666666666,60,40,0.6,0.075,0.6548086577531306,0.8,0.2,0.7759944384848245,0.75,0.375,0.7492011855025535,15
FOMAML,0.7680555555555555,0.8194524231117135,0.6659749202460421,0.23514732343137795,0.31138124650922316,0.4727272727272727,0.5,0.5053483679376799,0.6896551724137931,58,40,0.8,0.1,0.6608397947263838,0.9,0.225,0.7799082337019198,0.75,0.375,0.7185226875498006,16
FOMAML,0.8648310387984981,0.8857073445266219,0.7611943762295381,0.2823914501637175,0.3268306618556381,0.2545454545454545,0.359375,0.4289616560563445,0.734375,64,47,0.8,0.0851063829787234,0.6608397947263838,0.8,0.1702127659574468,0.7162874455029681,0.9,0.3829787234042553,0.8169011809794535,17
FOMAML,0.6825396825396826,0.6891819872534855,0.7090931732453115,0.23941750594779704,0.17777854204177856,0.7586206896551724,0.6111111111111112,0.6885651681158278,0.6111111111111112,54,33,0.4,0.06060606060606061,0.36005461457723387,0.6,0.18181818181818182,0.521098444712307,0.65,0.3939393939393939,0.5922918199900288,18
FOMAML,0.7657894736842106,0.7907340729197015,0.692967294553152,0.24652746975991666,0.2079247312020447,0.42105263157894735,0.4406779661016949,0.5191557715504856,0.6779661016949152,59,40,0.6,0.075,0.639945385422766,0.7,0.175,0.6929852696575346,0.75,0.375,0.7281786782289408,19
