model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
FOMAML,0.3633333333333334,0.7335554741230914,0.6148833836117182,0.21244636958964874,0.19528775540265172,0.8421052631578947,0.7272727272727273,0.6094585928049955,0.7272727272727273,55,40,1.0,0.125,0.9999999999999999,0.7,0.175,0.8006937664098821,0.55,0.275,0.6574153146633246,0
FOMAML,0.8041666666666667,0.8903568841399613,0.6019537111054287,0.2069342289461877,0.0981163572757802,0.810126582278481,0.6808510638297872,0.615706261168135,0.6808510638297872,47,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,0.9,0.5625,0.92875039126704,1
FOMAML,0.40260416666666665,0.6500464467835422,0.6561258659707195,0.23271704862866355,0.13178150448948148,0.7692307692307693,0.625,0.6127771316096187,0.625,64,40,1.0,0.125,0.9999999999999999,0.7,0.175,0.8006937664098821,0.5,0.25,0.6221384625451987,2
FOMAML,0.5774739583333334,0.7121138972067583,0.6652967927507174,0.23780518764505595,0.11666163269962584,0.7272727272727273,0.5714285714285714,0.6261696719697544,0.5714285714285714,56,32,1.0,0.15625,0.9999999999999999,0.8,0.25,0.8701249883466594,0.6,0.375,0.7071726531171406,3
FOMAML,0.7462962962962963,0.8721286733930971,0.5982098661656138,0.20482537920011296,0.09413763237934485,0.8275862068965517,0.7058823529411765,0.6117447205618316,0.7058823529411765,51,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,0.95,0.5277777777777778,0.9616153618346169,4
FOMAML,0.4703125,0.6694660208842397,0.653321213863077,0.2313666963694303,0.10412061586976051,0.7692307692307693,0.625,0.6108635440468788,0.625,64,40,1.0,0.125,0.9999999999999999,0.7,0.175,0.8006937664098821,0.55,0.275,0.6556289139840448,5
FOMAML,0.5015625,0.6782824106458145,0.6525082227101981,0.23097387986593043,0.10362821072340006,0.7692307692307693,0.625,0.6113802194595337,0.625,64,40,1.0,0.125,0.9999999999999999,0.7,0.175,0.8006937664098821,0.55,0.275,0.6556289139840448,6
FOMAML,0.6658333333333334,0.8416592279026742,0.6015604878500117,0.206084400512319,0.12304519198157567,0.8421052631578947,0.7272727272727273,0.6042275352911516,0.7272727272727273,55,40,1.0,0.125,0.9999999999999999,0.9,0.225,0.933745776545611,0.9,0.45,0.9243767169173913,7
FOMAML,0.5558712121212122,0.6536680084003381,1.470256077904499,0.4510201881496836,0.4515825271606445,0.6597938144329897,0.49230769230769234,0.9438902194683368,0.49230769230769234,65,32,1.0,0.15625,0.9999999999999999,0.9,0.28125,0.933745776545611,0.55,0.34375,0.6762720742998941,8
FOMAML,0.2922453703703704,0.5047129691170694,0.6871479571275242,0.2467894731651837,0.2192347000042598,0.75,0.6,0.6010915865500768,0.6,60,36,0.4,0.05555555555555555,0.4703652827859579,0.3,0.08333333333333333,0.3836331529183766,0.3,0.16666666666666666,0.35002226341223414,9
FOMAML,0.5774739583333334,0.7121138972067583,0.6652967927507174,0.23780518764505595,0.11666163269962584,0.7272727272727273,0.5714285714285714,0.6261696719697544,0.5714285714285714,56,32,1.0,0.15625,0.9999999999999999,0.8,0.25,0.8701249883466594,0.6,0.375,0.7071726531171406,10
FOMAML,0.48802083333333335,0.6746473507637618,0.6528149207731225,0.2311229143993443,0.1038224287331104,0.7692307692307693,0.625,0.6111903488636017,0.625,64,40,1.0,0.125,0.9999999999999999,0.7,0.175,0.8006937664098821,0.55,0.275,0.6556289139840448,11
FOMAML,0.40162037037037035,0.5403668431385952,0.6830580148457652,0.24483260468756296,0.13937048316001893,0.75,0.6,0.5994375308354696,0.6,60,36,0.4,0.05555555555555555,0.4703652827859579,0.3,0.08333333333333333,0.3836331529183766,0.4,0.2222222222222222,0.4236853017672176,12
FOMAML,0.48032407407407407,0.6810551471665532,0.6596542037425606,0.23479092481785244,0.18180330991744995,0.75,0.6,0.6224407176176707,0.6,60,36,1.0,0.1388888888888889,0.9999999999999999,0.8,0.2222222222222222,0.8701249883466594,0.55,0.3055555555555556,0.6735979330783882,13
FOMAML,0.5377604166666667,0.612590563097154,0.6829270982791401,0.24501512989493066,0.05302883897508891,0.7272727272727273,0.5714285714285714,0.5968910647290093,0.5714285714285714,56,32,0.6,0.09375,0.7227265726449517,0.4,0.125,0.5326208815196265,0.55,0.34375,0.5965563057200712,14
