model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
MAML,0.30434782608695654,0.7438236289510138,0.8964839803218455,0.34704485165508286,0.40095853394475467,0.2857142857142857,0.3103448275862069,0.3921449143311073,0.7931034482758621,29,23,0.8,0.17391304347826086,0.7860137352654724,0.7,0.30434782608695654,0.70937536504841,0.7,0.6086956521739131,0.7081171950808881,0
MAML,0.1875,0.7101823080990352,2.2281168530830393,0.6984157373141415,0.7306873199662992,0.0,0.19047619047619047,0.07883648955751033,0.8095238095238095,42,34,0.8,0.11764705882352941,0.7860137352654724,0.4,0.11764705882352941,0.510069131458292,0.65,0.38235294117647056,0.6497516421845788,1
MAML,0.19166666666666665,0.5680892188888569,2.514851378058784,0.6427546610918925,0.6524165177202605,0.0,0.3191489361702128,0.028434546109526716,0.6808510638297872,47,32,0.4,0.0625,0.5531464700081437,0.3,0.09375,0.4323181322709948,0.4,0.25,0.4491029441111851,2
MAML,0.31714285714285717,0.7021566048974529,1.0077965849794606,0.3973656659880846,0.5080390824211969,0.14634146341463414,0.2222222222222222,0.3513122770521376,0.7777777777777778,45,35,0.6,0.08571428571428572,0.6548086577531306,0.5,0.14285714285714285,0.5548010254700116,0.65,0.37142857142857144,0.6402355078491304,3
MAML,0.21634615384615385,0.6787032705547372,0.8460899203601369,0.32502036889249125,0.4175087949808906,0.24242424242424243,0.2647058823529412,0.44073662687750426,0.7647058823529411,34,26,0.8,0.15384615384615385,0.7860137352654724,0.4,0.15384615384615385,0.510069131458292,0.65,0.5,0.6497516421845788,4
MAML,0.3285024154589372,0.7094703998458298,0.7670487786503646,0.2875412914977096,0.298839851282537,0.27586206896551724,0.34375,0.4569655107334256,0.71875,32,23,0.8,0.17391304347826086,0.8687949224876581,0.6,0.2608695652173913,0.6936634693435662,0.55,0.4782608695652174,0.6325531916858218,5
MAML,0.31182795698924726,0.6900706024516973,3.6497902716105175,0.7602564671621569,0.7647608450381086,0.0,0.225,0.010239154961891473,0.775,40,31,0.2,0.03225806451612903,0.3391602052736161,0.5,0.16129032258064516,0.5017289690294563,0.75,0.4838709677419355,0.6784321459281384,6
MAML,0.1171875,0.6612654571046228,1.835686988332267,0.6388378246338148,0.6774362789466977,0.0,0.2,0.1225637210533023,0.8,40,32,0.6,0.09375,0.529634717214042,0.4,0.125,0.40731747959109704,0.6,0.375,0.5463955926377432,7
MAML,0.23789473684210527,0.5147852624586261,1.8791303282118235,0.4202104167487432,0.41710527105764905,0.7246376811594203,0.5681818181818182,0.9852870892394673,0.5681818181818182,44,25,0.6,0.12,0.7227265726449517,0.4,0.16,0.5326208815196265,0.3,0.24,0.41415538628523973,8
MAML,0.24999999999999997,0.5333877991106227,0.7082599247378911,0.25674358459924174,0.1895619305067284,0.7164179104477612,0.5581395348837209,0.5560209023398023,0.627906976744186,43,27,0.6,0.1111111111111111,0.529634717214042,0.5,0.18518518518518517,0.473571703045486,0.4,0.2962962962962963,0.4130970824126741,9
MAML,0.31714285714285717,0.7021566048974529,1.0077965849794606,0.3973656659880846,0.5080390824211969,0.14634146341463414,0.2222222222222222,0.3513122770521376,0.7777777777777778,45,35,0.6,0.08571428571428572,0.6548086577531306,0.5,0.14285714285714285,0.5548010254700116,0.65,0.37142857142857144,0.6402355078491304,10
MAML,0.28695652173913044,0.6442656790320704,0.72801271365893,0.2676972233709963,0.25401997114672803,0.35294117647058826,0.3333333333333333,0.5318665405114492,0.696969696969697,33,23,0.8,0.17391304347826086,0.7860137352654724,0.5,0.21739130434782608,0.5736899196572437,0.5,0.43478260869565216,0.5566596585624433,11
MAML,0.3035714285714286,0.6784766242836162,0.8593452231884385,0.3305727238011132,0.3882698455923483,0.22857142857142856,0.2894736842105263,0.4118685463541432,0.7368421052631579,38,28,0.8,0.14285714285714285,0.7860137352654724,0.5,0.17857142857142858,0.5736899196572437,0.65,0.4642857142857143,0.657784929980262,12
MAML,0.254320987654321,0.5804056374930684,0.9664394827007209,0.30743366994815247,0.28800555921736215,0.782608695652174,0.6428571428571429,0.9160943712506976,0.6428571428571429,42,27,0.6,0.1111111111111111,0.7227265726449517,0.4,0.14814814814814814,0.5384313152574521,0.4,0.2962962962962963,0.4846314954109615,13
MAML,0.28205128205128205,0.541066327822995,0.8267376322974177,0.2951332821829633,0.20757210931994707,0.7428571428571429,0.5909090909090909,0.7984812002290379,0.5909090909090909,44,26,0.8,0.15384615384615385,0.7860137352654724,0.4,0.15384615384615385,0.510069131458292,0.45,0.34615384615384615,0.5071681561187525,14
MAML,0.33695652173913043,0.5770990737265466,0.7234837127050634,0.2616189478143876,0.1280292792197985,0.7419354838709677,0.5897435897435898,0.7134984334309896,0.5897435897435898,39,23,0.8,0.17391304347826086,0.7860137352654724,0.5,0.21739130434782608,0.5736899196572437,0.5,0.43478260869565216,0.5553469772482881,15
MAML,0.25232198142414863,0.58558955828678,0.8263912556924046,0.3136513039863897,0.35125156843437344,0.2,0.39622641509433965,0.38203235954608555,0.6415094339622641,53,34,0.8,0.11764705882352941,0.8687949224876581,0.4,0.11764705882352941,0.5637884576902256,0.45,0.2647058823529412,0.5466635812602003,16
MAML,0.3502024291497976,0.5882763176950286,0.8932800743903054,0.31702811461964103,0.26538575092951455,0.7323943661971831,0.5777777777777777,0.8431635287072924,0.5777777777777777,45,26,0.8,0.15384615384615385,0.8687949224876581,0.4,0.15384615384615385,0.5637884576902256,0.5,0.38461538461538464,0.5838943860840344,17
MAML,0.10590277777777778,0.49251024500466667,0.7703293861845992,0.2881152638203629,0.3087252372503281,0.13953488372093023,0.26,0.5018717557191849,0.64,50,32,0.4,0.0625,0.5087403079104241,0.2,0.0625,0.3301376494471203,0.25,0.15625,0.32052942756303565,18
MAML,0.3045267489711934,0.7067886435554238,1.1830089477012309,0.45864531574817274,0.5488669487337271,0.07142857142857142,0.2777777777777778,0.24361968081858423,0.75,36,27,0.6,0.1111111111111111,0.7227265726449517,0.6,0.2222222222222222,0.6683063269107927,0.7,0.5185185185185185,0.7151914919463211,19
