target_department,candidate_bucket,contract_id,contract_name,supplier_id,supplier_display_name,department,renegotiation_prob,contract_age_years,years_to_expiry_capped,payment_terms,incoterms,contract_value_dkk
Drug Substance Outsourcing,likely_yes_high_score,282,Vistin (Weifa)_Master_20051228_SA,13025,VISTIN PHARMA AS,Drug Substance Outsourcing,0.9999999999910528,19,,F060 Invoice Date + 60 days,CIP Carriage and insurance paid,
Drug Substance Outsourcing,likely_yes_high_score,7289,Vistin Pharma AS_Master_20051228_SA_former contract WEIFA,13025,VISTIN PHARMA AS,Drug Substance Outsourcing,0.9999999999910528,20,,F060 Invoice Date + 60 days,CIP Carriage and insurance paid,
Drug Substance Outsourcing,likely_yes_high_score,8738,Albemarle_call-off_20170620_WO5_AA1-2,226396,W R GRACE & CO - CONN,Drug Substance Outsourcing,0.9999999999893744,8,,F045 Invoice Date + 45 days,DDP Delivered duty paid,2884342.5
Drug Substance Outsourcing,likely_yes_high_score,205,Hovione_Master_20171006_OA,12086,HOVIONE FARMACIENCIA SA,Drug Substance Outsourcing,0.9999999999893744,7,,F060 Invoice Date + 60 days,FCA Free carrier,104300000.0
Drug Substance Outsourcing,likely_yes_high_score,375,CBB_Master_20150527_SA_CNS-enzyme,14132,CENTER FOR BIOCATALYSIS AND BIOPROCESSING,Drug Substance Outsourcing,0.9999999999893744,10,,F030 Invoice Date + 30 days,DAP Del.at Place-excl.unloading,8134812.0
Drug Substance Outsourcing,likely_yes_high_score,166,Alsiano_Stand alone_2014_BTA,1092,ALSIANO A/S,Drug Substance Outsourcing,0.9999999999893744,11,,,,
Drug Substance Outsourcing,likely_yes_high_score,1616,Dalton_Call-off_20180327_WO_10_Biovectra,9991,DALTON CHEMICAL LABORATORIES INC.,Drug Substance Outsourcing,0.9999999999893744,7,,F030 Invoice Date + 30 days,DDP Delivered duty paid,6082209.0
Drug Substance Outsourcing,likely_yes_high_score,1610,Dalton_Master_20150611_OA,9991,DALTON CHEMICAL LABORATORIES INC.,Drug Substance Outsourcing,0.9999999999893744,10,,F030 Invoice Date + 30 days,DAP Del.at Place-excl.unloading,2707998.3
Drug Substance Outsourcing,likely_yes_high_score,148,Millmount Healthcare (PCI)_Master_20180619_OA,9535,MILLMOUNT HEALTHCARE LIMITED (PCI),Drug Substance Outsourcing,0.9999999999893744,7,,F060 Invoice Date + 60 days,FCA Free carrier,81950000.0
Drug Substance Outsourcing,likely_yes_high_score,289,Sartorius Stedim Biotech GmbH_Stand alone_2018_BTA,9148,SARTORIUS-STEDIM BIOTECH GMBH,Drug Substance Outsourcing,0.9999999999868252,7,,F045 Invoice Date + 45 days,FCA Free carrier,0.0
Drug Substance Outsourcing,likely_no_low_score,100770,Fujifilm_Call-off_2021_SA_AA2_Incoterms,10679,FUJIFILM DIOSYNTH BIOTECHNOLOGIES,Drug Substance Outsourcing,0.0091421133624223,4,,F030 Invoice Date + 30 days,DAP Del.at Place-excl.unloading,0.0
Drug Substance Outsourcing,likely_no_low_score,570164,Fujifilm_Call-off_2025_SA_AA8_APP8_APP12,10679,FUJIFILM DIOSYNTH BIOTECHNOLOGIES,Drug Substance Outsourcing,0.0091421133624223,0,,F030 Invoice Date + 30 days,DAP Del.at Place-excl.unloading,0.0
Drug Substance Outsourcing,likely_no_low_score,487064,Fujifilm_Call-Off-2025_WO58_Stability report and storage charge for WCB & MCB,10679,FUJIFILM DIOSYNTH BIOTECHNOLOGIES,Drug Substance Outsourcing,0.0091421133624223,0,3.0,F030 Invoice Date + 30 days,EXW Ex works,939600.0
Drug Substance Outsourcing,likely_no_low_score,455025,Fujifilm_Call-off_2024_WO_57_Reference_Standard,10679,FUJIFILM DIOSYNTH BIOTECHNOLOGIES,Drug Substance Outsourcing,0.0091421133624223,1,9.0,F030 Invoice Date + 30 days,EXW Ex works,1325250.0
Drug Substance Outsourcing,likely_no_low_score,428201,Fujifilm_Call-off_2024_SA_AA7_APP8_APP12,10679,FUJIFILM DIOSYNTH BIOTECHNOLOGIES,Drug Substance Outsourcing,0.0091421133624223,1,,F030 Invoice Date + 30 days,EXW Ex works,454005.0
Drug Substance Outsourcing,likely_no_low_score,312482,Fujifilm_Call-off_2023_WO_53,10679,FUJIFILM DIOSYNTH BIOTECHNOLOGIES,Drug Substance Outsourcing,0.0091421133624223,2,,F030 Invoice Date + 30 days,EXW Ex works,1256850.0
Drug Substance Outsourcing,likely_no_low_score,303647,Fujifilm_Call-off_2021_SA_AA5_APP8_APP12,10679,FUJIFILM DIOSYNTH BIOTECHNOLOGIES,Drug Substance Outsourcing,0.0091421133624223,2,,F030 Invoice Date + 30 days,DAP Del.at Place-excl.unloading,0.0
Drug Substance Outsourcing,likely_no_low_score,519414,AGC_WO15_2025_Nitrosamine risk assessment,15023,AGC BIOLOGICS A/S,Drug Substance Outsourcing,0.0752129040665659,0,1.0,F030 Invoice Date + 30 days,CPT Carriage paid,667944.65
Drug Substance Outsourcing,likely_no_low_score,491747,AGC Biologics_Amendment_2025_Biologics CDA,15023,AGC BIOLOGICS A/S,Drug Substance Outsourcing,0.0752129040665659,0,2.0,F030 Invoice Date + 30 days,CPT Carriage paid,0.0
Drug Substance Outsourcing,likely_no_low_score,486990,AGC_Call-Off_2025_SA_WO13_Stability Study,15023,AGC BIOLOGICS A/S,Drug Substance Outsourcing,0.0752129040665659,0,3.0,F045 Invoice Date + 45 days,EXW Ex works,1144558.4
Drug Substance Outsourcing,uncertain_near_0_5,138699,"TIANJIN TEHO STORAGE EQUIPMENT SALES CO.,LTD_Stand-alone_2021_C4F",31106,天津市泰和凌智仓储设备销售有限公司,Drug Substance Outsourcing,0.5,4,,,,0.0
Drug Substance Outsourcing,uncertain_near_0_5,138690,BJ FaMa High Tec.Ltd_Stand-alone_2021_C4F,149091,北京法玛高科技有限公司,Drug Substance Outsourcing,0.5,4,,,,0.0
