target_department,candidate_bucket,contract_id,contract_name,supplier_id,supplier_display_name,department,renegotiation_prob,contract_age_years,years_to_expiry_capped,payment_terms,incoterms,contract_value_dkk
Logistics,likely_yes_high_score,46854,TFND_Call-off_2014_NNAS_Primary_FFA_Amendment1_BE Clause,18077,XPO TRANSPORT SOLUTIONS SUD FRANCE DUP#37124 IN 1000,Logistics,0.9999999999998932,11,,F030 Invoice Date + 30 days,,
Logistics,likely_yes_high_score,46860,XPO_Call-off_2017_NNAS_Primary_FFA_Amendment2_4PLsetup,18077,XPO TRANSPORT SOLUTIONS SUD FRANCE DUP#37124 IN 1000,Logistics,0.9999999999998932,8,,F030 Invoice Date + 30 days,,0.0
Logistics,likely_yes_high_score,46847,TFND_Master_2010_NNAS_Primary_FFA,18077,XPO TRANSPORT SOLUTIONS SUD FRANCE DUP#37124 IN 1000,Logistics,0.9999999999998932,15,,F030 Invoice Date + 30 days,,
Logistics,likely_yes_high_score,46134,Leman_Call-off_2015_NNAS_Primary_FFA_Amendment1 Legal Name Change,8880,LEMAN A/S,Logistics,0.9999999999982212,10,,F030 Invoice Date + 30 days,,0.0
Logistics,likely_yes_high_score,46139,Leman_Call-off_2017_NNAS_Primary_FFA_Amendment3_4PL Setup,8880,LEMAN A/S,Logistics,0.9999999999982212,8,,F030 Invoice Date + 30 days,,0.0
Logistics,likely_yes_high_score,47409,Neptun_Call-off_2017_NNAS_Primary_FFA_Amendment1_4PLsetup,1708,NEPTUN TRANSPORT A/S,Logistics,0.9999999997572682,13,,F030 Invoice Date + 30 days,,
Logistics,likely_yes_high_score,46918,BHS_Call-off_2017_NNAS_Primary_FFA_Amendment1_4PLsetup,2820,BHS LOGISTICS A/S,Logistics,0.9999999997572682,8,,F030 Invoice Date + 30 days,,0.0
Logistics,likely_yes_high_score,47982,DSV Road_Call-off_2017_NNAS_Primary_FFA_AA1_4PL setup,3241,DSV ROAD A/S,Logistics,0.9999999996425804,15,,F030 Invoice Date + 30 days,,
Logistics,likely_yes_high_score,1138,DHL GLOBAL FORWARDING_MASTER_2017_NNAS_Primary_FFA,35965,DHL Global Forwarding,Logistics,0.9981776099595018,8,2.0,F060 Invoice Date + 60 days,,2200000.0
Logistics,likely_yes_high_score,411786,LSL_Call-off_2024_LSPA_Address Change,341144,"LIFE SCIENCE LOGISTICS, LLC PARADIGM TOPCO, LLC",Logistics,0.4848979170077941,2,,F060 Invoice Date + 60 days,,0.0
