target_department,candidate_bucket,contract_id,contract_name,supplier_id,supplier_display_name,department,renegotiation_prob,contract_age_years,years_to_expiry_capped,payment_terms,incoterms,contract_value_dkk
Packaging Material,likely_yes_high_score,8145,Gentofte Fjernvarme_Call-off_2014_SA_APP_leveringsbestemmelser_200141121,8238,GENTOFTE KOMMUNE KRAFTVARME V/NESA A/S,Packaging Material,0.9999999999910528,11,,,,
Packaging Material,likely_yes_high_score,8765,Novo Nordisk Pharmatech_Master_2015_SLA,6704,NOVO NORDISK PHARMATECH A/S P.O. BOX 230,Packaging Material,0.9999999999910528,10,,,,0.0
Packaging Material,likely_yes_high_score,8767,Vestforbrænding_Master_2009_SA,8741,VESTFORBRÆNDING I/S,Packaging Material,0.9999999999910528,16,,,,
Packaging Material,likely_yes_high_score,274483,"Tianjin ZeYang Printing Co., Ltd._Amendment No. 2_2023_Price Sheet Update",31520,天津市泽阳印务有限公司,Packaging Material,0.9999999999893744,12,,F060 Invoice Date + 60 days,DDP Delivered duty paid,
Packaging Material,likely_yes_high_score,8168,Kalundborg Bioenergy_Call-off_2017_SA_APP_exhibits,17030,KALUNDBORG BIOENERGI APS,Packaging Material,0.9999999999893744,7,,,,0.0
Packaging Material,likely_yes_high_score,281162,Dobber Healthcare_Amendment No.2_2023_Price Sheet update,15071,DOBBER HEALTHCARE LEAFLETS,Packaging Material,0.9999999999893744,12,,F045 Invoice Date + 45 days,DDP Delivered duty paid,
Packaging Material,likely_yes_high_score,1984,"WestRock MWV, LLC_Master_20160930_SA",13466,SMURFIT WESTROCK,Packaging Material,0.9999999999893744,9,,F060 Invoice Date + 60 days,DDP Delivered duty paid,111750000.0
Packaging Material,likely_yes_high_score,2002,Braunform_Master_20070115_OA,8702,BRAUNFORM GMBH,Packaging Material,0.9999999999893744,18,,F030 Invoice Date + 30 days,DAP Del.at Place-excl.unloading,
Packaging Material,likely_yes_high_score,280508,Tianjin Yiyao Printing Co. Ltd_Amendment No 3_2023_Pricing sheet update,21900,天津宜药印务有限公司,Packaging Material,0.9999999999893744,11,,F030 Invoice Date + 30 days,DDP Delivered duty paid,
Packaging Material,likely_yes_high_score,279953,"New Century Graphic Arts Industrial Co., Ltd._Amendment No 3_2023_Price sheet update",26358,大连新世纪印刷信息产业有限公司,Packaging Material,0.9999999999893744,11,,F060 Invoice Date + 60 days,DDP Delivered duty paid,
Packaging Material,likely_no_low_score,384880,LGR EMBALLAGES SAS_CALL-OFF_2024_AA2_Appendices update,14314,LEGUAY EMBALLAGES,Packaging Material,0.0740849053219382,1,,F030 Invoice Date + 30 days,DDP Delivered duty paid,0.0
Packaging Material,likely_no_low_score,179857,Smurfit Kappa Denmark AS_Master_2021_SA,16750,SMURFIT WESTROCK DANMARK A/S,Packaging Material,0.0740849053219382,4,,F060 Invoice Date + 60 days,DAP Del.at Place-excl.unloading,0.0
Packaging Material,likely_no_low_score,281467,Smurfit Kappa Denmark AS_Amendment No. 1_2023_ Price Sheet Update,16750,SMURFIT WESTROCK DANMARK A/S,Packaging Material,0.0740849053219382,4,,F060 Invoice Date + 60 days,DAP Del.at Place-excl.unloading,0.0
Packaging Material,likely_no_low_score,505704,LGR Emballages SAS_CALL-OFF_2025_SA_AA3_Appendices update,14314,LEGUAY EMBALLAGES,Packaging Material,0.0740849053219382,0,,F045 Invoice Date + 45 days,DDP Delivered duty paid,0.0
Packaging Material,likely_no_low_score,482184,Suzano SA_ Collaboration Agreement_2024,387285,SUZANO S.A.,Packaging Material,0.0866145904267839,1,1.0,,,0.0
Packaging Material,likely_no_low_score,437658,Suzano S.A._CDA_2024,387285,SUZANO S.A.,Packaging Material,0.0866145904267839,1,2.0,F060 Invoice Date + 60 days,,0.0
