inner_steps,method,gold_auroc_mean_mean,gold_auroc_mean_std,gold_logloss_mean_mean,gold_logloss_mean_std,ndcg_at_10_mean_mean,ndcg_at_10_mean_std,gold_ece_mean_mean,gold_ece_mean_std,precision_at_10_mean_mean,precision_at_10_mean_std
1,anil,0.4142,,0.881,,0.5751,,0.3471,,0.565,
1,finetune,0.5033,,8.1115,,0.6989,,0.4671,,0.675,
1,fomaml,0.393,0.0971,1.1434,0.12,0.6495,0.0549,0.3171,0.0858,0.62,0.0471
1,maml,0.3581,0.0951,1.5466,0.6813,0.6336,0.0771,0.3634,0.0677,0.6033,0.081
1,zero_shot,0.6338,,2.0603,,0.7888,,0.5855,,0.79,
2,fomaml,0.3964,0.0856,1.7528,1.0833,0.6429,0.0604,0.3685,0.2382,0.609,0.0771
2,maml,0.3834,0.0596,5.3589,3.7417,0.6185,0.0481,0.4779,0.1735,0.577,0.0785
3,anil,0.5331,0.1496,0.7606,0.1059,0.6661,0.2165,0.2564,0.0707,0.6583,0.2558
3,finetune,0.5033,,8.1115,,0.6989,,0.4671,,0.675,
3,fomaml,0.4263,0.0737,0.715,0.0832,0.6725,0.0457,0.1977,0.0846,0.65,0.0761
3,maml,0.4793,0.1585,1.2005,0.3444,0.6775,0.0734,0.3201,0.0863,0.6375,0.1151
3,zero_shot,0.6093,0.0563,1.545,0.5192,0.8403,0.1412,0.4696,0.1136,0.835,0.1477
5,anil,0.5418,,0.8546,,0.6475,,0.3336,,0.635,
5,finetune,0.5033,,8.1115,,0.6989,,0.4671,,0.675,
5,fomaml,0.5015,0.1137,0.717,0.1159,0.7051,0.0414,0.1778,0.0629,0.6894,0.0676
5,maml,0.4388,0.1382,2.0972,2.0003,0.6417,0.0601,0.378,0.1873,0.6008,0.1017
5,zero_shot,0.6338,,2.0603,,0.7888,,0.5855,,0.79,
