method,inner_steps,inner_lr,auroc_mean,auroc_std,ndcg_at_10_mean,ndcg_at_10_std,log_loss_mean,ece_mean,collapse_rate
finetune,1,0.01,0.503,0.033,0.699,0.114,8.111,0.467,0.9
finetune,3,0.01,0.503,0.033,0.699,0.114,8.111,0.467,0.9
finetune,5,0.01,0.503,0.033,0.699,0.114,8.111,0.467,0.9
fomaml,1,0.01,0.478,0.091,0.672,0.138,1.169,0.219,1.0
fomaml,2,0.005,0.501,0.03,0.715,0.09,0.624,0.093,1.0
fomaml,3,0.005,0.497,0.035,0.708,0.09,0.641,0.121,1.0
fomaml,5,0.005,0.515,0.121,0.722,0.13,0.652,0.132,1.0
maml,1,0.01,0.468,0.194,0.712,0.163,2.412,0.35,0.8
maml,2,0.005,0.448,0.101,0.675,0.082,11.478,0.642,1.0
maml,3,0.005,0.591,0.158,0.757,0.161,0.993,0.214,0.7
maml,5,0.0,0.585,0.162,0.703,0.191,0.631,0.128,0.9
zero_shot,1,0.01,0.634,0.199,0.789,0.334,2.06,0.585,0.0
zero_shot,3,0.01,0.634,0.199,0.789,0.334,2.06,0.585,0.0
zero_shot,5,0.01,0.634,0.199,0.789,0.334,2.06,0.585,0.0
