model,rmse,mae,r2,pred_mean,true_mean,condition,model_base
Mean Predictor_A_weak_only,0.307159408369969,0.24918145320876864,-0.00016811168487995687,0.545820451350889,0.5498026807193741,A_weak_only,Mean Predictor
Elastic Net_A_weak_only,0.1501218144678564,0.11237896277719049,0.7610907478215356,0.545581979627912,0.5498026807193741,A_weak_only,Elastic Net
XGBoost_A_weak_only,0.005031854825413097,0.0019901644542492706,0.9997315882247186,0.5496431340458534,0.5498026807193741,A_weak_only,XGBoost
MLP_A_weak_only,0.15491312293373066,0.10115037907360262,0.7455972642768371,0.4827656795640585,0.5498026807193741,A_weak_only,MLP
Mean Predictor_B_gold_only,0.3268431010366851,0.28334622177795854,-0.1324629535098112,0.6615853658536586,0.5498026807193741,B_gold_only,Mean Predictor
Elastic Net_B_gold_only,0.37598268848223426,0.281358727251467,-0.49858388124230624,0.410886339342857,0.5498026807193741,B_gold_only,Elastic Net
XGBoost_B_gold_only,0.4126107966122078,0.3104608385223753,-0.8047894125072994,0.29848650275855104,0.5498026807193741,B_gold_only,XGBoost
MLP_B_gold_only,0.6296998162214084,0.5497197679051471,-3.2035139413023295,8.307887561718544e-05,0.5498026807193741,B_gold_only,MLP
Mean Predictor_C_hybrid,0.30713360387837124,0.2492852420828965,-7.030421600440206e-08,0.5498841170140855,0.5498026807193741,C_hybrid,Mean Predictor
Elastic Net_C_hybrid,0.15621328563591266,0.11585762262497025,0.7413090158388314,0.5450236461892151,0.5498026807193741,C_hybrid,Elastic Net
XGBoost_C_hybrid,0.05602727362207709,0.016231094945981756,0.9667229868722589,0.549356632454633,0.5498026807193741,C_hybrid,XGBoost
MLP_C_hybrid,0.3701844134859192,0.3093033220404437,-0.4527190008489519,0.2417713743568401,0.5498026807193741,C_hybrid,MLP
