composite_key,supplier_number_name,supplier_key,supplier_name,coupa_name,coupa_supplier_id,coupa_supplier_number,coupa_supplier_name,coupa_created_at,coupa_created_by,coupa_updated_at,coupa_updated_by,coupa_supplier_commodity,coupa_tax_id,coupa_primary_contact_email,coupa_primary_contact_phone_work,coupa_primary_pontact_phone_mobile,coupa_primary_contact_phone_fax,coupa_primary_contact_first_name,coupa_primary_contact_last_name,coupa_primary_address_street1,coupa_primary_address_street2,coupa_primary_address_city,coupa_primary_address_state,coupa_primary_address_postal_code,coupa_primary_address_country,coupa_vat_id,coupa_primary_address_tax_country,coupa_invoice_matching_level,coupa_po_method,coupa_po_change_method,coupa_po_email,coupa_supplier_payment_terms_code,coupa_supplier_payment_terms,coupa_supplier_shipping_terms_code,coupa_supplier_shipping_terms,coupa_vendor_account_group,coupa_supplier_owner,coupa_preferred_supplier,coupa_parent_company_supplier_number,coupa_content_groups,coupa_parent_company_id,coupa_parent_company_name,coupa_supplier_tag,moodys_bvd_id,moodys_company_name,moodys_status,moodys_closing_date_last_avail_year,moodys_nom_last_avail_year,moodys_financial_risk,moodys_last_closing_year
MOODYS_DK71302814-COUPA_12286,12286 - BECTON DICKINSON DENMARK A/S ,12286,BECTON DICKINSON DENMARK A/S ,12286,7951,12286,BECTON DICKINSON DENMARK A/S ,2019-06-12 17:19:54,sftp_integration@coupa.com,2025-12-29 09:43:31,sftp_integration@coupa.com,Moody's supplier,DK71302814,Evan.Devaney@bd.com,Moody's supplier,++46  0)765-175 840 ,Moody's supplier,Evan,Devaney,LYSKÆR 3E,Moody's supplier,HERLEV,Moody's supplier,2730,DK,DK71302814,DK,3-way,email,email,ORDERS.DK@BD.COM,F045,F045 Invoice Date + 45 days,CPT,CPT Carriage paid,NNLE,DYYL,Moody's supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;0396 NN Invest 4 A/S DK,Moody's supplier,Moody's supplier,SSIMS,DK71302814,Becton Dickinson Denmark A/S,Active,2025-09-30,12,Go ahead,2025
MOODYS_GB08336235-COUPA_34339,34339 - P\S\L GROUP EUROPE LIMITED ,34339,P\S\L GROUP EUROPE LIMITED ,34339,18091,34339,P\S\L GROUP EUROPE LIMITED ,2019-06-14 09:47:41,sftp_integration@coupa.com,2024-10-29 16:09:05,sftp_integration@coupa.com,Moody's supplier,GB154175024,alex.west@instarresearch.com,Moody's supplier,+44 20 7665 x9214,Moody's supplier,Alex,West,30 GREAT PULTENEY STREET,Moody's supplier,LONDON,Moody's supplier,W1F 9NN,GB,GB154175024,GB,3-way,email,email,BILLING_UK@PSLGROUP.COM,F045,F045 Invoice Date + 45 days,DDP,DDP Delivered duty paid,NNAF,Moody's supplier,Moody's supplier,Moody's supplier,1000 Novo Nordisk A/S DK,Moody's supplier,Moody's supplier,Moody's supplier,GB08336235,PSL Administration Services UK Limited,Active,2024-12-31,12,Do not source,2024
MOODYS_DK30527852-COUPA_40743,40743 - EMENDO CONSULTING GROUP A/S ,40743,EMENDO CONSULTING GROUP A/S ,40743,11238,40743,EMENDO CONSULTING GROUP A/S ,2019-06-14 09:33:00,sftp_integration@coupa.com,2026-01-16 10:48:12,sftp_integration@coupa.com,Moody's supplier,DK30527852,aj@emendo.dk,Moody's supplier,+45  21 19 34 10 ,Moody's supplier,Anders Arnum,Jensen,SUNDKAJ 7,Moody's supplier,NORDHAVN,Moody's supplier,2150,DK,DK30527852,DK,3-way,email,email,INFO@EMENDO.COM,F060,F060 Invoice Date + 60 days,EXW,EXW Ex works,NNLE,VNBU,Preferred Supplier,Moody's supplier,0005 Chartres FR;0005 Chartres FR Purchasing;0084 Clayton US;0084 Clayton US Purchasing;1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;0396 NN Invest 4 A/S DK;0465 NN Ireland Production IE;0465 NN Ireland Production IE Purchasing,Moody's supplier,Moody's supplier,IES,DK30527852,Emendo Consulting Group A/S,Active,2024-12-31,12,Do not source,2024
MOODYS_DK19993345-COUPA_11855,11855 - BUCH & HOLM A/S ,11855,BUCH & HOLM A/S ,11855,1712,11855,BUCH & HOLM A/S ,2019-06-12 16:38:00,sftp_integration@coupa.com,2026-01-16 10:49:00,sftp_integration@coupa.com,Moody's supplier,DK19993345,mih@buch-holm.dk,Moody's supplier,+45 44540000,Moody's supplier,Mikkel ,Holm,MARIELUNDVEJ 39,Moody's supplier,HERLEV,Moody's supplier,2730,DK,DK19993345,DK,3-way,email,email,B-H@BUCH-HOLM.DK,F060,F060 Invoice Date + 60 days,DDP,DDP Delivered duty paid,NNLE,EDHM,Moody's supplier,Moody's supplier,0084 Clayton US;0084 Clayton US Purchasing;1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;0396 NN Invest 4 A/S DK;0497 NN Manufacturing US;0490 Catalent Indiana US,Moody's supplier,Moody's supplier,other,DK19993345,Buch & Holm A/S,Active,2025-09-30,12,Take caution,2025
MOODYS_DE6070345525-COUPA_1000976,1000976 - IQVIA COMMERCIAL GMBH & CO. OHG ,1000976,IQVIA COMMERCIAL GMBH & CO. OHG ,1000976,14457,1000976,IQVIA COMMERCIAL GMBH & CO. OHG ,2019-06-14 09:39:31,sftp_integration@coupa.com,2025-01-23 13:42:16,JXOA,Moody's supplier,DE204958952,julia.scialpi@iqvia.com,Moody's supplier,+49 175 5790591 ,Moody's supplier,Julia,Scialpi,UNTERSCHWEINSTIEGE 2-14,Moody's supplier,FRANKFURT AM MAIN,Moody's supplier,60549,DE,DE204958952,DE,3-way,email,email,AUFTRAG@IQVIA.COM,F014,F014 Invoice Date + 14 days,Moody's supplier,Moody's supplier,NNAF,Moody's supplier,Moody's supplier,Moody's supplier,0003 NN Pharma GmbH DE;0003 NN Pharma GmbH DE Purchasing,Moody's supplier,Moody's supplier,Moody's supplier,DE6070345525,IQVIA Commercial GmbH & Co. OHG,Active,2023-12-31,12,Take caution,2023
MOODYS_DK28314388-COUPA_38566,38566 - THERMO ELECTRON A/S ,38566,THERMO ELECTRON A/S ,38566,12735,38566,THERMO ELECTRON A/S ,2019-06-14 09:36:44,sftp_integration@coupa.com,2025-11-07 06:06:36,sftp_integration@coupa.com,Moody's supplier,DK28314388,jakob.rindom@thermofisher.com,Moody's supplier,+45 70236260,Moody's supplier,Jakob ,Rindom,GYDEVANG 33,Moody's supplier,ALLERØD,Moody's supplier,3450,DK,DK28314388,DK,3-way,email,email,SALES.CMD.NORDIC@THERMOFISHER.COM,F030,F030 Invoice Date + 30 days,DDP,DDP Delivered duty paid,NNLE,EDHM,Moody's supplier,Moody's supplier,0084 Clayton US;0084 Clayton US Purchasing;1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;0074 NN Pharmatech DK;0396 NN Invest 4 A/S DK;0074 NN Pharmatech DK Purchasing;0497 NN Manufacturing US;0490 Catalent Indiana US,Moody's supplier,Moody's supplier,am,DK28314388,Thermo Electron A/S,Active,2024-12-31,12,Take caution,2024
MOODYS_CHCHE114431418-COUPA_42317,42317 - OSSIAN HEALTH ECONOMICS AND COMMUNICATIONS GMBH,42317,OSSIAN HEALTH ECONOMICS AND COMMUNICATIONS GMBH,42317,12974,42317,OSSIAN HEALTH ECONOMICS AND COMMUNICATIONS GMBH,2019-06-14 09:37:17,sftp_integration@coupa.com,2026-02-03 12:10:30,IMDN,Moody's supplier,CHE114431418MWST,valentine@ossianconsulting.com,Moody's supplier,+41  61 271 6214 ,Moody's supplier,William ,Valentine,BÄUMLEINGASSE 20,Moody's supplier,BASEL,Moody's supplier,4051,CH,CHE114431418MWST,CH,3-way,email,email,HUNT@OSSIANCONSULTING.COM,F060,F060 Invoice Date + 60 days,EXW,EXW Ex works,NNLE,MLQA,Preferred Supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;0030 NN Turkey TR;0322 NN Health Care CH;0030 NN Turkey TR Purchasing;0322 NN Health Care CH Purchasing,Moody's supplier,Moody's supplier,Moody's supplier,CHCHE114431418,Ossian Health Economics and Communications GmbH,Active,2026-12-31,12,Take caution,2026
MOODYS_TR108860F-COUPA_54284,54284 - DHL LOJISTIK HIZMETLERI A.S. ,54284,DHL LOJISTIK HIZMETLERI A.S. ,54284,214455,54284,DHL LOJISTIK HIZMETLERI A.S. ,2021-01-18 17:20:53,FTOZ,2025-05-04 11:31:49,GEHR,Other Warehousing,TR6230098998,alper.tezsezen@dhl.com,Moody's supplier,Moody's supplier,Moody's supplier,Alper ,Tezsezen,KUCUKBAKKALKOY MAH NO: 3 IC,DEFNE SOK BUYUKHANLI PLAZA,ATASEHI/ISTANBUL,Moody's supplier,34570,TR,TR6230098998,TR,3-way,email,email,DSCTRFINANCE@DHL.COM,F030,F030 Invoice Date + 30 days,DDP,DDP Delivered duty paid,NNLE,Moody's supplier,Moody's supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing,Moody's supplier,Moody's supplier,Moody's supplier,TR108860F,DHL Supply Chain Lojistik Hizmetleri Anonim Sirketi,Active,2019-12-31,12,Do not source,2019
MOODYS_KR1350110117511-COUPA_53505,53505 - KOVAC-MED CO. LTD ,53505,KOVAC-MED CO. LTD ,53505_[CONS],200306,53505,KOVAC-MED CO. LTD ,2020-08-28 12:07:38,BRGN,2025-10-09 13:09:27,sftp_integration@coupa.com,Needles,1348173955,jennykang@kovacmed.com,Moody's supplier,Moody's supplier,Moody's supplier,Jenny ,Kang,41 8BLOCK BANWOL,"13 HASEAN-RO 31, DANWON-GU",ANSAN,Moody's supplier,15608,KR,1348173955,KR,3-way,email,email,JENNYKANG@KOVACMED.COM,F060,F060 Invoice Date + 60 days,DDP,DDP Delivered duty paid,NNLE,Moody's supplier,Moody's supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing,Moody's supplier,Moody's supplier,Moody's supplier,KR1350110117511,"Kovac MED Co.,Ltd",Active,2024-12-31,12,Go ahead,2024
MOODYS_GB02713976-COUPA_54005,54005 - GOLIN LIMITED ,54005,GOLIN LIMITED ,54005,210712,54005,GOLIN LIMITED ,2020-12-10 10:12:58,KKML,2026-01-06 10:57:52,IMDN,Internal Communication,GB578691771,LWright@golin.com,Moody's supplier,Moody's supplier,Moody's supplier,Lizzie,Wright,"99 CLIFTON STREET, SHOREDITCH",140 HIGH HOLBORN,LONDON,Moody's supplier,EC2A 4LG,GB,GB578691771,GB,3-way,email,email,lstrain@golin.com,F060,F060 Invoice Date + 60 days,DDP,DDP Delivered duty paid,NNLE,ANLW,Moody's supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;0001 NN Switzerland CH;0003 NN Pharma GmbH DE;0032 NN Italy IT;0047 NN Thailand TH;0049 NN Taiwan TW;0322 NN Health Care CH;0355 NN Pharma Gulf AE;0438 Novo Nordisk Denmark A/S DK;0001 NN Switzerland CH Purchasing;0003 NN Pharma GmbH DE Purchasing;0032 NN Italy IT Purchasing;0047 NN Thailand TH Purchasing;0322 NN Health Care CH Purchasing;0049 NN Taiwan TW Purchasing;0355 NN Pharma Gulf AE Purchasing;0438 Novo Nordisk Denmark A/S DK Purchasing,Moody's supplier,Moody's supplier,Moody's supplier,GB02713976,Golin Limited,Active,2024-12-31,12,Go ahead,2024
