feature,importance
num__missingindicator_fin_Number_of_months,0.25944182
num__lpi_relative_risk,0.15538311
num__fin_implied_rating_missing_flag,0.14559288
num__fin_flag_moderate_or_worse_rating,0.1125094
num__contract_age_years,0.063564606
num__Tracking_Tracing,0.050542746
num__Customs,0.031180693
num__LPI_Score,0.019756911
num__missingindicator_fin_implied_rating_ordinal,0.017708242
num__fin_flag_multiple_financial_stress_signals,0.013311347
num__start_year,0.012577423
num__esg_row_missing_pct,0.008950012
cat__department_Logistics,0.007814837
num__lpi_below_supplier_median,0.006968343
num__missingindicator_fin_financial_risk_score,0.006722493
num__missingindicator_years_to_expiry_capped,0.006697122
num__expiry_year,0.0062739914
num__fin_total_stress_flags,0.0051518274
num__missingindicator_esg_esg_overall,0.004036456
num__observation_year,0.0040031243
num__fin_flag_severe_financial_stress,0.0032930735
cat__fin_moodys_company_name_Novozymes A/S,0.0029288684
cat__Risk level_Go ahead,0.0024699594
num__esg_esg_industry_adjusted,0.0023371866
num__news_has_high_relevance_negative_news,0.001932988
num__esg_social_weight,0.0018050107
cat__contract_commodity_Warehouse Operations - Storage,0.0017500086
cat__fin_risk_level_Take caution,0.0017079765
cat__fin_implied_rating_Ba,0.0015732499
num__news_negative_count,0.0015150679
cat__nn_contract_type_Logistics Services Provider Agreement,0.0014874157
num__Price_trends_52 weeks_%,0.0014586187
num__esg_social_score,0.0013687734
num__fin_implied_rating_ordinal,0.0013275513
num__news_article_count,0.0011200465
num__missingindicator_news_article_count,0.0010945315
cat__contract_commodity_Freights Forwarding - Air,0.0010710479
num__fin_flag_liquidity_stress,0.0010140772
num__missingindicator_fin_current_ratio,0.00095857703
num__PPI_Value,0.000912914
num__Infrastructure,0.00085274555
num__start_year_capped,0.00083127705
"cat__fin_output_text_Use caution. Input from outdated and/or partial data, hence low quality credit rating & traffic light. Mitigation actions required. Request financial data from supplier as described in the risk process tab.",0.00079858524
num__missingindicator_vol_shock_ratio,0.0007870609
cat__contract_commodity_Freights Forwarding - Road,0.00072812673
cat__Shares outstanding_414.555.046,0.0007158559
num__missingindicator_avg_vol,0.000710948
num__days_until_expiry,0.0006785027
num__missingindicator_vol_stability_score,0.000649677
num__contracts_per_supplier,0.0005907534
num__market_flag_negative_52w_price_trend,0.0005896225
num__fin_flag_risk_do_not_source,0.0005878101
"cat__supplier_sector_Transport, Freight & Storage",0.0005799713
num__market_flag_negative_volume_trend,0.0005788494
num__fin_flag_risk_take_caution_or_worse,0.0004962391
num__market_data_available,0.0004909439
num__fin_Number_of_employees,0.00047594905
num__fin_flag_strong_liquidity,0.0004137964
cat__fin_Implied_rating - original_Baa3,0.00041122382
num__open_ended_contract,0.00040237626
num__news_negative_ratio,0.0003670914
cat__fin_implied_rating_Aa,0.00036320146
num__fin_current_ratio,0.0003555209
num__fin_financial_level_missing_flag,0.00033715332
cat__fin_implied_rating_Baa,0.00033281062
num__news_positive_count,0.0003209349
num__supplier_is_publicly_listed,0.00029826426
num__avg_vol,0.00029363626
num__missingindicator_Customs,0.00028472795
cat__department_from_cost_center_Devices & Needles,0.0002714063
cat__term_type_auto_renew,0.0002629048
cat__contract_type_Research & Development,0.00025656226
cat__fin_moodys_company_name_DHL Global Forwarding (Denmark) A/S,0.00025654383
num__fin_solvency_ratio_asset_based,0.0002507835
