feature,importance
cat__notes_Development-only injected positive label for Bioprocessing & Raw Materials.,0.09580951
num__market_flag_stock_price_take_caution_or_worse,0.06693832
num__missingindicator_contract_value_dkk,0.06017979
cat__contract_commodity_Moulding Tools Unclassified,0.050382365
cat__incoterms_CPT Carriage paid,0.03857417
"cat__notes_Development-only injected positive label for Alliance, Acquisitions & PPM CoE.",0.0383685
cat__supplier_sector_Wholesale,0.03387641
"cat__department_Alliance, Acquisitions & PPM CoE",0.03180654
cat__contract_commodity_Outsourced GMP Laboratory Analysis,0.028218456
cat__incoterms_FCA Free carrier,0.02484312
cat__notes_Development-only injected positive label for Raw Materials & Energy.,0.024166355
cat__contract_commodity_Excipients,0.023984388
cat__nn_contract_type_Project Agreement,0.021176469
cat__contract_commodity_Aseptic Filling,0.020759745
"cat__notes_Development-only injected positive label for Quality, Production Services & Supplies.",0.020663567
cat__contract_commodity_Cell Culture Media,0.020007495
cat__team_Raw Materials & Energy,0.019334385
cat__nn_contract_type_Other,0.01914449
num__market_data_available,0.018115027
cat__incoterms_DAP Del.at Place-excl.unloading,0.017519983
cat__notes_Development-only injected positive label for Drug Product Outsourcing.,0.017443102
cat__notes_Development-only injected negative label for Bioprocessing & Raw Materials.,0.011399188
cat__contract_commodity_Industrial Commodities,0.010820447
cat__contract_commodity_Printed Packaging Materials,0.010225925
num__contract_value_dkk,0.010116176
cat__notes_Development-only injected positive label for Global Strategic Outsourcing & Devices.,0.010094436
num__fin_roa_net_income,0.009874021
cat__payment_terms_L015 Current Month + 15 days,0.009415953
cat__team_Raw Materials,0.009155059
num__fin_long_term_gearing,0.009055664
cat__contract_currency_code_CHF,0.00879677
cat__notes_Development-only injected positive label for Strategic Sourcing US Hub.,0.008764168
num__fin_implied_rating_ordinal,0.008728354
"cat__notes_Development-only injected negative label for Alliance, Acquisitions & PPM CoE.",0.008394071
cat__nn_contract_type_Work Order,0.00826894
cat__notes_Development-only injected negative label for Drug Product Outsourcing.,0.00790046
num__news_negative_count,0.006856839
"cat__notes_Development-only injected negative label for Quality, Production Services & Supplies.",0.006690567
num__fin_debt_asset_ratio,0.006508517
cat__notes_Development-only injected negative label for Raw Materials & Energy.,0.0063238484
cat__fin_moodys_company_name_Genewiz UK Limited,0.006289496
cat__team_Devices & Needles,0.006117974
cat__nn_contract_type_Framework Trading Agreement,0.0060916357
cat__notes_Development-only injected negative label for Drug Substance Outsourcing.,0.006072005
cat__unit_GSOD,0.0058438387
cat__label_source_manual_hardcoded,0.00574493
cat__notes_Development-only injected positive label for Drug Substance Outsourcing.,0.005416981
cat__notes_Development-only injected negative label for Devices & Needles.,0.0048290775
num__esg_gov_weight,0.0047114203
cat__contract_commodity_Purchase of Real Estate/Land,0.004647713
cat__fin_Implied_rating - original_Ba2,0.004586285
cat__notes_Development-only injected negative label for Bioprocessing and Excipients.,0.004498005
cat__payment_terms_F045 Invoice Date + 45 days,0.0042199055
cat__unit_SSIMS,0.004060533
cat__label_source_DUMMY_FILLER,0.0037124306
cat__fin_implied_rating_Ba,0.0036671956
cat__fin_closing_date_2022-06-30,0.0026926454
cat__notes_Development-only injected negative label for HI Warehouse Expansion Program.,0.0026649532
cat__contract_commodity_Prefilled Plastic Components,0.0026260498
cat__contract_type_Production,0.0025571259
num__contracts_per_supplier,0.0024408633
cat__incoterms_DDP Delivered duty paid,0.0023979782
cat__contract_type_Facility Management & Engineering,0.0023157925
num__contract_value,0.0019759017
