feature,importance
num__missingindicator_fin_Number_of_months,0.2672906
num__lpi_relative_risk,0.12570408
num__fin_implied_rating_missing_flag,0.12070998
num__fin_flag_moderate_or_worse_rating,0.090248175
num__Tracking_Tracing,0.042714603
num__contract_age_years,0.024980217
num__Customs,0.02129987
cat__department_Bioprocessing & Raw Materials,0.015439925
cat__incoterms_FCA Free carrier,0.013679789
num__LPI_Score,0.012507699
num__start_year,0.011921559
num__fin_flag_multiple_financial_stress_signals,0.0116204405
num__contract_value_dkk,0.008057742
num__expiry_year,0.0074290163
cat__contract_commodity_Warehouse Operations - Storage,0.0068663904
cat__department_from_cost_center_Drug Substance Outsourcing,0.0062987013
num__missingindicator_years_to_expiry_capped,0.0062415204
cat__contract_commodity_Outsourced Product Services,0.0056563285
cat__contract_currency_code_EUR,0.0053808847
num__esg_row_missing_pct,0.005118891
num__fin_total_stress_flags,0.0050721993
cat__department_Logistics,0.0049263705
num__fin_flag_severe_financial_stress,0.0049062725
num__missingindicator_fin_financial_risk_score,0.00444168
cat__contract_currency_code_BRL,0.0038155448
num__missingindicator_fin_debt_asset_ratio,0.0037634894
cat__fin_moodys_company_name_SkyNRG B.V.,0.0036094664
cat__team_Devices & Needles,0.003550164
cat__department_Drug Substance Outsourcing,0.0034417957
num__news_has_high_relevance_negative_news,0.0032719825
cat__contract_currency_code_USD,0.0032567035
cat__Risk level_Go ahead,0.0029351944
num__news_negative_count,0.002853272
num__Timeliness,0.0027648152
cat__nn_contract_type_Other,0.0026246782
num__news_positive_count,0.0025900803
cat__contract_type_Research & Development,0.002521309
cat__fin_moodys_company_name_Novozymes A/S,0.0024306178
"cat__supplier_sector_Transport, Freight & Storage",0.0024124607
num__fin_financial_level_missing_flag,0.0024055569
num__esg_esg_industry_adjusted,0.0023591218
num__esg_social_score,0.002256005
cat__Risk level_Do not source,0.0021547552
num__fin_implied_rating_ordinal,0.0021268814
cat__department_Devices & Needles,0.002117806
cat__fin_implied_rating_Ba,0.002005918
cat__contract_commodity_Needles,0.0019543713
cat__fin_implied_rating_Baa,0.0019178911
num__esg_env_weight,0.0018568197
cat__contract_commodity_Electronics and Other Components,0.0018176828
