feature,importance
num__supplier_is_publicly_listed,0.46889725
cat__contract_currency_code_USD,0.14878958
cat__contract_currency_code_EUR,0.13663308
cat__nn_contract_type_Other,0.11559903
num__start_year,0.05146735
num__contract_value,0.05006604
num__contracts_per_supplier,0.026313856
num__contract_value_dkk,0.0018430572
num__contract_age_years,0.00030239913
num__start_year_capped,4.166955e-05
num__missingindicator_contract_value_dkk,1.814649e-05
cat__contract_currency_code_CNY,1.6529882e-05
num__PPI_Value,9.029573e-06
num__observation_year,5.065632e-07
num__Customs,4.5371945e-07
num__LPI_Score,3.6740815e-07
num__International_Shipments,3.3745485e-07
num__market_data_available,3.3681962e-07
cat__payment_terms_F060 Invoice Date + 60 days,3.3319586e-07
num__Timeliness,3.18681e-07
cat__payment_terms_F045 Invoice Date + 45 days,2.7299694e-07
num__missingindicator_news_negative_ratio,0.0
num__missingindicator_news_neutral_count,0.0
num__missingindicator_news_avg_sentiment_score,0.0
num__missingindicator_news_avg_relevance_score,0.0
num__missingindicator_news_positive_count,0.0
num__missingindicator_news_max_relevance_score,0.0
num__missingindicator_news_negative_count,0.0
num__missingindicator_vol_trend_slope,0.0
num__missingindicator_avg_vol,0.0
num__missingindicator_vol_stability_score,0.0
num__missingindicator_vol_shock_ratio,0.0
num__missingindicator_esg_industry_max,0.0
num__missingindicator_market_cap_volatility,0.0
num__missingindicator_Price_trends_52 weeks_%,0.0
num__missingindicator_Earnings_per_share_DKK,0.0
num__missingindicator_news_article_count,0.0
num__missingindicator_esg_social_score,0.0
num__missingindicator_esg_industry_min,0.0
num__missingindicator_fin_solvency_ratio_asset_based,0.0
num__missingindicator_fin_Number_of_months,0.0
num__missingindicator_fin_Total_shareholders'_funds_and_liabilitiesth_DKK,0.0
num__missingindicator_fin_profit_margin,0.0
num__missingindicator_fin_EBITDA_margin,0.0
num__missingindicator_fin_ebit_margin,0.0
num__missingindicator_fin_current_ratio,0.0
num__missingindicator_fin_gearing,0.0
num__missingindicator_fin_Cash_ratio,0.0
num__missingindicator_fin_long_term_gearing,0.0
num__missingindicator_fin_Total_liabilities_Equity_ratio,0.0
num__missingindicator_fin_short_term_liabilities_equity_ratio,0.0
num__missingindicator_fin_interest_coverage_ratio,0.0
num__missingindicator_fin_debt_asset_ratio,0.0
num__missingindicator_esg_gov_weight,0.0
num__missingindicator_fin_roe_net_income,0.0
num__missingindicator_fin_roa_net_income,0.0
num__missingindicator_fin_Net_assets_turnover,0.0
num__missingindicator_fin_Number_of_employees,0.0
num__missingindicator_fin_financial_risk_score,0.0
num__missingindicator_esg_esg_overall,0.0
num__missingindicator_esg_esg_industry_adjusted,0.0
num__missingindicator_esg_env_score,0.0
num__missingindicator_esg_env_weight,0.0
num__missingindicator_price_volatility_score,0.0
num__missingindicator_esg_social_weight,0.0
num__missingindicator_esg_gov_score,0.0
num__missingindicator_avg_closing_price,0.0
num__contract_owner_cost_centre,0.0
num__missingindicator_price_trend_slope,0.0
cat__fin_implied_rating_A,0.0
cat__fin_risk_level_Go ahead,0.0
cat__fin_risk_level_Take caution,0.0
cat__fin_financial_level_Low financial risk,0.0
cat__fin_output_text_Approved for sourcing. No further actions required.,0.0
"cat__fin_output_text_Use caution. Input from outdated and/or partial data, hence low quality credit rating & traffic light. Mitigation actions required. Request financial data from supplier as described in the risk process tab.",0.0
cat__fin_Implied_rating - original_A2,0.0
cat__fin_Implied_rating - original_Baa3,0.0
cat__Risk level_Go ahead,0.0
cat__Risk level_Take caution,0.0
cat__supplier_sector_Printing & Publishing,0.0
"cat__supplier_sector_Wood, Furniture & Paper Manufacturing",0.0
cat__moodys_risk_rating_Go ahead,0.0
cat__moodys_risk_rating_Take caution,0.0
cat__Shares outstanding_320.036.000,0.0
cat__Shares outstanding_n.a.,0.0
cat__Current_market_capitalisation_DKK_2.511.971,0.0
