feature,importance
num__lpi_below_supplier_median,0.16639985
num__fin_implied_rating_missing_flag,0.15608314
num__lpi_relative_risk,0.14508185
num__fin_flag_moderate_or_worse_rating,0.092540614
num__missingindicator_fin_Number_of_months,0.08394303
num__Customs,0.060129642
num__contract_age_years,0.033772558
num__Tracking_Tracing,0.016979001
num__fin_flag_severe_financial_stress,0.013742598
num__start_year,0.012833332
num__missingindicator_fin_implied_rating_ordinal,0.011708557
num__LPI_Score,0.011453176
num__missingindicator_esg_esg_industry_adjusted,0.0081309285
cat__department_Logistics,0.00617612
num__esg_row_missing_pct,0.005795915
num__expiry_year,0.005376762
cat__fin_implied_rating_Baa,0.005086707
num__fin_total_stress_flags,0.004876402
cat__fin_Implied_rating - original_Ba1,0.004809411
num__contract_value,0.004381473
cat__fin_Implied_rating - original_Baa3,0.004052052
num__missingindicator_years_to_expiry_capped,0.0039512385
num__open_ended_contract,0.0039276243
cat__contract_currency_code_USD,0.0037987141
cat__fin_moodys_company_name_Novozymes A/S,0.0035912308
cat__contract_commodity_Warehouse Operations - Storage,0.0035230073
cat__Risk level_Go ahead,0.0034388343
cat__term_type_perpetual,0.0033881082
num__missingindicator_fin_financial_risk_score,0.0033488378
num__missingindicator_avg_vol,0.0032399488
num__news_has_high_relevance_negative_news,0.0031201562
num__missingindicator_contract_value_dkk,0.0030114152
num__fin_flag_multiple_financial_stress_signals,0.0029786273
cat__contract_commodity_Shipper Boxes,0.0029136396
num__esg_esg_industry_adjusted,0.0027978646
cat__contract_currency_code_EUR,0.0026630496
num__fin_implied_rating_ordinal,0.0025996203
num__contract_value_dkk,0.0025928402
num__missingindicator_vol_stability_score,0.0025686927
num__esg_social_score,0.002533726
num__observation_year,0.0025269296
cat__department_Packaging Material,0.0024911794
num__esg_social_weight,0.0024623864
num__news_negative_count,0.002341671
num__fin_financial_level_missing_flag,0.002246398
num__Timeliness,0.0021590258
cat__fin_closing_date_2023-12-31,0.0018814224
num__supplier_is_publicly_listed,0.0018463598
cat__contract_currency_code_CNY,0.0017535483
cat__Shares outstanding_320.036.000,0.0017464338
cat__nn_contract_type_Other,0.0016978695
cat__fin_moodys_company_name_ISS Facility Services A/S,0.0016736621
num__missingindicator_fin_Cash_ratio,0.0016690271
num__market_flag_negative_52w_price_trend,0.0016367431
cat__fin_implied_rating_Ba,0.0016103579
cat__fin_risk_level_Take caution,0.0015712216
"cat__fin_output_text_Use caution. Input from outdated and/or partial data, hence low quality credit rating & traffic light. Mitigation actions required. Request financial data from supplier as described in the risk process tab.",0.0015005858
cat__nn_contract_type_Logistics Services Provider Agreement,0.0014234459
"cat__contract_type_Finance, Legal & Procurement",0.0013963013
cat__fin_moodys_company_name_CCL Label A/S,0.0013807405
num__missingindicator_fin_Net_assets_turnover,0.0013577305
num__missingindicator_Price_trends_52 weeks_%,0.0013279151
num__PPI_Value,0.0012937874
cat__moodys_risk_rating_Go ahead,0.0012832613
num__contracts_per_supplier,0.0012536118
cat__nn_contract_type_Supply Agreement,0.0011149675
num__contract_owner_cost_centre,0.0010859901
num__Price_trends_52 weeks_%,0.0010655352
num__fin_flag_strong_liquidity,0.0010056361
num__news_article_count,0.0009299407
num__Infrastructure,0.0008025897
num__fin_flag_liquidity_stress,0.0007914464
cat__Shares outstanding_414.555.046,0.00076244574
"cat__supplier_sector_Transport, Freight & Storage",0.00069397426
num__fin_flag_severe_liquidity_stress,0.0006882034
cat__contract_commodity_Moulding Tools Unclassified,0.0006867462
num__fin_flag_interest_coverage_stress,0.00068016595
cat__Code_DNK,0.0006719794
cat__incoterms_DDP Delivered duty paid,0.0006602964
cat__payment_terms_F045 Invoice Date + 45 days,0.0006587062
num__news_avg_relevance_score,0.00062291836
cat__contract_type_Research & Development,0.00060657214
"cat__supplier_sector_Wood, Furniture & Paper Manufacturing",0.00059438706
num__years_to_expiry_capped,0.0005780897
num__International_Shipments,0.00057666004
cat__payment_terms_F060 Invoice Date + 60 days,0.00056468096
num__news_avg_sentiment_score,0.00055590237
num__fin_Number_of_employees,0.00054819876
cat__fin_closing_date_2022-12-31,0.00054818066
num__fin_solvency_ratio_asset_based,0.00052688876
cat__contract_commodity_Freights Forwarding - Road,0.000495623
num__fin_short_term_liabilities_equity_ratio,0.00049523724
num__news_positive_count,0.00048767077
num__market_data_available,0.00048338223
num__fin_current_ratio,0.00047561165
cat__fin_financial_level_Medium financial risk,0.00047457116
num__start_year_capped,0.00043009114
num__news_negative_ratio,0.0004295193
num__news_max_relevance_score,0.00042947038
num__fin_Total_liabilities_Equity_ratio,0.00039258838
num__fin_current_ratio_missing_flag,0.0003895563
num__price_trend_slope,0.00038266208
num__fin_Cash_ratio,0.00037681707
num__Earnings_per_share_DKK,0.00036328856
num__esg_env_weight,0.00035139045
cat__department_from_cost_center_Devices & Needles,0.00033105092
cat__fin_moodys_company_name_Linde Gas A/S,0.00032661506
cat__moodys_risk_rating_Take caution,0.00032574363
cat__Risk level_Take caution,0.00032202643
cat__nn_contract_type_Framework Trading Agreement,0.00031638073
num__market_log_vol_shock_ratio,0.00031318766
num__news_neutral_count,0.00031084244
num__vol_trend_slope,0.0003087806
num__esg_gov_score,0.00030305958
cat__nn_contract_type_Master Service Agreement,0.00029689624
cat__contract_commodity_Process Aids,0.0002960369
cat__fin_Implied_rating - original_Baa2,0.00029108292
cat__payment_terms_F030 Invoice Date + 30 days,0.0002904328
num__fin_debt_asset_ratio,0.00028489556
num__vol_shock_ratio,0.0002788163
cat__supplier_sector_Printing & Publishing,0.00027607413
num__fin_flag_risk_take_caution_or_worse,0.0002706023
num__fin_gearing,0.0002676446
num__missingindicator_LPI_Score,0.00025761148
num__missingindicator_fin_roa_net_income,0.00025638888
num__fin_roa_net_income,0.0002534697
num__avg_vol,0.0002507989
cat__contract_type_Distribution,0.000246634
num__news_row_missing_pct,0.00024558045
num__fin_Total_shareholders'_funds_and_liabilitiesth_DKK,0.00024139594
num__avg_closing_price,0.00024054015
num__esg_gov_weight,0.00023367723
num__esg_env_score,0.0002312595
num__missingindicator_esg_esg_overall,0.00022210504
cat__contract_currency_code_DKK,0.00021905247
"cat__supplier_sector_Leather, Stone, Clay & Glass products",0.00021645904
cat__contract_commodity_Freights Forwarding - Air,0.0002135985
num__fin_flag_risk_do_not_source,0.00021297006
cat__contract_currency_code_BRL,0.00021165745
num__missingindicator_PPI_Value,0.00020245169
num__price_volatility_score,0.0002009449
num__missingindicator_esg_env_weight,0.00019780104
num__market_cap_volatility,0.00019165842
cat__department_from_cost_center_Bioprocessing & Raw Materials,0.00016348973
cat__fin_Status_Active,0.00016172796
num__fin_ebit_margin,0.0001597183
num__esg_industry_max,0.0001562739
num__fin_interest_coverage_ratio,0.00015512451
cat__incoterms_DAP Del.at Place-excl.unloading,0.00015130902
cat__contract_commodity_Side Chains Unclassified,0.00014771805
"cat__department_Quality, Production Services & Supplies",0.00014612604
num__vol_stability_score,0.00014600977
cat__contract_commodity_Road Transportation,0.00013934093
num__market_flag_negative_volume_trend,0.00013690906
cat__fin_moodys_company_name_DHL Global Forwarding (Denmark) A/S,0.00013546796
cat__fin_risk_level_Go ahead,0.00013159087
num__missingindicator_fin_long_term_gearing,0.00013085002
num__fin_long_term_gearing,0.00013069826
cat__Current_market_capitalisation_DKK_2.511.971,0.0001250755
cat__fin_Implied_rating - original_Ba2,0.00012079811
cat__contract_commodity_Cartons,0.0001205792
num__esg_esg_overall,0.00011809007
cat__company_country_CHINA,0.0001167731
cat__fin_closing_date_2024-12-31,0.000112960704
cat__fin_moodys_company_name_Novartis Pharma AG,0.00011164394
cat__fin_moodys_company_name_Ypsomed AG,0.000108525644
cat__company_country_BRAZIL,0.000106061525
cat__contract_type_Production,0.000105010986
num__fin_Net_assets_turnover,0.00010232595
num__fin_flag_negative_ebit_margin,0.00010220097
cat__fin_closing_date_2025-03-31,0.00010210724
"cat__fin_moodys_company_name_Cytiva, Filial af Cytiva Europe GmbH, Tyskland",0.000102071775
cat__incoterms_CPT Carriage paid,0.00010187021
cat__company_country_clean_Brazil,0.00010172316
cat__fin_moodys_company_name_MGS Lynge A/S,9.9598234e-05
cat__fin_moodys_company_name_Merck Life Science A/S,9.9338205e-05
cat__expiry_pressure_bucket_5y_plus,9.90833e-05
num__esg_below_industry_min,9.724536e-05
num__market_flag_stock_price_take_caution_or_worse,9.648669e-05
cat__fin_output_text_Approved for sourcing. No further actions required.,9.61312e-05
cat__nn_contract_type_Confidentiality Agreement,9.466014e-05
num__fin_EBITDA_margin,9.398304e-05
num__fin_roe_net_income,9.043292e-05
num__missingindicator_fin_EBITDA_margin,8.777882e-05
cat__expiry_pressure_bucket_3_to_5y,8.51044e-05
"cat__supplier_sector_Chemicals, Petroleum, Rubber & Plastic",8.486531e-05
cat__fin_closing_date_2021-12-31,8.333397e-05
cat__incoterms_EXW Ex works,8.240781e-05
cat__term_type_auto_renew,7.952606e-05
cat__contract_commodity_Transport Consumables,7.87809e-05
cat__department_Drug Substance Outsourcing,7.8056815e-05
cat__Risk level_Do not source,7.780335e-05
num__fin_flag_low_solvency,7.715227e-05
cat__department_from_cost_center_Drug Substance Outsourcing,7.633533e-05
cat__team_Raw Materials & Energy,7.511628e-05
cat__fin_moodys_company_name_F.I.S. Fabbrica Italiana Sintetici S.P.A.,7.126181e-05
cat__contract_commodity_Waste Management,6.927665e-05
cat__supplier_sector_Utilities,6.6733e-05
cat__fin_moodys_company_name_Agilent Technologies Denmark ApS,6.492099e-05
cat__payment_terms_FD1M Invoice Date + 1 month,6.449076e-05
cat__fin_moodys_company_name_Zirq Cables AS,6.307165e-05
cat__payment_terms_F015 Invoice Date + 15 days,6.0765276e-05
cat__fin_closing_date_2025-12-31,6.0509046e-05
cat__fin_Implied_rating - original_A1,5.8544323e-05
cat__term_type_fixed,5.8270994e-05
cat__company_country_clean_Denmark,5.7891106e-05
cat__supplier_sector_Business Services,5.5077035e-05
num__market_flag_high_volume_shock,5.402941e-05
cat__contract_commodity_Sterilization,5.3204512e-05
cat__fin_closing_date_2022-06-30,5.2958e-05
cat__company_country_DENMARK,5.0507042e-05
cat__fin_implied_rating_A,4.8458736e-05
cat__fin_moodys_company_name_Synoptik A/S,4.777494e-05
cat__fin_moodys_company_name_Sonderborg Vaerktojsfabrik A/S,4.6715108e-05
cat__fin_moodys_company_name_SPS Medical,4.6512596e-05
cat__contract_commodity_Distributor Delivery,4.6451572e-05
cat__fin_implied_rating_Aa,4.588305e-05
"cat__team_Quality, Production Services & Supplies",4.467223e-05
cat__fin_Implied_rating - original_Aa2,4.350733e-05
cat__supplier_sector_Retail,4.2041844e-05
cat__fin_moodys_company_name_Catalent Germany Schorndorf GmbH,4.197273e-05
cat__moodys_risk_rating_Do not source,4.071957e-05
cat__nn_contract_type_Freight Forwarder Agreement,4.0541545e-05
cat__contract_commodity_Cleaning Services (GxP)',3.9937182e-05
cat__fin_financial_level_Low financial risk,3.9047318e-05
cat__contract_commodity_Clothing and Personal Safety Unclassified,3.8608123e-05
num__missingindicator_contract_value,3.63967e-05
cat__supplier_sector_Wholesale,3.6237274e-05
cat__fin_moodys_company_name_ICM A/S,3.5728965e-05
cat__fin_moodys_company_name_Kalundborg Forsyning A/S,3.5651174e-05
cat__incoterms_DAT Del.at Terminal-incl.unloading,3.56244e-05
num__fin_profit_margin,3.5392437e-05
cat__contract_currency_code_BDT,3.346251e-05
"cat__supplier_sector_Industrial, Electric & Electronic Machinery",3.2983644e-05
cat__contract_commodity_Management Consulting,3.297902e-05
cat__fin_risk_level_Do not source,3.195486e-05
num__fin_ebit_margin_missing_flag,3.109967e-05
cat__contract_commodity_Ocean Transportation,3.0822393e-05
cat__supplier_sector_Waste Management & Treatment,3.0099214e-05
cat__contract_commodity_Personal Safety (PPE),3.0044494e-05
cat__payment_terms_L030 Current Month + 30 days,2.9781504e-05
cat__fin_moodys_company_name_CUC Engineering A/S,2.9285575e-05
cat__payment_terms_F014 Invoice Date + 14 days,2.9216068e-05
cat__fin_moodys_company_name_Becton Dickinson Denmark A/S,2.886218e-05
cat__unit_GSOD,2.8211003e-05
cat__fin_moodys_company_name_Pharma-Skan ApS,2.81403e-05
cat__contract_commodity_IT Hardware - End User,2.794961e-05
cat__contract_commodity_Support Proteins and BIO APIs Unclassified,2.739882e-05
"cat__fin_moodys_company_name_Macco Organiques, s.r.o.",2.7030488e-05
cat__contract_commodity_Finished Devices,2.6385878e-05
cat__payment_terms_F055 Invoice Date + 55 days,2.5636524e-05
num__market_flag_high_market_cap_volatility,2.496082e-05
cat__fin_moodys_company_name_Elis Danmark A/S,2.4866911e-05
cat__expiry_pressure_bucket_1_to_3y,2.3700217e-05
cat__contract_commodity_Other Energy Unclassified,2.2468565e-05
cat__contract_commodity_Outsourced Product Services,2.2101294e-05
cat__contract_commodity_Rubber Plungers,2.1944406e-05
cat__company_country_SWEDEN,2.1318212e-05
num__is_old_and_near_expiry,2.1013097e-05
cat__fin_moodys_company_name_Novo Nordisk Production Belgium SA,2.0698435e-05
num__market_flag_negative_price_trend,1.937396e-05
num__fin_interest_coverage_ratio_missing_flag,1.7956498e-05
num__esg_industry_min,1.73916e-05
cat__incoterms_FCA Free carrier,1.6371943e-05
cat__fin_Implied_rating - original_Baa1,1.5433547e-05
num__fin_financial_risk_score,1.519844e-05
"cat__contract_commodity_Glass (Syringes, Vials, Cartridges)",1.49394e-05
num__missingindicator_Infrastructure,1.45403465e-05
cat__Shares outstanding_72.021.491,1.3780167e-05
cat__department_Devices & Needles,1.2321935e-05
cat__payment_terms_L045 Current Month + 45 days,1.2075017e-05
cat__department_Bioprocessing and Excipients,1.1463604e-05
num__missingindicator_Customs,1.0654126e-05
cat__contract_commodity_Metal,1.0050338e-05
cat__incoterms_DDU Delivered duty unpaid,9.584876e-06
cat__team_Raw Materials,9.301591e-06
cat__contract_commodity_Needles,9.270543e-06
cat__department_Raw Materials & Energy,8.537707e-06
cat__fin_moodys_company_name_Lonza Sales AG,7.995368e-06
cat__fin_closing_date_2024-03-31,7.778429e-06
cat__contract_currency_code_SEK,7.4825825e-06
cat__contract_commodity_Printed Packaging Materials,6.7144574e-06
"cat__fin_output_text_Sourcing exclusion recommended. Input from outdated and/or partial data, hence low quality credit rating & traffic light. Mitigation actions required. Request financial data from supplier as described in the risk process tab.",6.345366e-06
cat__fin_Status_Dissolved (merger or take-over),6.174262e-06
cat__fin_moodys_company_name_Parker Hannifin Danmark ApS,5.8044507e-06
"cat__fin_moodys_company_name_Kovac MED Co.,Ltd",4.852843e-06
cat__nn_contract_type_Scope of Work,4.564759e-06
cat__incoterms_CIP Carriage and insurance paid,4.4375506e-06
cat__company_country_RUSSIAN FEDERATION,3.4875004e-06
num__missingindicator_fin_profit_margin,3.1244142e-06
cat__team_Devices & Needles,2.684886e-06
cat__unit_SSIMS,2.3349728e-06
num__fin_flag_debt_asset_high,2.2246752e-06
cat__contract_commodity_Outsourced GMP Laboratory Analysis,9.2482276e-07
cat__contract_commodity_Other Critical Production Materials,9.194147e-07
cat__fin_moodys_company_name_Lugaia AG,0.0
cat__fin_moodys_company_name_Sensitech EMEA B.V.,0.0
cat__fin_moodys_company_name_Smurfit Westrock Danmark A/S,0.0
cat__fin_moodys_company_name_Linds Handel ApS,0.0
cat__fin_moodys_company_name_Kebo AG,0.0
cat__fin_moodys_company_name_Softbox Systems Limited,0.0
cat__fin_moodys_company_name_Lyngholm Filtration ApS,0.0
cat__fin_moodys_company_name_Schur Pack Denmark A/S,0.0
cat__fin_moodys_company_name_MFS Technology (S) PTE LTD,0.0
cat__fin_moodys_company_name_Solvias AG,0.0
cat__fin_moodys_company_name_MGS Roskilde A/S,0.0
cat__fin_moodys_company_name_Mariager Salt Specialties A/S,0.0
cat__fin_moodys_company_name_Marius Pedersen A/S,0.0
cat__fin_moodys_company_name_Schoeller-Plast-Enterprise A/S,0.0
cat__fin_moodys_company_name_Maxell Europe Limited,0.0
cat__fin_moodys_company_name_Scantago A/S,0.0
cat__fin_moodys_company_name_Kalundborg Bioenergi ApS,0.0
cat__fin_moodys_company_name_Getinge Danmark A/S,0.0
cat__fin_moodys_company_name_Sartorius Stedim UK Limited,0.0
cat__fin_moodys_company_name_Mesa France,0.0
cat__fin_moodys_company_name_Life Technologies Limited,0.0
cat__fin_moodys_company_name_Kirsch Pharma GmbH,0.0
cat__fin_moodys_company_name_Lemvigh-Muller A/S,0.0
cat__fin_moodys_company_name_Stibo Complete A/S,0.0
cat__fin_moodys_company_name_Kuehne + Nagel Pte. Ltd.,0.0
cat__fin_moodys_company_name_Tech Group Europe Limited,0.0
cat__fin_moodys_company_name_Kuwait Petroleum - Belgium,0.0
cat__fin_moodys_company_name_TN Rayong CO LTD,0.0
cat__fin_moodys_company_name_L. Thalund Instrument ApS,0.0
cat__fin_moodys_company_name_Georg Utz AG,0.0
cat__fin_moodys_company_name_SwissCo CDMO Operations GmbH,0.0
cat__fin_moodys_company_name_Leguay Emballages,0.0
cat__fin_moodys_company_name_Suzano S.A.,0.0
cat__fin_moodys_company_name_Stok Emballage K/S,0.0
cat__fin_moodys_company_name_Gerresheimer Buende GmbH,0.0
cat__fin_moodys_company_name_Steiert Praezisionsformenbau GmbH,0.0
cat__fin_moodys_company_name_Gerresheimer Horsovsky Tyn spol. s r.o.,0.0
cat__fin_moodys_company_name_Gerresheimer Vaerloese A/S,0.0
cat__fin_moodys_company_name_Leman A/S,0.0
cat__fin_moodys_company_name_Stevanato Group Denmark A/S,0.0
cat__fin_moodys_company_name_Steris Corp,0.0
cat__fin_moodys_company_name_Steripack Medical Poland Sp. z o.o.,0.0
cat__fin_moodys_company_name_Sterimed UK Holdings LTD,0.0
cat__fin_moodys_company_name_Sterigenics Denmark A/S,0.0
cat__fin_moodys_company_name_Stena Recycling A/S,0.0
cat__fin_moodys_company_name_Sanofi Winthrop Industrie,0.0
