feature,importance
num__lpi_below_supplier_median,0.18485932
num__lpi_relative_risk,0.15801632
num__fin_implied_rating_missing_flag,0.13630985
num__fin_flag_moderate_or_worse_rating,0.111569546
num__missingindicator_fin_Number_of_months,0.07178238
num__Customs,0.058359094
num__contract_age_years,0.035489853
num__missingindicator_fin_implied_rating_ordinal,0.024406977
num__missingindicator_years_to_expiry_capped,0.022714444
num__Tracking_Tracing,0.014566268
num__start_year,0.012974717
num__fin_flag_severe_financial_stress,0.0119024925
num__LPI_Score,0.011821212
num__fin_flag_multiple_financial_stress_signals,0.009759104
num__expiry_year,0.0068110046
num__esg_row_missing_pct,0.006465113
cat__department_Logistics,0.00619489
num__open_ended_contract,0.005099993
cat__term_type_perpetual,0.004731085
num__fin_total_stress_flags,0.0046440745
num__missingindicator_Earnings_per_share_DKK,0.004230827
num__missingindicator_esg_esg_overall,0.0038739445
cat__Risk level_Go ahead,0.0037374566
cat__fin_moodys_company_name_Novozymes A/S,0.0031344045
num__missingindicator_avg_vol,0.0030551997
num__missingindicator_contract_value_dkk,0.0029293327
num__observation_year,0.0026651353
"cat__contract_type_Finance, Legal & Procurement",0.0025980347
cat__fin_risk_level_Do not source,0.0025459789
cat__team_Raw Materials & Energy,0.0025399846
cat__fin_risk_level_Take caution,0.00222529
num__esg_esg_industry_adjusted,0.0021603305
cat__contract_commodity_Warehouse Operations - Storage,0.0020533665
num__news_has_high_relevance_negative_news,0.0019217031
num__esg_social_weight,0.0018227404
cat__fin_closing_date_2023-12-31,0.0018022266
cat__fin_implied_rating_Baa,0.0017555434
num__esg_social_score,0.0017068468
cat__contract_commodity_Cleaning Unclassified,0.001677507
num__news_negative_count,0.0015914391
cat__department_Devices & Needles,0.0014276743
num__fin_financial_level_missing_flag,0.0013810935
cat__Current_market_capitalisation_DKK_154.546.116,0.0012971617
cat__nn_contract_type_Logistics Services Provider Agreement,0.0012877627
num__Timeliness,0.0012728018
cat__fin_implied_rating_Ba,0.0012627345
cat__contract_commodity_Process Aids,0.0011688998
"cat__fin_output_text_Sourcing exclusion recommended. Input from outdated and/or partial data, hence low quality credit rating & traffic light. Mitigation actions required. Request financial data from supplier as described in the risk process tab.",0.0011054251
num__supplier_is_publicly_listed,0.0010904719
"cat__supplier_sector_Transport, Freight & Storage",0.0010439319
num__Price_trends_52 weeks_%,0.00097036274
cat__contract_currency_code_EUR,0.0009683283
num__fin_implied_rating_ordinal,0.00095643575
"cat__fin_output_text_Use caution. Input from outdated and/or partial data, hence low quality credit rating & traffic light. Mitigation actions required. Request financial data from supplier as described in the risk process tab.",0.0009075017
num__fin_flag_liquidity_stress,0.0008723398
num__market_flag_negative_volume_trend,0.0008535725
num__PPI_Value,0.0008447321
cat__department_Packaging Material,0.00081574114
num__contract_value,0.0008057263
cat__contract_commodity_Shipper Boxes,0.0007703461
cat__contract_commodity_Freights Forwarding - Air,0.0007695351
num__news_article_count,0.0007529671
num__fin_Number_of_employees,0.0007508219
cat__fin_Implied_rating - original_Baa3,0.00069311046
num__missingindicator_vol_stability_score,0.0006669893
num__contract_value_dkk,0.00061207043
num__missingindicator_fin_Net_assets_turnover,0.0006028013
num__contracts_per_supplier,0.00057475804
cat__contract_currency_code_USD,0.000569532
num__market_flag_negative_52w_price_trend,0.00055031746
cat__contract_commodity_Freights Forwarding - Road,0.00052444753
cat__nn_contract_type_Other,0.00051085366
num__esg_gov_weight,0.0005107251
cat__nn_contract_type_Supply Agreement,0.00045913408
num__news_negative_ratio,0.00043693004
cat__department_from_cost_center_Devices & Needles,0.0004366441
num__news_avg_sentiment_score,0.00043567384
num__fin_flag_severe_liquidity_stress,0.0004288892
num__fin_flag_interest_coverage_stress,0.00042505862
num__fin_flag_strong_liquidity,0.00041355198
num__fin_flag_risk_take_caution_or_worse,0.00040017834
num__fin_current_ratio,0.00037684056
cat__contract_currency_code_CNY,0.00036863977
num__missingindicator_fin_Cash_ratio,0.00036183803
cat__contract_commodity_Moulding Tools Unclassified,0.00033648795
num__fin_Total_liabilities_Equity_ratio,0.00032519246
cat__payment_terms_F045 Invoice Date + 45 days,0.0003176578
cat__contract_type_Research & Development,0.0003169527
num__missingindicator_Customs,0.00031480822
num__fin_gearing,0.00031476573
num__contract_owner_cost_centre,0.0003066029
num__news_positive_count,0.00030254628
num__esg_gov_score,0.00029785902
num__market_data_available,0.0002942996
num__esg_esg_overall,0.00028676068
num__fin_short_term_liabilities_equity_ratio,0.00028435432
cat__fin_moodys_company_name_CCL Label A/S,0.00028021907
num__fin_ebit_margin_missing_flag,0.00027830148
num__years_to_expiry_capped,0.0002655689
num__fin_long_term_gearing,0.0002628716
num__International_Shipments,0.00025967543
num__news_avg_relevance_score,0.00024319248
cat__Current_market_capitalisation_DKK_2.511.971,0.00023814806
num__start_year_capped,0.00023452056
cat__Risk level_Do not source,0.0002306182
num__esg_env_weight,0.0002300902
num__vol_stability_score,0.00022502457
cat__incoterms_FOB Free on board,0.00022109163
num__news_max_relevance_score,0.00021907882
num__news_neutral_count,0.0002138977
num__avg_vol,0.00021370857
cat__contract_commodity_Cartons,0.00021282605
num__missingindicator_esg_env_weight,0.00020521317
cat__fin_implied_rating_A,0.00019408275
cat__incoterms_DAP Del.at Place-excl.unloading,0.00017968033
num__esg_env_score,0.00017514623
cat__fin_closing_date_2022-12-31,0.00017321155
cat__payment_terms_F030 Invoice Date + 30 days,0.00016889512
cat__department_from_cost_center_Drug Substance Outsourcing,0.00016803859
cat__incoterms_DDP Delivered duty paid,0.00016311511
num__fin_interest_coverage_ratio,0.00015517828
cat__payment_terms_F060 Invoice Date + 60 days,0.00015440615
num__missingindicator_PPI_Value,0.00015361824
num__fin_Total_shareholders'_funds_and_liabilitiesth_DKK,0.00015076011
num__avg_closing_price,0.00014750201
cat__fin_Implied_rating - original_Baa2,0.0001403364
num__vol_trend_slope,0.00014000792
cat__fin_moodys_company_name_DHL Global Forwarding (Denmark) A/S,0.00013038669
num__fin_solvency_ratio_asset_based,0.00012637633
cat__department_Bioprocessing and Excipients,0.00012489766
num__Earnings_per_share_DKK,0.00012402587
cat__nn_contract_type_Framework Trading Agreement,0.00012318564
cat__contract_type_Production,0.00012260689
cat__nn_contract_type_Master Service Agreement,0.000121240286
num__fin_debt_asset_ratio,0.00011845522
cat__Shares outstanding_320.036.000,0.00011829706
cat__fin_Status_Active,0.0001182175
