condition,model_base,gold_auroc,gold_logloss,gold_f1,gold_ece,gold_ap,gold_brier,gold_accuracy
A_weak_only,Mean Predictor,0.5,0.7155429425846976,0.5724137931034483,0.14481462273101542,0.40096618357487923,0.2611635781610019,0.40096618357487923
A_weak_only,Elastic Net,0.3514865915273999,2.8561022899379815,0.4583333333333333,0.38229906859994633,0.3155668043444886,0.43558045845946736,0.3719806763285024
A_weak_only,XGBoost,0.37383404586086283,4.910134688404094,0.45,0.4387456344873836,0.33360701108371527,0.48026663674833076,0.36231884057971014
A_weak_only,MLP,0.39166342790516906,0.8413902956087714,0.5134099616858238,0.25758252929950104,0.35169540388876797,0.315397285666257,0.3864734299516908
B_gold_only,Mean Predictor,0.5,0.7660931561737039,0.5724137931034483,0.21335252312258035,0.40096618357487923,0.28571160232704657,0.40096618357487923
B_gold_only,Elastic Net,0.8321026039642441,1.2444643632409136,0.7209302325581395,0.1827412395360045,0.6943858020797159,0.18517260993955081,0.7681159420289855
B_gold_only,XGBoost,0.8531869413136416,1.3393637569645667,0.7888888888888889,0.1811705484146649,0.6734635135697448,0.1646606231863952,0.8164251207729468
B_gold_only,MLP,0.6226195102992615,0.7452173028395361,0.336283185840708,0.12389729344510836,0.5612276318537213,0.24125489485725762,0.6376811594202898
C_hybrid,Mean Predictor,0.5,0.7174082109373137,0.5724137931034483,0.1479714050807175,0.40096618357487923,0.26208783992583723,0.40096618357487923
C_hybrid,Elastic Net,0.533181111542946,1.3169710239305743,0.5321100917431193,0.23777895400873117,0.4154048811834947,0.32827859351321537,0.5072463768115942
C_hybrid,XGBoost,0.9069179945588807,1.0265304205795127,0.8387096774193549,0.1765189647674678,0.7823765482237904,0.13363363518603683,0.855072463768116
C_hybrid,MLP,0.8305479984453945,0.5941004778172672,0.5619834710743802,0.2010443534315136,0.8155371830076463,0.18340490826980774,0.7439613526570048
D_hybrid_unweighted,Mean Predictor,0.5,0.7174082109373137,0.5724137931034483,0.1479714050807175,0.40096618357487923,0.26208783992583723,0.40096618357487923
D_hybrid_unweighted,Elastic Net,0.35192382432957636,2.39473091844209,0.46473029045643155,0.3723525612364753,0.31609198411077427,0.42944294995672044,0.37681159420289856
D_hybrid_unweighted,XGBoost,0.7758938981733385,1.1878282486088232,0.7169811320754716,0.23536742205624328,0.626386783747624,0.2246287989771793,0.7101449275362319
D_hybrid_unweighted,MLP,0.6766420520792849,0.8368825460829044,0.0,0.23644152453736117,0.6777235321868627,0.2816953468163621,0.5990338164251208
