feature,importance
num__lpi_relative_risk,0.26386902
num__fin_implied_rating_missing_flag,0.1440937
num__lpi_below_supplier_median,0.10366305
num__fin_flag_moderate_or_worse_rating,0.09554099
num__missingindicator_fin_Number_of_months,0.09535507
num__Customs,0.051565677
num__contract_age_years,0.049493816
num__missingindicator_years_to_expiry_capped,0.026514616
num__Tracking_Tracing,0.021432437
num__missingindicator_fin_implied_rating_ordinal,0.01421388
num__start_year,0.0121948905
num__fin_flag_severe_financial_stress,0.010690102
num__LPI_Score,0.008725385
num__fin_flag_multiple_financial_stress_signals,0.007096111
num__missingindicator_esg_esg_industry_adjusted,0.0064471546
cat__department_Logistics,0.0063583027
num__esg_row_missing_pct,0.005912078
cat__term_type_perpetual,0.005366167
num__expiry_year,0.004677936
num__observation_year,0.004498245
num__missingindicator_contract_value_dkk,0.004270639
num__fin_total_stress_flags,0.00412272
num__open_ended_contract,0.0038430633
cat__fin_moodys_company_name_Novozymes A/S,0.0032878818
num__esg_esg_industry_adjusted,0.00191763
cat__contract_commodity_Warehouse Operations - Storage,0.001394558
num__news_has_high_relevance_negative_news,0.0013866142
num__esg_social_score,0.0012865735
cat__fin_implied_rating_Ba,0.0012407603
num__news_negative_count,0.0011716109
num__market_flag_negative_52w_price_trend,0.0010170405
num__fin_flag_liquidity_stress,0.001008487
cat__fin_implied_rating_Baa,0.0009869687
num__esg_social_weight,0.00097374397
cat__fin_risk_level_Take caution,0.0009527792
num__fin_financial_level_missing_flag,0.00091376016
cat__fin_closing_date_2023-12-31,0.00088877394
num__news_article_count,0.0008704115
"cat__fin_output_text_Sourcing exclusion recommended. Input from outdated and/or partial data, hence low quality credit rating & traffic light. Mitigation actions required. Request financial data from supplier as described in the risk process tab.",0.0008633747
num__Price_trends_52 weeks_%,0.0008569948
num__missingindicator_avg_vol,0.0007950811
cat__Current_market_capitalisation_DKK_154.546.116,0.00077883346
num__PPI_Value,0.0007525253
num__fin_flag_interest_coverage_stress,0.0007366437
num__fin_implied_rating_ordinal,0.0007102596
num__fin_flag_risk_do_not_source,0.0006902935
"cat__fin_output_text_Use caution. Input from outdated and/or partial data, hence low quality credit rating & traffic light. Mitigation actions required. Request financial data from supplier as described in the risk process tab.",0.00068914605
cat__contract_commodity_Shipper Boxes,0.0006764033
cat__Risk level_Go ahead,0.0006709168
num__fin_Number_of_employees,0.0006545905
"cat__supplier_sector_Transport, Freight & Storage",0.00062913535
cat__contract_commodity_Freights Forwarding - Road,0.0005834264
cat__contract_commodity_Freights Forwarding - Air,0.0005551295
cat__department_from_cost_center_Devices & Needles,0.00051022397
"cat__contract_type_Finance, Legal & Procurement",0.0005087031
num__missingindicator_esg_esg_overall,0.00049817265
cat__nn_contract_type_Logistics Services Provider Agreement,0.0004814121
cat__fin_Implied_rating - original_Baa3,0.00047279662
num__contracts_per_supplier,0.0004671751
num__missingindicator_Infrastructure,0.00045771003
cat__fin_moodys_company_name_Nemera LA Verpilliere,0.0004551987
num__market_data_available,0.000410642
num__missingindicator_fin_Net_assets_turnover,0.0003942042
cat__department_Raw Materials & Energy,0.00038662192
num__news_negative_ratio,0.00038319835
cat__contract_commodity_Other Drug Product Manufacturing Services,0.00037182818
num__fin_flag_strong_liquidity,0.00036596964
num__missingindicator_vol_shock_ratio,0.0003567807
num__fin_current_ratio,0.00034327852
num__missingindicator_vol_stability_score,0.00034202813
cat__fin_risk_level_Do not source,0.00031037637
num__avg_vol,0.00030798514
num__news_row_missing_pct,0.00030114505
cat__incoterms_FOB Free on board,0.00027951822
num__fin_flag_risk_take_caution_or_worse,0.00026790646
num__Timeliness,0.00026651664
num__fin_Total_liabilities_Equity_ratio,0.00025862944
num__news_positive_count,0.00023386642
num__vol_stability_score,0.00023003758
cat__nn_contract_type_Supply Agreement,0.0002281603
num__missingindicator_fin_long_term_gearing,0.00021795151
cat__contract_commodity_Cleaning Unclassified,0.00020127237
num__esg_gov_score,0.00019968834
cat__fin_moodys_company_name_DHL Global Forwarding (Denmark) A/S,0.00018654871
cat__payment_terms_F030 Invoice Date + 30 days,0.00018540407
cat__contract_type_Production,0.00018473092
cat__nn_contract_type_Other,0.00016446387
cat__incoterms_DAP Del.at Place-excl.unloading,0.00016118945
cat__contract_commodity_Moulding Tools Unclassified,0.0001584766
num__missingindicator_LPI_Score,0.00015810604
cat__contract_commodity_Cartons,0.00015808383
num__fin_flag_negative_ebit_margin,0.00015558119
num__esg_env_weight,0.0001479084
num__esg_env_score,0.00014765184
num__years_to_expiry_capped,0.00014649583
num__esg_gov_weight,0.00014407068
num__news_avg_sentiment_score,0.00014188237
num__fin_short_term_liabilities_equity_ratio,0.00013999223
num__missingindicator_PPI_Value,0.00013696792
cat__Shares outstanding_414.555.046,0.00013458464
num__fin_Total_shareholders'_funds_and_liabilitiesth_DKK,0.0001338413
num__International_Shipments,0.00013251466
num__fin_flag_severe_liquidity_stress,0.00013167616
cat__supplier_sector_Wholesale,0.0001307821
num__fin_ebit_margin_missing_flag,0.00012883871
cat__nn_contract_type_Framework Trading Agreement,0.00012336491
num__esg_esg_overall,0.000121065386
cat__contract_type_Research & Development,0.00011969661
num__start_year_capped,0.00011690941
cat__Risk level_Do not source,0.00011100672
cat__fin_Implied_rating - original_Baa1,0.000108425105
cat__fin_implied_rating_A,0.00010339478
num__fin_long_term_gearing,9.793849e-05
num__missingindicator_fin_EBITDA_margin,9.6794116e-05
num__fin_debt_asset_ratio,9.5583586e-05
cat__fin_Implied_rating - original_Baa2,9.411317e-05
num__contract_owner_cost_centre,8.725935e-05
num__fin_roe_net_income,8.637653e-05
num__market_cap_volatility,8.632516e-05
cat__fin_closing_date_2022-12-31,8.5739804e-05
"cat__supplier_sector_Wood, Furniture & Paper Manufacturing",8.489982e-05
num__fin_Cash_ratio,8.366506e-05
cat__fin_Status_Active,7.677551e-05
num__fin_gearing,7.656302e-05
cat__fin_closing_date_2021-12-31,7.6487355e-05
num__missingindicator_Customs,7.593161e-05
num__fin_Net_assets_turnover,7.4194126e-05
cat__fin_moodys_company_name_Novartis Pharma AG,7.3341005e-05
cat__term_type_fixed,7.29912e-05
cat__fin_risk_level_Go ahead,6.985242e-05
num__news_neutral_count,6.799524e-05
cat__Shares outstanding_66.270.051,6.6240675e-05
cat__contract_commodity_Other Energy Unclassified,6.333923e-05
num__vol_trend_slope,6.3049934e-05
num__Earnings_per_share_DKK,6.266614e-05
