model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
MAML,0.5,0.875,16.11809565220832,0.8749999825000001,0.87499999,0.0,0.125,1e-08,0.875,8,7,1.0,0.7142857142857143,0.8749999999999999,0.875,1.0,0.9508745999323549,0.875,1.0,0.9508745999323549,0
MAML,0.5,0.9090909090909091,1.674607348993419,0.09090908909090918,0.09090908090909078,0.9523809523809523,0.9090909090909091,0.9999999899999998,0.9090909090909091,11,10,1.0,0.5,0.9090909090909088,1.0,1.0,0.9090909090909091,0.9090909090909091,1.0,0.9649027687315876,1
MAML,0.5,0.8888888888888888,16.373938440179884,0.8888888711111111,0.8888888788888888,0.0,0.1111111111111111,1e-08,0.8888888888888888,9,8,1.0,0.625,0.8888888888888886,0.8888888888888888,1.0,0.956571858415452,0.8888888888888888,1.0,0.956571858415452,2
MAML,0.7666666666666666,0.9387412587412588,7.792960959334203,0.7691693936786017,0.7691914704801793,0.0,0.23076923076923078,3.929875058999572e-05,0.7692307692307693,13,10,1.0,0.5,0.9999999999999999,0.8,0.8,0.8643145546088338,0.7692307692307693,1.0,0.9835146002972857,3
MAML,0.5,0.9166666666666666,16.885624016123007,0.9166666483333333,0.9166666566666666,0.0,0.08333333333333333,9.999999999999999e-09,0.9166666666666666,12,11,1.0,0.45454545454545453,0.9166666666666664,1.0,0.9090909090909091,0.9166666666666666,0.9166666666666666,1.0,0.9680338394848735,4
MAML,0.5714285714285714,0.8559523809523808,2.055852272614489,0.29936568197344793,0.2989391624927521,0.8235294117647058,0.7,0.998939162492752,0.7,10,7,0.8,0.5714285714285714,0.8687949224876581,0.7,1.0,0.9530418785472458,0.7,1.0,0.9530418785472458,5
MAML,0.08333333333333334,0.4511904761904762,1.0877662721273391,0.40460671223052114,0.3960767750229154,0.0,0.42857142857142855,0.17535179640565599,0.5714285714285714,7,4,0.4,0.5,0.34620964322385606,0.5714285714285714,1.0,0.6153925060653324,0.5714285714285714,1.0,0.6153925060653324,6
MAML,1.0,1.0,1.5535420132334863,0.5833549985946677,0.6519477069377899,0.0,0.2,0.14805229306221007,0.8,5,4,0.8,1.0,0.9999999999999998,0.8,1.0,0.9999999999999998,0.8,1.0,0.9999999999999998,7
MAML,0.5666666666666667,0.8774281274281274,0.6195501268771264,0.19589982086285135,0.13931258825155401,0.8695652173913043,0.7692307692307693,0.9085433574823233,0.7692307692307693,13,10,1.0,0.5,0.9999999999999999,0.7,0.7,0.7846170207230129,0.7692307692307693,1.0,0.963294259140507,8
MAML,0.5,0.875,16.11809565220832,0.8749999825000001,0.87499999,0.0,0.125,1e-08,0.875,8,7,1.0,0.7142857142857143,0.8749999999999999,0.875,1.0,0.9508745999323549,0.875,1.0,0.9508745999323549,9
MAML,0.5666666666666667,0.8774281274281274,0.6195501268771264,0.19589982086285135,0.13931258825155401,0.8695652173913043,0.7692307692307693,0.9085433574823233,0.7692307692307693,13,10,1.0,0.5,0.9999999999999999,0.7,0.7,0.7846170207230129,0.7692307692307693,1.0,0.963294259140507,10
MAML,0.5714285714285714,0.8559523809523808,2.055852272614489,0.29936568197344793,0.2989391624927521,0.8235294117647058,0.7,0.998939162492752,0.7,10,7,0.8,0.5714285714285714,0.8687949224876581,0.7,1.0,0.9530418785472458,0.7,1.0,0.9530418785472458,11
MAML,0.42857142857142855,0.7947278911564624,1.9202243381493904,0.2990027092179165,0.2983065307140351,0.8235294117647058,0.7,0.9983065307140351,0.7,10,7,0.6,0.42857142857142855,0.7227265726449517,0.7,1.0,0.9262845298966466,0.7,1.0,0.9262845298966466,12
MAML,0.5,0.9090909090909091,1.674607348993419,0.09090908909090918,0.09090908090909078,0.9523809523809523,0.9090909090909091,0.9999999899999998,0.9090909090909091,11,10,1.0,0.5,0.9090909090909088,1.0,1.0,0.9090909090909091,0.9090909090909091,1.0,0.9649027687315876,13
MAML,0.8,0.7345238095238095,1.2910611347068597,0.4010923771504858,0.39287808266553015,0.7058823529411765,0.5454545454545454,0.9383326281200756,0.5454545454545454,11,6,0.8,0.6666666666666666,0.6608397947263838,0.6,1.0,0.7982650576674577,0.5454545454545454,1.0,0.7982650576674577,14
