iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,1.4129011631011963,4,0,0,0
2,1.2727696895599365,4,0,0,0
3,1.4110567569732666,4,0,0,0
4,1.0704667568206787,4,0,0,0
5,1.2297570705413818,4,0,0,0
6,1.3476272821426392,4,0,0,0
7,1.660374641418457,4,0,0,0
8,1.6435458660125732,4,0,0,0
9,1.2307298183441162,4,0,0,0
10,1.142773151397705,4,0,0,0
11,1.0040764808654785,4,0,0,0
12,1.2759034633636475,4,0,0,0
13,0.9021804332733154,4,0,0,0
14,0.9786813259124756,4,0,0,0
15,1.080743432044983,4,0,0,0
16,1.2442535161972046,4,0,0,0
17,1.1446669101715088,4,0,0,0
18,1.1146700382232666,4,0,0,0
19,0.9400883913040161,4,0,0,0
20,1.084140419960022,4,0,0,0
21,1.006922960281372,4,0,0,0
22,0.993192732334137,4,0,0,0
23,0.995919942855835,4,0,0,0
24,0.9388560652732849,4,0,0,0
25,0.8785184621810913,4,0,0,0
26,1.0768407583236694,4,0,0,0
27,0.9749068021774292,4,0,0,0
28,1.1804157495498657,4,0,0,0
29,0.9534686803817749,4,0,0,0
30,0.9172290563583374,4,0,0,0
31,0.8103007078170776,4,0,0,0
32,0.9426546692848206,4,0,0,0
33,0.8023402094841003,4,0,0,0
34,0.8508895635604858,4,0,0,0
35,0.81243896484375,4,0,0,0
36,1.149424433708191,4,0,0,0
37,0.8407756686210632,4,0,0,0
38,1.1419799327850342,4,0,0,0
39,0.7534951567649841,4,0,0,0
40,1.341166615486145,4,0,0,0
41,0.78902667760849,4,0,0,0
42,0.7751445174217224,4,0,0,0
43,0.7449315190315247,4,0,0,0
44,0.7528864741325378,4,0,0,0
45,0.7321468591690063,4,0,0,0
46,0.7223073244094849,4,0,0,0
47,0.6984911561012268,4,0,0,0
48,0.7224234342575073,4,0,0,0
49,0.68160080909729,4,0,0,0
50,0.694233775138855,4,0,0,0
51,0.6805806159973145,4,0,0,0
52,0.7085842490196228,4,0,0,0
53,1.237921118736267,4,0,0,0
54,0.659424364566803,4,0,0,0
55,0.673136293888092,4,0,0,0
56,1.0911287069320679,4,0,0,0
57,0.6400234699249268,4,0,0,0
58,0.6884891986846924,4,0,0,0
59,0.6460388898849487,4,0,0,0
60,0.9648476243019104,4,0,0,0
61,0.5996224880218506,4,0,0,0
62,0.5959940552711487,4,0,0,0
63,0.6239714026451111,4,0,0,0
64,0.9957301020622253,4,0,0,0
65,0.6028449535369873,4,0,0,0
