real_k_pos,real_k_neg,synthetic_k_pos,synthetic_k_neg,effective_k_pos,effective_k_neg,n_real_support_rows,n_synthetic_support_rows,n_effective_support_rows,n_real_support_contracts,n_synthetic_support_contracts,episode_idx,augmentation_method,synthetic_proportion,gen_skip_reason,n_query_rows,n_query_pos,n_query_neg,n_query_synthetic_rows
3,11,0,0,3,11,14,0,14,2,0,0,none,0.0,,62,51,11,0
11,11,0,0,11,11,22,0,22,2,0,1,none,0.0,,54,43,11,0
11,11,0,0,11,11,22,0,22,2,0,2,none,0.0,,54,43,11,0
7,11,0,0,7,11,18,0,18,2,0,3,none,0.0,,58,47,11,0
11,11,0,0,11,11,22,0,22,2,0,4,none,0.0,,54,43,11,0
3,11,0,0,3,11,14,0,14,2,0,5,none,0.0,,62,51,11,0
3,11,0,0,3,11,14,0,14,2,0,6,none,0.0,,62,51,11,0
3,11,0,0,3,11,14,0,14,2,0,7,none,0.0,,62,51,11,0
11,11,0,0,11,11,22,0,22,2,0,8,none,0.0,,54,43,11,0
11,11,0,0,11,11,22,0,22,2,0,9,none,0.0,,54,43,11,0
7,11,0,0,7,11,18,0,18,2,0,10,none,0.0,,58,47,11,0
11,11,0,0,11,11,22,0,22,2,0,11,none,0.0,,54,43,11,0
11,11,0,0,11,11,22,0,22,2,0,12,none,0.0,,54,43,11,0
7,11,0,0,7,11,18,0,18,2,0,13,none,0.0,,58,47,11,0
11,11,0,0,11,11,22,0,22,2,0,14,none,0.0,,54,43,11,0
3,11,0,0,3,11,14,0,14,2,0,15,none,0.0,,62,51,11,0
11,11,0,0,11,11,22,0,22,2,0,16,none,0.0,,54,43,11,0
11,11,0,0,11,11,22,0,22,2,0,17,none,0.0,,54,43,11,0
11,11,0,0,11,11,22,0,22,2,0,18,none,0.0,,54,43,11,0
11,11,0,0,11,11,22,0,22,2,0,19,none,0.0,,54,43,11,0
