real_k_pos,real_k_neg,synthetic_k_pos,synthetic_k_neg,effective_k_pos,effective_k_neg,n_real_support_rows,n_synthetic_support_rows,n_effective_support_rows,n_real_support_contracts,n_synthetic_support_contracts,episode_idx,augmentation_method,synthetic_proportion,n_query_rows,n_query_pos,n_query_neg,n_query_synthetic_rows
11,11,11,11,22,22,22,22,44,2,22,0,smote_nc,0.5,54,43,11,0
11,11,11,11,22,22,22,22,44,2,22,1,smote_nc,0.5,54,43,11,0
11,11,11,11,22,22,22,22,44,2,22,2,smote_nc,0.5,54,43,11,0
11,11,11,11,22,22,22,22,44,2,22,3,smote_nc,0.5,54,43,11,0
11,11,11,11,22,22,22,22,44,2,22,4,smote_nc,0.5,54,43,11,0
7,11,7,11,14,22,18,18,36,2,18,5,smote_nc,0.5,58,47,11,0
11,11,11,11,22,22,22,22,44,2,22,6,smote_nc,0.5,54,43,11,0
11,11,11,11,22,22,22,22,44,2,22,7,smote_nc,0.5,54,43,11,0
7,11,7,11,14,22,18,18,36,2,18,8,smote_nc,0.5,58,47,11,0
11,11,11,11,22,22,22,22,44,2,22,9,smote_nc,0.5,54,43,11,0
3,11,3,11,6,22,14,14,28,2,14,10,smote_nc,0.5,62,51,11,0
3,11,3,11,6,22,14,14,28,2,14,11,smote_nc,0.5,62,51,11,0
3,11,3,11,6,22,14,14,28,2,14,12,smote_nc,0.5,62,51,11,0
11,11,11,11,22,22,22,22,44,2,22,13,smote_nc,0.5,54,43,11,0
3,11,3,11,6,22,14,14,28,2,14,14,smote_nc,0.5,62,51,11,0
11,11,11,11,22,22,22,22,44,2,22,15,smote_nc,0.5,54,43,11,0
3,11,3,11,6,22,14,14,28,2,14,16,smote_nc,0.5,62,51,11,0
3,11,3,11,6,22,14,14,28,2,14,17,smote_nc,0.5,62,51,11,0
11,11,11,11,22,22,22,22,44,2,22,18,smote_nc,0.5,54,43,11,0
7,11,7,11,14,22,18,18,36,2,18,19,smote_nc,0.5,58,47,11,0
