iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,0.9327690005302429,4,0,0,0
2,1.502292513847351,4,0,0,0
3,0.5725329518318176,4,0,0,0
4,1.6484746932983398,4,0,0,0
5,0.7466455698013306,4,0,0,0
6,0.890038788318634,4,0,0,0
7,0.9629193544387817,4,0,0,0
8,0.9477195739746094,4,0,0,0
9,0.9339988827705383,4,0,0,0
10,1.0069291591644287,4,0,0,0
11,1.5499385595321655,4,0,0,0
12,0.5375289916992188,4,0,0,0
13,0.6164684295654297,4,0,0,0
14,0.7103208899497986,4,0,0,0
15,0.9651949405670166,4,0,0,0
16,0.8191161155700684,4,0,0,0
17,1.0898414850234985,4,0,0,0
18,0.6617505550384521,4,0,0,0
19,0.6545909643173218,4,0,0,0
20,1.2779265642166138,4,0,0,0
21,1.2662161588668823,4,0,0,0
22,1.254235863685608,4,0,0,0
23,0.6338521242141724,4,0,0,0
24,0.6103853583335876,4,0,0,0
25,0.6355563998222351,4,0,0,0
26,0.6346122622489929,4,0,0,0
27,1.1943391561508179,4,0,0,0
28,0.6979234218597412,4,0,0,0
29,0.6241971254348755,4,0,0,0
30,1.1087836027145386,4,0,0,0
31,0.6003681421279907,4,0,0,0
32,1.291938304901123,4,0,0,0
33,0.7474067211151123,4,0,0,0
34,0.47537925839424133,4,0,0,0
35,0.5851280689239502,4,0,0,0
36,0.7381559014320374,4,0,0,0
37,0.6014447808265686,4,0,0,0
38,0.7311851978302002,4,0,0,0
39,0.5639325976371765,4,0,0,0
40,0.597694993019104,4,0,0,0
41,0.6278151869773865,4,0,0,0
42,0.46414801478385925,4,0,0,0
43,0.6165550351142883,4,0,0,0
44,0.4624255895614624,4,0,0,0
45,1.1637688875198364,4,0,0,0
46,0.5871079564094543,4,0,0,0
47,0.8460205793380737,4,0,0,0
48,1.1386799812316895,4,0,0,0
49,0.5826281905174255,4,0,0,0
50,0.45596083998680115,4,0,0,0
51,0.9806017875671387,4,0,0,0
52,0.5229690670967102,4,0,0,0
53,0.45740488171577454,4,0,0,0
54,0.9584888219833374,4,0,0,0
55,0.5146685242652893,4,0,0,0
56,0.6840527653694153,4,0,0,0
57,0.7148438096046448,4,0,0,0
58,1.0605007410049438,4,0,0,0
59,0.566311776638031,4,0,0,0
60,0.6984900236129761,4,0,0,0
61,0.7759737372398376,4,0,0,0
62,0.7707079648971558,4,0,0,0
63,0.5535460114479065,4,0,0,0
64,0.5438553690910339,4,0,0,0
65,0.5081124305725098,4,0,0,0
66,0.4825575053691864,4,0,0,0
67,0.6541734933853149,4,0,0,0
68,0.866652250289917,4,0,0,0
69,0.5002332925796509,4,0,0,0
70,0.7328054904937744,4,0,0,0
71,0.41161611676216125,4,0,0,0
72,0.48487353324890137,4,0,0,0
73,0.6389745473861694,4,0,0,0
74,0.5209677815437317,4,0,0,0
75,0.48194047808647156,4,0,0,0
76,0.6309390664100647,4,0,0,0
77,0.6274526715278625,4,0,0,0
78,0.48283490538597107,4,0,0,0
79,0.6193569898605347,4,0,0,0
80,0.5456818342208862,4,0,0,0
81,0.4636613726615906,4,0,0,0
82,0.6111740469932556,4,0,0,0
83,0.46133050322532654,4,0,0,0
84,0.47064805030822754,4,0,0,0
85,0.47453880310058594,4,0,0,0
86,0.6928675770759583,4,0,0,0
87,0.5735146999359131,4,0,0,0
88,0.7819414734840393,4,0,0,0
89,0.570845901966095,4,0,0,0
90,0.7744334936141968,4,0,0,0
91,0.7977291345596313,4,0,0,0
92,0.45783036947250366,4,0,0,0
93,0.48043617606163025,4,0,0,0
94,0.758514404296875,4,0,0,0
95,0.7883646488189697,4,0,0,0
96,0.4519689977169037,4,0,0,0
97,0.5602314472198486,4,0,0,0
98,0.7426601648330688,4,0,0,0
99,0.47039565443992615,4,0,0,0
100,0.5600162148475647,4,0,0,0
101,0.36765822768211365,4,0,0,0
102,0.8443819284439087,4,0,0,0
103,0.5520032644271851,4,0,0,0
104,0.7195426225662231,4,0,0,0
105,0.4341649115085602,4,0,0,0
106,0.5609873533248901,4,0,0,0
107,0.4213336408138275,4,0,0,0
108,0.45644691586494446,4,0,0,0
109,0.6403736472129822,4,0,0,0
110,0.5460444092750549,4,0,0,0
111,0.4515984356403351,4,0,0,0
112,0.44948825240135193,4,0,0,0
113,0.5413923263549805,4,0,0,0
114,0.34883642196655273,4,0,0,0
115,0.742236852645874,4,0,0,0
116,0.3457670211791992,4,0,0,0
117,0.424110472202301,4,0,0,0
118,0.4201269745826721,4,0,0,0
119,0.4089038670063019,4,0,0,0
120,0.7827182412147522,4,0,0,0
121,0.6205058097839355,4,0,0,0
122,0.41949462890625,4,0,0,0
123,0.6164225935935974,4,0,0,0
124,0.6578118801116943,4,0,0,0
125,0.4122036099433899,4,0,0,0
126,0.44196999073028564,4,0,0,0
127,0.4420265853404999,4,0,0,0
128,0.7576800584793091,4,0,0,0
129,0.43348369002342224,4,0,0,0
130,0.43907126784324646,4,0,0,0
131,0.4385521411895752,4,0,0,0
132,0.709572434425354,4,0,0,0
133,0.5099472999572754,4,0,0,0
134,0.5118509531021118,4,0,0,0
135,0.5076705813407898,4,0,0,0
136,0.508232593536377,4,0,0,0
137,0.4062708020210266,4,0,0,0
138,0.39979201555252075,4,0,0,0
139,0.5238479375839233,4,0,0,0
140,0.42503267526626587,4,0,0,0
141,0.4248464107513428,4,0,0,0
142,0.3967893719673157,4,0,0,0
143,0.4302835762500763,4,0,0,0
144,0.429139107465744,4,0,0,0
145,0.38648468255996704,4,0,0,0
146,0.5897164344787598,4,0,0,0
147,0.5887648463249207,4,0,0,0
148,0.5150914192199707,4,0,0,0
149,0.5139437913894653,4,0,0,0
150,0.527128279209137,4,0,0,0
151,0.7116392850875854,4,0,0,0
152,0.4806045889854431,4,0,0,0
153,0.38961261510849,4,0,0,0
154,0.41865164041519165,4,0,0,0
155,0.49303770065307617,4,0,0,0
156,0.3875259757041931,4,0,0,0
157,0.39032307267189026,4,0,0,0
158,0.3894832134246826,4,0,0,0
159,0.37863805890083313,4,0,0,0
160,0.488455593585968,4,0,0,0
161,0.377631813287735,4,0,0,0
162,0.485740602016449,4,0,0,0
163,0.46758702397346497,4,0,0,0
164,0.3843110203742981,4,0,0,0
165,0.38340550661087036,4,0,0,0
166,0.2901887595653534,4,0,0,0
167,0.38066795468330383,4,0,0,0
168,0.403181791305542,4,0,0,0
169,0.47582942247390747,4,0,0,0
170,0.3734028935432434,4,0,0,0
171,0.3729234039783478,4,0,0,0
172,0.37232252955436707,4,0,0,0
173,0.28535196185112,4,0,0,0
174,0.37671738862991333,4,0,0,0
175,0.3760713040828705,4,0,0,0
176,0.402236670255661,4,0,0,0
177,0.3744693100452423,4,0,0,0
178,0.5028368830680847,4,0,0,0
179,0.3996084928512573,4,0,0,0
180,0.497171014547348,4,0,0,0
181,0.5586861371994019,4,0,0,0
182,0.4617120325565338,4,0,0,0
183,0.6563771367073059,4,0,0,0
184,0.6538953185081482,4,0,0,0
185,0.37001314759254456,4,0,0,0
186,0.5511590242385864,4,0,0,0
187,0.4467580020427704,4,0,0,0
188,0.3648771643638611,4,0,0,0
189,0.5515052676200867,4,0,0,0
190,0.49367770552635193,4,0,0,0
191,0.44296500086784363,4,0,0,0
192,0.27107465267181396,4,0,0,0
193,0.36102136969566345,4,0,0,0
194,0.43912047147750854,4,0,0,0
195,0.35961073637008667,4,0,0,0
196,0.4361390769481659,4,0,0,0
197,0.43441906571388245,4,0,0,0
198,0.6428377032279968,4,0,0,0
199,0.6212109327316284,4,0,0,0
200,0.5415082573890686,4,0,0,0
