iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,1.4042097330093384,4,0,0,0
2,1.2237123250961304,4,0,0,0
3,1.3254905939102173,4,0,0,0
4,1.0146501064300537,4,0,0,0
5,1.1799801588058472,4,0,0,0
6,1.3416281938552856,4,0,0,0
7,1.597939372062683,4,0,0,0
8,1.5819424390792847,4,0,0,0
9,1.1803255081176758,4,0,0,0
10,1.095046043395996,4,0,0,0
11,0.949049174785614,4,0,0,0
12,1.1854990720748901,4,0,0,0
13,0.9769481420516968,4,0,0,0
14,0.9259138703346252,4,0,0,0
15,1.0366510152816772,4,0,0,0
16,1.2421437501907349,4,0,0,0
17,1.0607279539108276,4,0,0,0
18,1.0712870359420776,4,0,0,0
19,1.0195090770721436,4,0,0,0
20,1.0104029178619385,4,0,0,0
21,0.9788141846656799,4,0,0,0
22,0.9697422385215759,4,0,0,0
23,0.9767856001853943,4,0,0,0
24,1.0437074899673462,4,0,0,0
25,0.8644210696220398,4,0,0,0
26,1.0303869247436523,4,0,0,0
27,0.9454424977302551,4,0,0,0
28,1.1767256259918213,4,0,0,0
29,0.9460901618003845,4,0,0,0
30,0.8937858939170837,4,0,0,0
31,0.8364316821098328,4,0,0,0
32,0.9707737565040588,4,0,0,0
33,0.9611855149269104,4,0,0,0
34,0.9003025889396667,4,0,0,0
35,0.872447669506073,4,0,0,0
36,1.1454088687896729,4,0,0,0
37,0.9206078052520752,4,0,0,0
38,1.1385626792907715,4,0,0,0
39,0.7954156994819641,4,0,0,0
40,1.2823152542114258,4,0,0,0
41,0.854690670967102,4,0,0,0
42,0.8667446374893188,4,0,0,0
43,0.7990003228187561,4,0,0,0
44,0.8408455848693848,4,0,0,0
45,0.7608883380889893,4,0,0,0
46,0.7680783271789551,4,0,0,0
47,0.7612504363059998,4,0,0,0
48,0.742475688457489,4,0,0,0
49,0.7355430126190186,4,0,0,0
50,0.7537074685096741,4,0,0,0
51,0.7140965461730957,4,0,0,0
52,0.7223718166351318,4,0,0,0
