real_k_pos,real_k_neg,synthetic_k_pos,synthetic_k_neg,effective_k_pos,effective_k_neg,n_real_support_rows,n_synthetic_support_rows,n_effective_support_rows,n_real_support_contracts,n_synthetic_support_contracts,episode_idx,augmentation_method,synthetic_proportion,n_query_rows,n_query_pos,n_query_neg,n_query_synthetic_rows
4,1,0,0,4,1,5,0,5,2,0,0,none,0.0,17,9,8,0
1,5,0,0,1,5,6,0,6,2,0,1,none,0.0,16,12,4,0
2,3,0,0,2,3,5,0,5,2,0,2,none,0.0,17,11,6,0
1,5,0,0,1,5,6,0,6,2,0,3,none,0.0,16,12,4,0
1,1,0,0,1,1,2,0,2,2,0,4,none,0.0,20,12,8,0
4,1,0,0,4,1,5,0,5,2,0,5,none,0.0,17,9,8,0
4,5,0,0,4,5,9,0,9,2,0,6,none,0.0,13,9,4,0
4,5,0,0,4,5,9,0,9,2,0,7,none,0.0,13,9,4,0
2,1,0,0,2,1,3,0,3,2,0,8,none,0.0,19,11,8,0
5,1,0,0,5,1,6,0,6,2,0,9,none,0.0,16,8,8,0
1,5,0,0,1,5,6,0,6,2,0,10,none,0.0,16,12,4,0
2,3,0,0,2,3,5,0,5,2,0,11,none,0.0,17,11,6,0
5,3,0,0,5,3,8,0,8,2,0,12,none,0.0,14,8,6,0
1,1,0,0,1,1,2,0,2,2,0,13,none,0.0,20,12,8,0
5,1,0,0,5,1,6,0,6,2,0,14,none,0.0,16,8,8,0
4,1,0,0,4,1,5,0,5,2,0,15,none,0.0,17,9,8,0
1,3,0,0,1,3,4,0,4,2,0,16,none,0.0,18,12,6,0
2,5,0,0,2,5,7,0,7,2,0,17,none,0.0,15,11,4,0
4,3,0,0,4,3,7,0,7,2,0,18,none,0.0,15,9,6,0
1,5,0,0,1,5,6,0,6,2,0,19,none,0.0,16,12,4,0
