iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,0.9503106474876404,4,0,0,0
2,1.4946844577789307,4,0,0,0
3,0.5724610686302185,4,0,0,0
4,1.6484450101852417,4,0,0,0
5,0.7471588850021362,4,0,0,0
6,0.9099458456039429,4,0,0,0
7,0.9979206323623657,4,0,0,0
8,0.9831851720809937,4,0,0,0
9,0.8813955187797546,4,0,0,0
10,0.9866176843643188,4,0,0,0
11,1.5516735315322876,4,0,0,0
12,0.5464982986450195,4,0,0,0
13,0.5986296534538269,4,0,0,0
14,0.7117193341255188,4,0,0,0
15,0.9403692483901978,4,0,0,0
16,0.8418112397193909,4,0,0,0
17,1.0941044092178345,4,0,0,0
18,0.6618221402168274,4,0,0,0
19,0.681644082069397,4,0,0,0
20,1.274071216583252,4,0,0,0
21,1.262558102607727,4,0,0,0
22,1.2507492303848267,4,0,0,0
23,0.6316527128219604,4,0,0,0
24,0.6350153684616089,4,0,0,0
25,0.6381129026412964,4,0,0,0
26,0.6441317796707153,4,0,0,0
27,1.191391944885254,4,0,0,0
28,0.7344087958335876,4,0,0,0
29,0.6370352506637573,4,0,0,0
30,1.120834231376648,4,0,0,0
31,0.6029795408248901,4,0,0,0
32,1.2988269329071045,4,0,0,0
33,0.7744211554527283,4,0,0,0
34,0.4915347993373871,4,0,0,0
35,0.5800674557685852,4,0,0,0
36,0.7657118439674377,4,0,0,0
37,0.6201991438865662,4,0,0,0
38,0.7590193152427673,4,0,0,0
39,0.5670443773269653,4,0,0,0
40,0.632327139377594,4,0,0,0
41,0.6326613426208496,4,0,0,0
42,0.4811773896217346,4,0,0,0
43,0.6225904822349548,4,0,0,0
44,0.4797303378582001,4,0,0,0
45,1.1744499206542969,4,0,0,0
46,0.6059935092926025,4,0,0,0
47,0.8552608489990234,4,0,0,0
48,1.1503543853759766,4,0,0,0
49,0.6006871461868286,4,0,0,0
50,0.4740602970123291,4,0,0,0
51,0.9810256361961365,4,0,0,0
52,0.52656489610672,4,0,0,0
53,0.46873968839645386,4,0,0,0
54,0.959389865398407,4,0,0,0
55,0.5178819298744202,4,0,0,0
56,0.7123900651931763,4,0,0,0
57,0.7090369462966919,4,0,0,0
58,1.073702335357666,4,0,0,0
59,0.5726293921470642,4,0,0,0
60,0.6951608657836914,4,0,0,0
61,0.7838979363441467,4,0,0,0
62,0.7783169150352478,4,0,0,0
63,0.5571174025535583,4,0,0,0
64,0.5637863278388977,4,0,0,0
65,0.5003440380096436,4,0,0,0
66,0.5023999214172363,4,0,0,0
67,0.6805022358894348,4,0,0,0
68,0.8642649054527283,4,0,0,0
69,0.4916689991950989,4,0,0,0
70,0.7385345101356506,4,0,0,0
71,0.412129670381546,4,0,0,0
72,0.4970516264438629,4,0,0,0
73,0.6646335124969482,4,0,0,0
74,0.5210430026054382,4,0,0,0
75,0.4945835471153259,4,0,0,0
76,0.6563635468482971,4,0,0,0
77,0.6251214742660522,4,0,0,0
78,0.4739148020744324,4,0,0,0
79,0.6172372698783875,4,0,0,0
80,0.5622943043708801,4,0,0,0
81,0.4641011357307434,4,0,0,0
82,0.6357042193412781,4,0,0,0
83,0.46178776025772095,4,0,0,0
84,0.46226587891578674,4,0,0,0
85,0.4878285229206085,4,0,0,0
86,0.6950656175613403,4,0,0,0
87,0.5823806524276733,4,0,0,0
88,0.7759007811546326,4,0,0,0
89,0.5794121623039246,4,0,0,0
90,0.7679271697998047,4,0,0,0
91,0.8063713908195496,4,0,0,0
