iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,1.593285322189331,4,0,0,0
2,1.6600325107574463,4,0,0,0
3,1.47526216506958,4,0,0,0
4,1.7044601440429688,4,0,0,0
5,1.3199684619903564,4,0,0,0
6,1.4928882122039795,4,0,0,0
7,1.3789719343185425,4,0,0,0
8,1.3607490062713623,4,0,0,0
9,1.582359790802002,4,0,0,0
10,0.8702250719070435,4,0,0,0
11,1.54026198387146,4,0,0,0
12,1.3210361003875732,4,0,0,0
13,0.8903399705886841,4,0,0,0
14,1.2603298425674438,4,0,0,0
15,1.0634721517562866,4,0,0,0
16,1.341658115386963,4,0,0,0
17,0.9925704002380371,4,0,0,0
18,1.1523921489715576,4,0,0,0
19,1.006344199180603,4,0,0,0
20,1.1052219867706299,4,0,0,0
21,1.2725965976715088,4,0,0,0
22,1.250744342803955,4,0,0,0
23,1.056589961051941,4,0,0,0
24,1.1198872327804565,4,0,0,0
25,1.0903352499008179,4,0,0,0
26,1.1460704803466797,4,0,0,0
27,0.9748833179473877,4,0,0,0
28,1.1169030666351318,4,0,0,0
29,1.0568454265594482,4,0,0,0
30,0.9112132787704468,4,0,0,0
31,0.9526547193527222,4,0,0,0
32,1.0211765766143799,4,0,0,0
33,1.0393122434616089,4,0,0,0
34,0.8197458982467651,4,0,0,0
35,0.9464684724807739,4,0,0,0
36,1.0272539854049683,4,0,0,0
37,0.8642084002494812,4,0,0,0
38,1.0064926147460938,4,0,0,0
39,0.8179976940155029,4,0,0,0
40,0.9183608889579773,4,0,0,0
41,0.758527398109436,4,0,0,0
42,0.7883011102676392,4,0,0,0
43,0.8161675333976746,4,0,0,0
44,0.8913682699203491,4,0,0,0
45,0.786550760269165,4,0,0,0
46,0.7132039666175842,4,0,0,0
47,0.7776355743408203,4,0,0,0
48,0.7424843907356262,4,0,0,0
49,0.6933339834213257,4,0,0,0
50,0.7803372740745544,4,0,0,0
51,0.6678763628005981,4,0,0,0
52,0.6866042017936707,4,0,0,0
53,1.0711934566497803,4,0,0,0
54,0.6325117349624634,4,0,0,0
55,0.6613062620162964,4,0,0,0
56,0.8249529004096985,4,0,0,0
57,0.8503009080886841,4,0,0,0
58,0.6175348162651062,4,0,0,0
59,0.6106840372085571,4,0,0,0
60,0.859825074672699,4,0,0,0
61,0.766951322555542,4,0,0,0
62,0.7568234205245972,4,0,0,0
63,0.5903365612030029,4,0,0,0
64,0.7584613561630249,4,0,0,0
65,0.5797293782234192,4,0,0,0
66,0.7538849711418152,4,0,0,0
67,0.9563291668891907,4,0,0,0
68,0.5196641087532043,4,0,0,0
69,0.5648294687271118,4,0,0,0
70,0.7381394505500793,4,0,0,0
71,0.9558076858520508,4,0,0,0
72,1.1879762411117554,4,0,0,0
73,0.7441140413284302,4,0,0,0
74,0.5022364854812622,4,0,0,0
75,0.9296861290931702,4,0,0,0
76,0.9525367617607117,4,0,0,0
77,0.9384981989860535,4,0,0,0
78,0.5387956500053406,4,0,0,0
79,0.9436963200569153,4,0,0,0
80,0.7814918756484985,4,0,0,0
81,0.5456951856613159,4,0,0,0
82,0.7232502698898315,4,0,0,0
83,0.5422335863113403,4,0,0,0
84,0.530825674533844,4,0,0,0
85,1.2457695007324219,4,0,0,0
86,0.7076481580734253,4,0,0,0
87,0.5270333886146545,4,0,0,0
88,0.5243184566497803,4,0,0,0
89,0.44636112451553345,4,0,0,0
90,0.4427640438079834,4,0,0,0
91,0.7057697176933289,4,0,0,0
92,0.5155443549156189,4,0,0,0
93,0.5141513347625732,4,0,0,0
94,0.4264872670173645,4,0,0,0
95,0.6956082582473755,4,0,0,0
96,0.506571352481842,4,0,0,0
97,0.5052798390388489,4,0,0,0
98,0.502487063407898,4,0,0,0
99,0.41282135248184204,4,0,0,0
100,0.8257092833518982,4,0,0,0
101,0.9650341272354126,4,0,0,0
102,0.39956802129745483,4,0,0,0
103,0.83139967918396,4,0,0,0
104,0.3916827440261841,4,0,0,0
105,0.4918394684791565,4,0,0,0
106,0.9732547998428345,4,0,0,0
107,0.6793593168258667,4,0,0,0
108,1.4267570972442627,4,0,0,0
