real_k_pos,real_k_neg,synthetic_k_pos,synthetic_k_neg,effective_k_pos,effective_k_neg,n_real_support_rows,n_synthetic_support_rows,n_effective_support_rows,n_real_support_contracts,n_synthetic_support_contracts,episode_idx,augmentation_method,synthetic_proportion,n_query_rows,n_query_pos,n_query_neg,n_query_synthetic_rows
5,8,0,0,5,8,13,0,13,4,0,0,smote_nc,0.5,9,8,1,0
6,4,0,1,6,5,10,1,11,4,1,1,smote_nc,0.5,12,7,5,0
5,4,0,1,5,5,9,1,10,4,1,2,smote_nc,0.5,13,8,5,0
6,8,0,0,6,8,14,0,14,4,0,3,smote_nc,0.5,8,7,1,0
6,6,0,0,6,6,12,0,12,4,0,4,smote_nc,0.5,10,7,3,0
3,4,2,1,5,5,7,3,10,4,3,5,smote_nc,0.5,15,10,5,0
7,4,0,1,7,5,11,1,12,4,1,6,smote_nc,0.5,11,6,5,0
6,4,0,1,6,5,10,1,11,4,1,7,smote_nc,0.5,12,7,5,0
7,4,0,1,7,5,11,1,12,4,1,8,smote_nc,0.5,11,6,5,0
6,8,0,0,6,8,14,0,14,4,0,9,smote_nc,0.5,8,7,1,0
9,6,0,0,9,6,15,0,15,4,0,10,smote_nc,0.5,7,4,3,0
5,8,0,0,5,8,13,0,13,4,0,11,smote_nc,0.5,9,8,1,0
5,4,0,1,5,5,9,1,10,4,1,12,smote_nc,0.5,13,8,5,0
6,6,0,0,6,6,12,0,12,4,0,13,smote_nc,0.5,10,7,3,0
9,4,0,1,9,5,13,1,14,4,1,14,smote_nc,0.5,9,4,5,0
5,6,0,0,5,6,11,0,11,4,0,15,smote_nc,0.5,11,8,3,0
5,8,0,0,5,8,13,0,13,4,0,16,smote_nc,0.5,9,8,1,0
9,4,0,1,9,5,13,1,14,4,1,17,smote_nc,0.5,9,4,5,0
3,6,2,0,5,6,9,2,11,4,2,18,smote_nc,0.5,13,10,3,0
3,4,2,1,5,5,7,3,10,4,3,19,smote_nc,0.5,15,10,5,0
