model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
ANIL,0.2857142857142857,0.8736394557823131,0.8387733512913786,0.3185303101062683,0.5471785478293896,0.4,0.25,0.46930742636322975,0.875,8,7,0.8,0.5714285714285714,0.8304198973631918,0.875,1.0,0.9492756620369744,0.875,1.0,0.9492756620369744,0
ANIL,0.2,0.8813455988455987,1.3567480820782032,0.5279880432245263,0.7106602930209854,0.18181818181818182,0.18181818181818182,0.26513313908468594,0.9090909090909091,11,10,0.8,0.4,0.8304198973631918,0.9,0.9,0.8899541168509599,0.9090909090909091,1.0,0.9513471624557064,1
ANIL,0.375,0.9067956349206349,0.8812027018134015,0.335946762659993,0.46129070719083154,0.5,0.3333333333333333,0.43734801808993023,0.8888888888888888,9,8,0.8,0.5,0.8539316501572934,0.8888888888888888,1.0,0.9672068480996276,0.8888888888888888,1.0,0.9672068480996276,2
ANIL,0.2,0.7309598734598735,1.053179471052794,0.40498127037843495,0.560117727288833,0.18181818181818182,0.3076923076923077,0.30413371668412137,0.7692307692307693,13,10,0.4,0.2,0.5531464700081437,0.7,0.7,0.7100226348397881,0.7692307692307693,1.0,0.8886998732572823,3
ANIL,0.2727272727272727,0.9072838777384231,1.4978073468491846,0.5774912228746509,0.6959625482559204,0.0,0.08333333333333333,0.22070411841074625,0.9166666666666666,12,11,0.8,0.36363636363636365,0.8539316501572934,0.9,0.8181818181818182,0.9052116356304493,0.9166666666666666,1.0,0.966731295454843,4
ANIL,0.42857142857142855,0.7947278911564624,0.6944200286013308,0.2523616169551352,0.3038817077875137,0.5714285714285714,0.4,0.5400418490171432,0.7,10,7,0.6,0.42857142857142855,0.7227265726449517,0.7,1.0,0.9262845298966466,0.7,1.0,0.9262845298966466,5
ANIL,0.75,0.8928571428571428,0.641750850100809,0.22998639801916607,0.1431581548282078,0.7272727272727273,0.5714285714285714,0.6756292155810765,0.5714285714285714,7,4,0.6,0.75,0.8318724637288825,0.5714285714285714,1.0,0.961999147059583,0.5714285714285714,1.0,0.961999147059583,6
ANIL,0.25,0.8041666666666667,0.6022565766187254,0.20825468070279882,0.42077096700668337,0.8888888888888888,0.8,0.6649162411689759,0.8,5,4,0.8,1.0,0.9047172294870751,0.8,1.0,0.9047172294870751,0.8,1.0,0.9047172294870751,7
ANIL,0.3,0.7809598734598734,1.0203981790836127,0.3918786059707894,0.49311318076573896,0.3333333333333333,0.38461538461538464,0.3152126188461597,0.7692307692307693,13,10,0.6,0.3,0.7227265726449517,0.7,0.7,0.7416702490101529,0.7692307692307693,1.0,0.9203474874276469,8
ANIL,0.14285714285714285,0.8260204081632654,0.7586781090756742,0.2845127993314359,0.5210479162633419,0.2222222222222222,0.125,0.5067696608603001,0.875,8,7,0.8,0.5714285714285714,0.7860137352654724,0.875,1.0,0.9132861715058804,0.875,1.0,0.9132861715058804,9
ANIL,0.3,0.7809598734598734,1.0203981790836127,0.3918786059707894,0.49311318076573896,0.3333333333333333,0.38461538461538464,0.3152126188461597,0.7692307692307693,13,10,0.6,0.3,0.7227265726449517,0.7,0.7,0.7416702490101529,0.7692307692307693,1.0,0.9203474874276469,10
ANIL,0.42857142857142855,0.7947278911564624,0.6944200286013308,0.2523616169551352,0.3038817077875137,0.5714285714285714,0.4,0.5400418490171432,0.7,10,7,0.6,0.42857142857142855,0.7227265726449517,0.7,1.0,0.9262845298966466,0.7,1.0,0.9262845298966466,11
ANIL,0.47619047619047616,0.8083333333333331,0.6212600952476839,0.21732703595948416,0.1240075886249542,0.8235294117647058,0.7,0.5759924113750458,0.7,10,7,0.6,0.42857142857142855,0.7227265726449517,0.7,1.0,0.9325720109418507,0.7,1.0,0.9325720109418507,12
