iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,0.7796642780303955,4,0,0,0
2,0.9368008971214294,4,0,0,0
3,1.3902509212493896,4,0,0,0
4,0.6841037273406982,4,0,0,0
5,1.8265193700790405,4,0,0,0
6,0.6743336915969849,4,0,0,0
7,0.8840727210044861,4,0,0,0
8,0.7503673434257507,4,0,0,0
9,0.7041097283363342,4,0,0,0
10,0.7843074202537537,4,0,0,0
11,0.6949681639671326,4,0,0,0
12,0.6303868889808655,4,0,0,0
13,0.6963932514190674,4,0,0,0
14,0.9267122149467468,4,0,0,0
15,0.6041779518127441,4,0,0,0
16,0.5617368817329407,4,0,0,0
17,0.6450992822647095,4,0,0,0
18,0.6169532537460327,4,0,0,0
19,0.7462694644927979,4,0,0,0
20,0.6724518537521362,4,0,0,0
21,0.5687472820281982,4,0,0,0
22,0.628696858882904,4,0,0,0
23,1.565406322479248,4,0,0,0
24,1.106765627861023,4,0,0,0
25,0.6453503370285034,4,0,0,0
26,0.7803837060928345,4,0,0,0
27,0.6251744031906128,4,0,0,0
28,0.7742713689804077,4,0,0,0
29,0.6073492169380188,4,0,0,0
30,0.5609768033027649,4,0,0,0
31,0.846098005771637,4,0,0,0
32,0.4789644181728363,4,0,0,0
33,0.7805591821670532,4,0,0,0
34,0.5568387508392334,4,0,0,0
35,1.002944827079773,4,0,0,0
36,0.5314406752586365,4,0,0,0
37,1.3964563608169556,4,0,0,0
38,0.6005997061729431,4,0,0,0
39,0.5052656531333923,4,0,0,0
40,0.7925949096679688,4,0,0,0
41,0.9454739689826965,4,0,0,0
42,0.5371274352073669,4,0,0,0
43,0.5545980930328369,4,0,0,0
44,0.740791916847229,4,0,0,0
45,0.4968200922012329,4,0,0,0
46,0.8999598622322083,4,0,0,0
47,0.5749055743217468,4,0,0,0
48,0.7138946056365967,4,0,0,0
49,0.5990817546844482,4,0,0,0
50,0.5984418392181396,4,0,0,0
51,0.4579671323299408,4,0,0,0
52,0.7910962700843811,4,0,0,0
53,0.47938042879104614,4,0,0,0
54,0.5667405128479004,4,0,0,0
55,0.7871565222740173,4,0,0,0
56,0.414345920085907,4,0,0,0
57,0.6061655282974243,4,0,0,0
58,0.6959842443466187,4,0,0,0
59,0.779402494430542,4,0,0,0
60,0.5311214327812195,4,0,0,0
61,0.46617555618286133,4,0,0,0
62,0.4967058002948761,4,0,0,0
63,1.183440089225769,4,0,0,0
64,0.5404024720191956,4,0,0,0
65,0.670488715171814,4,0,0,0
66,0.43385472893714905,4,0,0,0
67,0.6982043385505676,4,0,0,0
68,0.7896323800086975,4,0,0,0
69,1.1464537382125854,4,0,0,0
70,0.5466230511665344,4,0,0,0
71,0.5672109723091125,4,0,0,0
72,0.5400398969650269,4,0,0,0
73,0.4189944267272949,4,0,0,0
74,0.6727616786956787,4,0,0,0
75,0.6374750137329102,4,0,0,0
76,0.4489865005016327,4,0,0,0
77,0.5861994624137878,4,0,0,0
78,0.5851272344589233,4,0,0,0
79,0.6609654426574707,4,0,0,0
80,0.4722345471382141,4,0,0,0
81,0.7503858208656311,4,0,0,0
82,0.39967629313468933,4,0,0,0
83,0.5587171316146851,4,0,0,0
84,0.48750054836273193,4,0,0,0
85,0.6009430885314941,4,0,0,0
86,0.5109209418296814,4,0,0,0
87,0.42111822962760925,4,0,0,0
88,0.4500901699066162,4,0,0,0
89,0.5931298732757568,4,0,0,0
