iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,41.29380416870117,4,0,0,0
2,109.51844024658203,4,0,0,0
3,111.47443389892578,4,0,0,0
4,34.33527374267578,4,0,0,0
5,23.955917358398438,4,0,0,0
6,39.79616165161133,4,0,0,0
7,11.789080619812012,4,0,0,0
8,7.538364410400391,4,0,0,0
9,2.721997022628784,4,0,0,0
10,1.7296428680419922,4,0,0,0
11,12.46537971496582,4,0,0,0
12,5.957472324371338,4,0,0,0
13,1.1231820583343506,4,0,0,0
14,0.529975175857544,4,0,0,0
15,0.6916311979293823,4,0,0,0
16,0.551453709602356,4,0,0,0
17,0.5115443468093872,4,0,0,0
18,0.714637815952301,4,0,0,0
19,0.6596897840499878,4,0,0,0
20,1.4143288135528564,4,0,0,0
21,1.1255824565887451,4,0,0,0
22,0.5602245330810547,4,0,0,0
23,0.6131008267402649,4,0,0,0
24,0.6472138166427612,4,0,0,0
25,0.4974372982978821,4,0,0,0
26,0.5958264470100403,4,0,0,0
27,0.6126752495765686,4,0,0,0
28,0.6204276084899902,4,0,0,0
29,0.6163044571876526,4,0,0,0
30,1.192683219909668,4,0,0,0
31,0.5028398633003235,4,0,0,0
32,0.6336754560470581,4,0,0,0
33,0.5946550369262695,4,0,0,0
34,0.5152369737625122,4,0,0,0
35,0.49604690074920654,4,0,0,0
36,0.5099507570266724,4,0,0,0
37,0.5118322968482971,4,0,0,0
38,0.49309372901916504,4,0,0,0
39,0.519783079624176,4,0,0,0
40,6.3614501953125,4,0,0,0
41,0.5860211849212646,4,0,0,0
42,0.6178318858146667,4,0,0,0
43,0.6259400844573975,4,0,0,0
44,0.6110278367996216,4,0,0,0
45,0.6069467067718506,4,0,0,0
46,0.6022050380706787,4,0,0,0
47,0.5958589911460876,4,0,0,0
48,0.5881779193878174,4,0,0,0
49,0.5815138220787048,4,0,0,0
50,0.6867799758911133,4,0,0,0
51,0.5712449550628662,4,0,0,0
52,0.5665371417999268,4,0,0,0
53,2.2273778915405273,4,0,0,0
54,7.315722465515137,4,0,0,0
55,0.5558887720108032,4,0,0,0
56,4.694435119628906,4,0,0,0
57,0.5527144074440002,4,0,0,0
58,0.5512194633483887,4,0,0,0
59,0.5462625026702881,4,0,0,0
60,0.5372276902198792,4,0,0,0
61,0.5357352495193481,4,0,0,0
62,0.5287924408912659,4,0,0,0
63,0.5270860195159912,4,0,0,0
64,0.5204907059669495,4,0,0,0
65,0.5122963786125183,4,0,0,0
66,0.5179682970046997,4,0,0,0
67,0.5128243565559387,4,0,0,0
68,0.5102138519287109,4,0,0,0
69,0.5101295113563538,4,0,0,0
70,0.5054490566253662,4,0,0,0
71,0.5065182447433472,4,0,0,0
72,0.49837225675582886,4,0,0,0
73,0.49686548113822937,4,0,0,0
74,0.5029336810112,4,0,0,0
75,0.4988941252231598,4,0,0,0
76,0.5059441328048706,4,0,0,0
77,0.497618705034256,4,0,0,0
78,0.4972460865974426,4,0,0,0
79,0.5007932782173157,4,0,0,0
80,0.4920477271080017,4,0,0,0
81,0.5056548714637756,4,0,0,0
82,0.49586641788482666,4,0,0,0
83,0.49681150913238525,4,0,0,0
84,0.5062012672424316,4,0,0,0
85,0.49606478214263916,4,0,0,0
86,0.5013782978057861,4,0,0,0
87,0.5067729353904724,4,0,0,0
88,0.4972414970397949,4,0,0,0
89,0.47785478830337524,4,0,0,0
90,0.49204468727111816,4,0,0,0
91,0.482269287109375,4,0,0,0
92,0.5019854307174683,4,0,0,0
93,0.4921552836894989,4,0,0,0
94,0.49757179617881775,4,0,0,0
95,0.5020748376846313,4,0,0,0
96,0.49216949939727783,4,0,0,0
97,0.4975461959838867,4,0,0,0
98,0.5019907355308533,4,0,0,0
99,0.49209916591644287,4,0,0,0
100,0.4867137372493744,4,0,0,0
101,0.5071377754211426,4,0,0,0
102,0.5017234683036804,4,0,0,0
103,0.5016359090805054,4,0,0,0
104,0.501567542552948,4,0,0,0
105,0.501399576663971,4,0,0,0
106,0.5013375282287598,4,0,0,0
107,0.4969635009765625,4,0,0,0
108,0.48245713114738464,4,0,0,0
109,0.49596959352493286,4,0,0,0
110,0.49171438813209534,4,0,0,0
111,0.48577818274497986,4,0,0,0
112,0.4968147277832031,4,0,0,0
113,0.48669329285621643,4,0,0,0
114,0.4967176020145416,4,0,0,0
115,0.5059050917625427,4,0,0,0
116,0.5008888840675354,4,0,0,0
117,0.4917360842227936,4,0,0,0
118,0.49172860383987427,4,0,0,0
119,0.4967144727706909,4,0,0,0
120,0.5008261203765869,4,0,0,0
121,0.4827391803264618,4,0,0,0
122,0.4917534291744232,4,0,0,0
123,0.47866737842559814,4,0,0,0
124,0.5008047819137573,4,0,0,0
125,0.48274505138397217,4,0,0,0
126,0.4908950924873352,4,0,0,0
127,0.5007970929145813,4,0,0,0
128,0.5008233785629272,4,0,0,0
129,0.500796377658844,4,0,0,0
130,0.5007904767990112,4,0,0,0
131,0.5057606101036072,4,0,0,0
