iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,13.992023468017578,4,0,0,0
2,48.74432373046875,4,0,0,0
3,33.01692199707031,4,0,0,0
4,33.33774948120117,4,0,0,0
5,10.021018981933594,4,0,0,0
6,8.755070686340332,4,0,0,0
7,4.188551902770996,4,0,0,0
8,4.0869951248168945,4,0,0,0
9,1.5265663862228394,4,0,0,0
10,1.349320650100708,4,0,0,0
11,0.6628254652023315,4,0,0,0
12,0.8786048889160156,4,0,0,0
13,1.4307310581207275,4,0,0,0
14,1.1886045932769775,4,0,0,0
15,0.6673428416252136,4,0,0,0
16,0.6620174646377563,4,0,0,0
17,0.6583523750305176,4,0,0,0
18,0.6705531477928162,4,0,0,0
19,0.7103516459465027,4,0,0,0
20,0.6586698293685913,4,0,0,0
21,2.782980442047119,4,0,0,0
22,6.200242042541504,4,0,0,0
23,0.6624124050140381,4,0,0,0
24,0.6740087866783142,4,0,0,0
25,0.6636335849761963,4,0,0,0
26,0.664165735244751,4,0,0,0
27,0.6593464612960815,4,0,0,0
28,0.6738876700401306,4,0,0,0
29,0.6559509634971619,4,0,0,0
30,0.6856610774993896,4,0,0,0
31,0.6650869250297546,4,0,0,0
32,0.660618782043457,4,0,0,0
33,2.731515645980835,4,0,0,0
34,0.6623049974441528,4,0,0,0
35,0.6604578495025635,4,0,0,0
36,0.6159405708312988,4,0,0,0
37,0.6606892347335815,4,0,0,0
38,0.6903181672096252,4,0,0,0
39,0.6940410733222961,4,0,0,0
40,0.6589478254318237,4,0,0,0
41,0.6371105909347534,4,0,0,0
42,0.6982666254043579,4,0,0,0
43,0.651534914970398,4,0,0,0
44,0.6491743922233582,4,0,0,0
45,0.6184803247451782,4,0,0,0
46,0.6790448427200317,4,0,0,0
47,0.6649895310401917,4,0,0,0
48,0.6703854203224182,4,0,0,0
49,0.6624929904937744,4,0,0,0
50,0.7020885348320007,4,0,0,0
51,0.6280683875083923,4,0,0,0
52,0.668150007724762,4,0,0,0
53,0.6723953485488892,4,0,0,0
54,0.6887434720993042,4,0,0,0
55,0.6885342597961426,4,0,0,0
56,0.6467422246932983,4,0,0,0
57,0.6849018335342407,4,0,0,0
58,0.6503287553787231,4,0,0,0
59,0.6576452255249023,4,0,0,0
60,0.6648883819580078,4,0,0,0
61,0.6443643569946289,4,0,0,0
62,0.6662492752075195,4,0,0,0
63,0.6885863542556763,4,0,0,0
64,0.6706840991973877,4,0,0,0
65,0.6604375839233398,4,0,0,0
66,0.6790680885314941,4,0,0,0
67,0.6931353211402893,4,0,0,0
68,0.6733465194702148,4,0,0,0
69,0.6388181447982788,4,0,0,0
70,0.6478637456893921,4,0,0,0
71,0.6499732136726379,4,0,0,0
72,0.6714745759963989,4,0,0,0
73,0.661719799041748,4,0,0,0
74,0.6641096472740173,4,0,0,0
75,0.6523202657699585,4,0,0,0
76,0.6619551777839661,4,0,0,0
77,0.664657473564148,4,0,0,0
78,0.6295546293258667,4,0,0,0
79,0.669081449508667,4,0,0,0
80,0.6289551258087158,4,0,0,0
81,0.7267835736274719,4,0,0,0
82,0.6528189778327942,4,0,0,0
83,0.6722211241722107,4,0,0,0
84,0.6515486240386963,4,0,0,0
85,0.6535845994949341,4,0,0,0
86,0.6676900386810303,4,0,0,0
87,0.6506328582763672,4,0,0,0
88,0.6625446081161499,4,0,0,0
89,1.5498251914978027,4,0,0,0
90,0.6694700717926025,4,0,0,0
