model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
FOMAML,0.5490196078431373,0.851006738929407,0.5636758308093319,0.18685768448610737,0.206278286633953,0.9026548672566371,0.8225806451612904,0.6163023585273374,0.8225806451612904,62,51,1.0,0.09803921568627451,0.9999999999999999,0.9,0.17647058823529413,0.933745776545611,0.85,0.3333333333333333,0.8996110736685393,0
FOMAML,0.5581395348837209,0.8250058111775069,0.5775197006851099,0.19352561457660736,0.18133916567873068,0.8865979381443299,0.7962962962962963,0.6149571306175656,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,0.8,0.18604651162790697,0.9667761598096106,0.6,0.27906976744186046,0.887838437724145,1
FOMAML,0.5581395348837209,0.8250058111775069,0.5609305568872096,0.1860177050538478,0.16146751686378755,0.8865979381443299,0.7962962962962963,0.6348287794325087,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,1.0,0.23255813953488372,0.9667761598096106,0.9,0.4186046511627907,0.887838437724145,2
FOMAML,0.5570599613152805,0.8439265642262129,0.5592532322420848,0.18499518177710428,0.1824641864875268,0.8952380952380953,0.8103448275862069,0.6278806410986801,0.8103448275862069,58,47,1.0,0.10638297872340426,0.9999999999999999,0.9,0.19148936170212766,0.933745776545611,0.95,0.40425531914893614,0.8943719269579549,3
FOMAML,0.5581395348837209,0.8250058111775069,0.5775197006851099,0.19352561457660736,0.18133916567873068,0.8865979381443299,0.7962962962962963,0.6149571306175656,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,0.8,0.18604651162790697,0.9667761598096106,0.6,0.27906976744186046,0.887838437724145,4
FOMAML,0.5490196078431373,0.851006738929407,0.5636758308093319,0.18685768448610737,0.206278286633953,0.9026548672566371,0.8225806451612904,0.6163023585273374,0.8225806451612904,62,51,1.0,0.09803921568627451,0.9999999999999999,0.9,0.17647058823529413,0.933745776545611,0.85,0.3333333333333333,0.8996110736685393,5
FOMAML,0.5686274509803921,0.8491944988818727,0.5640536646041102,0.18703522579236856,0.20653163040837938,0.9026548672566371,0.8225806451612904,0.616049014752911,0.8225806451612904,62,51,1.0,0.09803921568627451,0.9999999999999999,1.0,0.19607843137254902,0.9862778692119908,1.0,0.39215686274509803,0.9146547894079133,6
FOMAML,0.5686274509803921,0.8491944988818727,0.5640536646041102,0.18703522579236856,0.20653163040837938,0.9026548672566371,0.8225806451612904,0.616049014752911,0.8225806451612904,62,51,1.0,0.09803921568627451,0.9999999999999999,1.0,0.19607843137254902,0.9862778692119908,1.0,0.39215686274509803,0.9146547894079133,7
FOMAML,0.5581395348837209,0.8250058111775069,0.5775206658653875,0.19352606525335542,0.18134044938617283,0.8865979381443299,0.7962962962962963,0.6149558469101235,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,0.8,0.18604651162790697,0.9667761598096106,0.6,0.27906976744186046,0.887838437724145,8
FOMAML,0.5454545454545454,0.8305979846219376,0.5605242672288538,0.18583021833380128,0.16119120407987517,0.8865979381443299,0.7962962962962963,0.6351050922164211,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,0.9,0.20930232558139536,0.933745776545611,0.65,0.3023255813953488,0.8784887913639078,9
FOMAML,0.5570599613152805,0.8439265642262129,0.5592532322420848,0.18499518177710428,0.1824641864875268,0.8952380952380953,0.8103448275862069,0.6278806410986801,0.8103448275862069,58,47,1.0,0.10638297872340426,0.9999999999999999,0.9,0.19148936170212766,0.933745776545611,0.95,0.40425531914893614,0.8943719269579549,10
FOMAML,0.5581395348837209,0.8250058111775069,0.5609305568872096,0.1860177050538478,0.16146751686378755,0.8865979381443299,0.7962962962962963,0.6348287794325087,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,1.0,0.23255813953488372,0.9667761598096106,0.9,0.4186046511627907,0.887838437724145,11
FOMAML,0.19556025369978858,0.6977037881003934,2.0151209298767037,0.20368310081709995,0.20365215230871136,0.8865979381443299,0.7962962962962963,0.9999484486050076,0.7962962962962963,54,43,0.6,0.06976744186046512,0.6843515475204854,0.5,0.11627906976744186,0.5771493379489847,0.6,0.27906976744186046,0.6242243244750298,12
FOMAML,0.5570599613152805,0.8439265642262129,0.5592532322420848,0.18499518177710428,0.1824641864875268,0.8952380952380953,0.8103448275862069,0.6278806410986801,0.8103448275862069,58,47,1.0,0.10638297872340426,0.9999999999999999,0.9,0.19148936170212766,0.933745776545611,0.95,0.40425531914893614,0.8943719269579549,13
FOMAML,0.5454545454545454,0.8305979846219376,0.5605242672288538,0.18583021833380128,0.16119120407987517,0.8865979381443299,0.7962962962962963,0.6351050922164211,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,0.9,0.20930232558139536,0.933745776545611,0.65,0.3023255813953488,0.8784887913639078,14
FOMAML,0.5490196078431373,0.851006738929407,0.5636758308093319,0.18685768448610737,0.206278286633953,0.9026548672566371,0.8225806451612904,0.6163023585273374,0.8225806451612904,62,51,1.0,0.09803921568627451,0.9999999999999999,0.9,0.17647058823529413,0.933745776545611,0.85,0.3333333333333333,0.8996110736685393,15
FOMAML,0.5581395348837209,0.8250058111775069,0.560929520636895,0.1860172341726957,0.16146606979546718,0.8865979381443299,0.7962962962962963,0.6348302265008291,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,1.0,0.23255813953488372,0.9667761598096106,0.9,0.4186046511627907,0.887838437724145,16
FOMAML,0.5581395348837209,0.8250058111775069,0.5775206658653875,0.19352606525335542,0.18134044938617283,0.8865979381443299,0.7962962962962963,0.6149558469101235,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,0.8,0.18604651162790697,0.9667761598096106,0.6,0.27906976744186046,0.887838437724145,17
FOMAML,0.19556025369978858,0.6977037881003934,2.0151209298767037,0.20368310081709995,0.20365215230871136,0.8865979381443299,0.7962962962962963,0.9999484486050076,0.7962962962962963,54,43,0.6,0.06976744186046512,0.6843515475204854,0.5,0.11627906976744186,0.5771493379489847,0.6,0.27906976744186046,0.6242243244750298,18
FOMAML,0.5581395348837209,0.8250058111775069,0.5609323723588789,0.18601853049676254,0.1614700500611906,0.8865979381443299,0.7962962962962963,0.6348262462351058,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,1.0,0.23255813953488372,0.9667761598096106,0.9,0.4186046511627907,0.887838437724145,19
