model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
FOMAML,0.5217391304347826,0.8006787204688254,0.6736431979873977,0.24025214652284801,0.27627955017418704,0.8846153846153846,0.7931034482758621,0.5168238981016751,0.7931034482758621,29,23,0.8,0.17391304347826086,0.7999999999999999,0.8,0.34782608695652173,0.8,0.85,0.7391304347826086,0.7999999999999999,0
FOMAML,0.5165441176470588,0.8154231871478719,0.6842165777163071,0.24553508801579524,0.3023866578226998,0.8611111111111112,0.7619047619047619,0.5071371517011097,0.8095238095238095,42,34,1.0,0.14705882352941177,0.8157894736842104,0.8,0.23529411764705882,0.8157894736842105,0.9,0.5294117647058824,0.8157894736842104,1
FOMAML,0.5,0.6808510638297872,0.6880809720134153,0.24746706637058716,0.17370714913023277,0.810126582278481,0.6808510638297872,0.5071439146995544,0.6808510638297872,47,32,1.0,0.15625,0.6808510638297871,1.0,0.3125,0.6808510638297872,1.0,0.625,0.6808510638297871,2
FOMAML,0.2742857142857143,0.6800823745140661,5.622305750000993,0.7765129684847084,0.7768481219950546,0.0,0.2222222222222222,0.0009296557827231784,0.7777777777777778,45,35,0.6,0.08571428571428572,0.529634717214042,0.4,0.11428571428571428,0.40995091484653434,0.7,0.4,0.619201586453293,3
FOMAML,0.5072115384615384,0.7674416447720528,0.6634525131109887,0.2351703229474264,0.234803837888381,0.8666666666666667,0.7647058823529411,0.5299020444645601,0.7647058823529411,34,26,0.6,0.11538461538461539,0.7666666666666666,0.8,0.3076923076923077,0.7666666666666667,0.85,0.6538461538461539,0.7666666666666666,4
FOMAML,0.45652173913043476,0.7012359747545582,0.6640435254433396,0.23547349920242888,0.18147450126707554,0.8363636363636363,0.71875,0.5372754987329245,0.71875,32,23,0.8,0.17391304347826086,0.6999999999999998,0.9,0.391304347826087,0.7,0.9,0.782608695652174,0.6999999999999998,5
FOMAML,0.5,0.775,0.6899308858275707,0.24839187111250852,0.2720604181289673,0.8732394366197183,0.775,0.5029395818710327,0.775,40,31,1.0,0.16129032258064516,0.775,0.9,0.2903225806451613,0.775,0.95,0.6129032258064516,0.7749999999999999,6
FOMAML,0.69921875,0.8744684656159114,0.6615882926864621,0.2342358640648352,0.27480797022581105,0.8888888888888888,0.8,0.525192029774189,0.8,40,32,0.8,0.125,0.8787878787878787,0.7,0.21875,0.8787878787878788,0.85,0.53125,0.8787878787878786,7
FOMAML,0.38,0.5099338511743503,0.6864760236275074,0.24666813566556248,0.024366544051603878,0.7246376811594203,0.5681818181818182,0.5438152741302144,0.5681818181818182,44,25,0.4,0.08,0.49999999999999994,0.3,0.12,0.5,0.45,0.36,0.49999999999999994,8
FOMAML,0.5972222222222222,0.7813899603324201,0.6613203153841968,0.23423829247982933,0.052517418251481165,0.7714285714285715,0.627906976744186,0.5986152873482815,0.627906976744186,43,27,1.0,0.18518518518518517,0.9999999999999999,0.9,0.3333333333333333,0.933745776545611,0.7,0.5185185185185185,0.7805952291631597,9
FOMAML,0.2742857142857143,0.6800823745140661,5.622305750000993,0.7765129684847084,0.7768481219950546,0.0,0.2222222222222222,0.0009296557827231784,0.7777777777777778,45,35,0.6,0.08571428571428572,0.529634717214042,0.4,0.11428571428571428,0.40995091484653434,0.7,0.4,0.619201586453293,10
FOMAML,0.4826086956521739,0.6903292671845895,0.6647618617728239,0.2358370063997039,0.1561305432608634,0.8214285714285714,0.696969696969697,0.5408391537088336,0.696969696969697,33,23,0.8,0.17391304347826086,0.689655172413793,0.8,0.34782608695652173,0.6896551724137931,0.75,0.6521739130434783,0.689655172413793,11
FOMAML,0.4982142857142857,0.7361447210463133,0.6676007592790365,0.23724097222760854,0.20784117830427062,0.8484848484848485,0.7368421052631579,0.5290009269588872,0.7368421052631579,38,28,1.0,0.17857142857142858,0.7352941176470588,1.0,0.35714285714285715,0.7352941176470589,0.9,0.6428571428571429,0.7352941176470588,12
FOMAML,0.46296296296296297,0.6260001290489096,0.6809961225110417,0.24392906242210927,0.11817104333922979,0.782608695652174,0.6428571428571429,0.5246860995179131,0.6428571428571429,42,27,0.2,0.037037037037037035,0.6249999999999999,0.3,0.1111111111111111,0.625,0.55,0.4074074074074074,0.6249999999999999,13
FOMAML,0.47115384615384615,0.5767889630694508,0.6828399221791389,0.24485433088348826,0.0531313243237409,0.7428571428571429,0.5909090909090909,0.53777776658535,0.5909090909090909,44,26,0.2,0.038461538461538464,0.5749999999999998,0.1,0.038461538461538464,0.575,0.5,0.38461538461538464,0.5749999999999998,14
FOMAML,0.46739130434782605,0.5737496933149107,0.6840191282670357,0.24544158366085356,0.05623925037873101,0.7419354838709677,0.5897435897435898,0.5335043393648587,0.5897435897435898,39,23,0.0,0.0,0.5714285714285713,0.2,0.08695652173913043,0.5714285714285714,0.45,0.391304347826087,0.5714285714285714,15
FOMAML,0.47058823529411764,0.6280751820919609,0.6799316690263402,0.24339819976630508,0.11451515948997348,0.7816091954022989,0.6415094339622641,0.5269942744722906,0.6415094339622641,53,34,0.4,0.058823529411764705,0.6274509803921567,0.7,0.20588235294117646,0.6274509803921569,0.85,0.5,0.6274509803921567,16
FOMAML,0.46153846153846156,0.5592810935834192,0.6833838991731789,0.24512878097357038,0.02767992681927145,0.7323943661971831,0.5777777777777777,0.5500978509585063,0.5777777777777777,45,26,0.2,0.038461538461538464,0.5581395348837208,0.1,0.038461538461538464,0.5581395348837209,0.5,0.38461538461538464,0.5581395348837208,17
FOMAML,0.5130208333333334,0.6460592049319729,0.6786984887174242,0.24278306820520157,0.11187961339950558,0.7804878048780488,0.64,0.5281203866004944,0.64,50,32,1.0,0.15625,0.6458333333333333,1.0,0.3125,0.6458333333333334,0.9,0.5625,0.6458333333333333,18
FOMAML,0.5,0.75,0.646444392926517,0.22672796662868677,0.1980605125427246,0.8571428571428571,0.75,0.5519394874572754,0.75,36,27,1.0,0.18518518518518517,0.7499999999999999,1.0,0.37037037037037035,0.75,0.95,0.7037037037037037,0.7499999999999999,19
