model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
FOMAML,0.5507246376811594,0.8144636472972305,0.5610591980269217,0.18557700790295573,0.14570925770134768,0.8846153846153846,0.7931034482758621,0.6473941905745144,0.7931034482758621,29,23,0.8,0.17391304347826086,0.8678320410547231,0.9,0.391304347826087,0.844018353259616,0.85,0.7391304347826086,0.8284080079267314,0
FOMAML,0.5422794117647058,0.8250088027706393,0.5651450895190133,0.18723660317209273,0.18138090769449866,0.8947368421052632,0.8095238095238095,0.6281429018293109,0.8095238095238095,42,34,1.0,0.14705882352941177,0.8782663536030344,0.8,0.23529411764705882,0.8563326937917517,0.9,0.5294117647058824,0.8419547441430419,1
FOMAML,0.5,0.6808510638297872,0.6277033622725233,0.21795207183401266,0.025674483877547227,0.810126582278481,0.6808510638297872,0.65517657995224,0.6808510638297872,47,32,1.0,0.15625,0.6808510638297871,1.0,0.3125,0.6808510638297872,1.0,0.625,0.6808510638297871,2
FOMAML,0.4714285714285714,0.7678881841672539,0.5873279974665168,0.19797361686993073,0.15776186254289415,0.875,0.7777777777777778,0.6200159152348836,0.7777777777777778,45,35,1.0,0.14285714285714285,0.7674418604651161,1.0,0.2857142857142857,0.7674418604651163,0.9,0.5142857142857142,0.7674418604651162,3
FOMAML,0.5360576923076923,0.7818743558781509,0.5790871969463848,0.19430143428152818,0.11884317152640389,0.8666666666666667,0.7647058823529411,0.6458627108265372,0.7647058823529411,34,26,0.6,0.11538461538461539,0.845804047897177,0.8,0.3076923076923077,0.8180214121362187,0.9,0.6923076923076923,0.7998093425811866,4
FOMAML,0.45652173913043476,0.7012359747545582,0.6057519310956597,0.2072728980006966,0.06849028915166855,0.8363636363636363,0.71875,0.6502597108483315,0.71875,32,23,0.8,0.17391304347826086,0.6999999999999998,0.9,0.391304347826087,0.7,0.9,0.782608695652174,0.6999999999999998,5
FOMAML,0.5,0.775,0.5700424870552219,0.18998896614864194,0.12495585680007937,0.8732394366197183,0.775,0.6500441431999207,0.775,40,31,1.0,0.16129032258064516,0.775,0.9,0.2903225806451613,0.775,0.95,0.6129032258064516,0.7749999999999999,6
FOMAML,0.548828125,0.8159370782726046,0.5669724227264835,0.18819643191672242,0.1692239582538605,0.8888888888888888,0.8,0.6307760417461395,0.8,40,32,0.8,0.125,0.8157894736842104,0.7,0.21875,0.8157894736842105,0.85,0.53125,0.8157894736842104,7
FOMAML,0.46,0.5488623779321454,0.714832698157074,0.2594500386648742,0.11685090986165125,0.7246376811594203,0.5681818181818182,0.6850327280434695,0.5681818181818182,44,25,0.2,0.04,0.5476190476190477,0.2,0.08,0.5476190476190477,0.45,0.36,0.5476190476190476,8
FOMAML,0.5138888888888888,0.6344689637372565,0.6619941118642466,0.2345209265762592,0.03232694642488343,0.7714285714285715,0.627906976744186,0.6602339231690695,0.627906976744186,43,27,0.2,0.037037037037037035,0.6341463414634145,0.5,0.18518518518518517,0.6341463414634146,0.6,0.4444444444444444,0.6341463414634145,9
