iteration,meta_loss,n_skipped,n_valid_tasks
1,13100.0703125,0,4
2,4970.1669921875,0,4
3,2766.67919921875,0,4
4,1505.567626953125,0,4
5,964.4880981445312,0,4
6,592.1971435546875,0,4
7,609.1142578125,0,4
8,109.82083892822266,0,4
9,50.32965087890625,0,4
10,196.08203125,0,4
11,164.88873291015625,0,4
12,50.03633499145508,0,4
13,117.48390197753906,0,4
14,94.33442687988281,0,4
15,158.00975036621094,0,4
16,275.24359130859375,0,4
17,36.073543548583984,0,4
18,18.881933212280273,0,4
19,53.579288482666016,0,4
20,35.88657760620117,0,4
21,36.53584289550781,0,4
22,21.731327056884766,0,4
23,56.09508514404297,0,4
24,26.993900299072266,0,4
25,36.348838806152344,0,4
26,71.55968475341797,0,4
27,9.434016227722168,0,4
28,81.37921905517578,0,4
29,150.24545288085938,0,4
30,68.35989379882812,0,4
31,34.16954040527344,0,4
32,22.14767074584961,0,4
33,47.533287048339844,0,4
34,32.39213943481445,0,4
35,14.878965377807617,0,4
36,49.96878433227539,0,4
37,80.88275909423828,0,4
38,43.975502014160156,0,4
39,33.742088317871094,0,4
40,45.547794342041016,0,4
41,15.709521293640137,0,4
42,24.23015594482422,0,4
43,37.044456481933594,0,4
44,36.245628356933594,0,4
45,25.1303768157959,0,4
46,36.41666030883789,0,4
47,46.65116500854492,0,4
48,33.22970962524414,0,4
49,4.475142478942871,0,4
50,7.514815330505371,0,4
51,0.5105284452438354,0,4
52,7.683533191680908,0,4
53,23.841093063354492,0,4
54,0.5850321650505066,0,4
55,73.57020568847656,0,4
56,43.16606140136719,0,4
57,34.329898834228516,0,4
58,39.264183044433594,0,4
59,35.8150749206543,0,4
60,110.70421600341797,0,4
61,57.4523811340332,0,4
62,68.48675537109375,0,4
63,37.57258987426758,0,4
64,8.553333282470703,0,4
65,0.7909194231033325,0,4
66,47.62572479248047,0,4
67,88.14152526855469,0,4
68,61.57191848754883,0,4
69,48.212554931640625,0,4
70,36.87445831298828,0,4
71,24.56143569946289,0,4
72,16.36168670654297,0,4
73,12.380851745605469,0,4
74,3.540644407272339,0,4
75,2.3292224407196045,0,4
76,12.252930641174316,0,4
77,6.197016716003418,0,4
78,15.646716117858887,0,4
79,19.14217185974121,0,4
80,0.6098957657814026,0,4
81,2.5174145698547363,0,4
82,5.5375213623046875,0,4
83,4.496566295623779,0,4
84,28.242958068847656,0,4
85,20.371601104736328,0,4
86,10.50422477722168,0,4
87,14.53937816619873,0,4
88,33.34696960449219,0,4
89,9.442869186401367,0,4
90,3.2609219551086426,0,4
91,35.127349853515625,0,4
92,48.943359375,0,4
93,55.77327346801758,0,4
94,40.79547119140625,0,4
95,4.4720964431762695,0,4
96,31.84731674194336,0,4
97,41.941993713378906,0,4
98,36.9287109375,0,4
99,35.288394927978516,0,4
100,16.905269622802734,0,4
101,13.810737609863281,0,4
102,28.72555160522461,0,4
103,27.08935546875,0,4
104,21.960994720458984,0,4
105,3.5590415000915527,0,4
106,19.736038208007812,0,4
107,19.918352127075195,0,4
108,11.393131256103516,0,4
109,3.226651906967163,0,4
110,10.561967849731445,0,4
111,18.65231704711914,0,4
112,8.953198432922363,0,4
113,1.7229872941970825,0,4
114,1.535830020904541,0,4
115,7.347877502441406,0,4
116,8.684659957885742,0,4
117,0.7522171139717102,0,4
118,11.720304489135742,0,4
119,11.307455062866211,0,4
120,11.090332984924316,0,4
121,2.150845527648926,0,4
122,16.166759490966797,0,4
123,17.715877532958984,0,4
124,12.075613975524902,0,4
125,4.968727111816406,0,4
126,3.9975829124450684,0,4
127,1.6234886646270752,0,4
128,7.085379123687744,0,4
129,5.541242599487305,0,4
130,0.7177072167396545,0,4
131,5.14788293838501,0,4
132,4.215834617614746,0,4
133,0.7080329060554504,0,4
134,14.111231803894043,0,4
135,39.44731140136719,0,4
136,38.944801330566406,0,4
137,15.64338493347168,0,4
138,3.6566684246063232,0,4
139,7.238339424133301,0,4
140,3.2154314517974854,0,4
141,18.489219665527344,0,4
142,20.449501037597656,0,4
143,2.912926435470581,0,4
144,6.59585428237915,0,4
145,20.652667999267578,0,4
146,14.750795364379883,0,4
147,11.032906532287598,0,4
148,1.1929489374160767,0,4
149,6.362491130828857,0,4
150,4.033021450042725,0,4
151,4.739414691925049,0,4
152,6.784829139709473,0,4
153,0.9578027725219727,0,4
154,1.6748367547988892,0,4
155,12.327210426330566,0,4
156,4.28004264831543,0,4
157,2.953866958618164,0,4
158,11.414377212524414,0,4
159,1.662992000579834,0,4
160,13.657538414001465,0,4
161,16.177188873291016,0,4
162,6.436735153198242,0,4
163,2.8839292526245117,0,4
164,15.183900833129883,0,4
165,15.830438613891602,0,4
166,27.263290405273438,0,4
167,13.541065216064453,0,4
168,10.767263412475586,0,4
169,4.835638999938965,0,4
