model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
MAML,0.44000000000000006,0.747780788137183,0.5805025443521858,0.19771922944844061,0.2014663577079773,0.8421052631578947,0.7272727272727273,0.6541661230000583,0.7272727272727273,55,40,1.0,0.125,0.9999999999999999,0.8,0.2,0.8701249883466594,0.5,0.25,0.6372416450898493,0
MAML,0.9500000000000001,0.9694486882476488,1.0256525565763361,0.3914770067030021,0.45023160316842664,0.0,0.3191489361702128,0.23061946066136055,0.6808510638297872,47,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,0.95,0.59375,0.963643712011461,1
MAML,0.42812500000000003,0.6747511284722969,0.8646187612022453,0.32688458721134783,0.330215560272336,0.18181818181818182,0.4375,0.30619957111775875,0.625,64,40,1.0,0.125,0.9999999999999999,0.8,0.2,0.8701249883466594,0.6,0.3,0.7036429084941517,2
MAML,0.6614583333333334,0.7564591532493374,0.669449659223034,0.23884443511049488,0.1862791420093604,0.4186046511627907,0.5535714285714286,0.4431289588766439,0.5714285714285714,56,32,1.0,0.15625,0.9999999999999999,0.9,0.28125,0.9363792118010483,0.65,0.40625,0.7482317900353196,3
MAML,0.9259259259259259,0.9625520343694537,0.7004574000039681,0.2359071096620113,0.20733628670374551,0.8275862068965517,0.7058823529411765,0.9047162147129283,0.7058823529411765,51,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,0.95,0.5277777777777778,0.963643712011461,4
MAML,0.59375,0.7260106057848978,0.9577298303591276,0.3624803114127844,0.3944744279142469,0.13953488372093023,0.421875,0.2515969502273947,0.625,64,40,1.0,0.125,0.9999999999999999,0.8,0.2,0.8701249883466594,0.55,0.275,0.669579936238169,5
MAML,0.6364583333333333,0.7486261033878386,0.8996237970543504,0.34094164141363137,0.39010152663104236,0.18181818181818182,0.4375,0.2785461775492877,0.625,64,40,1.0,0.125,0.9999999999999999,0.8,0.2,0.8701249883466594,0.6,0.3,0.7048567883562948,6
MAML,0.93,0.9610871577849626,0.5588279534563315,0.1874431133474982,0.1706885782155124,0.8421052631578947,0.7272727272727273,0.6266290220347318,0.7272727272727273,55,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,0.95,0.475,0.9603789329441843,7
MAML,0.5662878787878788,0.6634247799269676,0.7973501756269479,0.29844833886647076,0.25594236392241254,0.6597938144329897,0.49230769230769234,0.7410674599500803,0.49230769230769234,65,32,1.0,0.15625,0.9999999999999999,0.9,0.28125,0.933745776545611,0.65,0.40625,0.7432000171234538,8
MAML,0.26967592592592593,0.5002189001946798,0.966202170666196,0.3694750376575221,0.37602858543396,0.0,0.4,0.2487955351670583,0.6,60,36,0.4,0.05555555555555555,0.4703652827859579,0.3,0.08333333333333333,0.3836331529183766,0.4,0.2222222222222222,0.4263032875257699,9
MAML,0.6614583333333334,0.7564591532493374,0.669449659223034,0.23884443511049488,0.1862791420093604,0.4186046511627907,0.5535714285714286,0.4431289588766439,0.5714285714285714,56,32,1.0,0.15625,0.9999999999999999,0.9,0.28125,0.9363792118010483,0.65,0.40625,0.7482317900353196,10
MAML,0.6364583333333333,0.7486261033878386,0.8998737455921608,0.341035823350637,0.3902082243002951,0.18181818181818182,0.4375,0.2784555461257696,0.625,64,40,1.0,0.125,0.9999999999999999,0.8,0.2,0.8701249883466594,0.6,0.3,0.7048567883562948,11
