model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
MAML,,,0.3277067255671484,0.07856863558648781,0.27893685847520827,1.0,1.0,0.7210631415247917,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,0
MAML,,,0.32391520917422545,0.07716568196558138,0.27608489803969866,1.0,1.0,0.7239151019603014,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,1
MAML,,,0.3277041930397012,0.07856760659607227,0.27893504351377485,1.0,1.0,0.7210649564862252,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,2
MAML,,,0.32391485173214574,0.07716553807327953,0.276084640994668,1.0,1.0,0.723915359005332,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,3
MAML,,,0.32569241653342496,0.07781170188784407,0.2774332480298148,1.0,1.0,0.7225667519701852,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,4
MAML,,,0.3277067255671484,0.07856863558648781,0.27893685847520827,1.0,1.0,0.7210631415247917,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,5
MAML,,,0.32770617876579006,0.07856841302653486,0.2789364665746689,1.0,1.0,0.7210635334253311,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,6
MAML,,,0.32770617876579006,0.07856841302653486,0.2789364665746689,1.0,1.0,0.7210635334253311,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,7
MAML,,,0.32391485173214574,0.07716553807327953,0.276084640994668,1.0,1.0,0.723915359005332,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,8
MAML,,,16.5558539697323,0.9999998708417759,0.9999999354208857,0.0,0.0,6.457911430304522e-08,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,9
MAML,,,0.32391485173214574,0.07716553807327953,0.276084640994668,1.0,1.0,0.723915359005332,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,10
MAML,,,0.3277041930397012,0.07856760659607227,0.27893504351377485,1.0,1.0,0.7210649564862252,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,11
MAML,,,16.5558539697323,0.9999998708417759,0.9999999354208857,0.0,0.0,6.457911430304522e-08,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,12
MAML,,,0.32569294612619243,0.07781191615911087,0.2774336288372675,1.0,1.0,0.7225663711627325,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,13
MAML,,,14.797081132077757,0.9999992502781565,0.999999625139008,0.0,0.0,3.748609920251056e-07,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,14
MAML,,,0.3277067255671484,0.07856863558648781,0.27893685847520827,1.0,1.0,0.7210631415247917,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,15
MAML,,,14.793531839060439,0.9999992475861936,0.999999623793026,0.0,0.0,3.7620697401763437e-07,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,16
MAML,,,0.32569078313616323,0.07781104001851692,0.27743207580513424,1.0,1.0,0.7225679241948657,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,17
MAML,,,13.619009133758292,0.9999975650176844,0.9999987825081007,0.0,0.0,1.2174918992968742e-06,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,18
MAML,,,0.32569241653342496,0.07781170188784407,0.2774332480298148,1.0,1.0,0.7225667519701852,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,19
