iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,0.8914530873298645,4,0,0,0
2,1.3732916116714478,4,0,0,0
3,0.6782974004745483,4,0,0,0
4,1.4661811590194702,4,0,0,0
5,0.7267447113990784,4,0,0,0
6,0.8419029116630554,4,0,0,0
7,1.2559216022491455,4,0,0,0
8,1.2399570941925049,4,0,0,0
9,0.7602142691612244,4,0,0,0
10,1.0178160667419434,4,0,0,0
11,1.358664870262146,4,0,0,0
12,0.6156461238861084,4,0,0,0
13,0.5029579401016235,4,0,0,0
14,0.6668098568916321,4,0,0,0
15,0.9539566040039062,4,0,0,0
16,0.7487488985061646,4,0,0,0
17,0.9755268096923828,4,0,0,0
18,0.7076881527900696,4,0,0,0
19,0.8879881501197815,4,0,0,0
20,1.1271977424621582,4,0,0,0
21,1.1142141819000244,4,0,0,0
22,1.1007694005966187,4,0,0,0
23,0.5935128331184387,4,0,0,0
24,0.8302662968635559,4,0,0,0
25,0.5886046290397644,4,0,0,0
26,0.6447706818580627,4,0,0,0
27,1.0340101718902588,4,0,0,0
28,0.9531046152114868,4,0,0,0
29,0.6222768425941467,4,0,0,0
30,0.951374888420105,4,0,0,0
31,0.5489609837532043,4,0,0,0
32,1.0752003192901611,4,0,0,0
33,0.6151593327522278,4,0,0,0
34,0.4838602840900421,4,0,0,0
35,0.5196079611778259,4,0,0,0
36,0.5950510501861572,4,0,0,0
37,0.5645349025726318,4,0,0,0
38,0.5817404389381409,4,0,0,0
39,0.5005526542663574,4,0,0,0
40,0.8017564415931702,4,0,0,0
41,0.5635960102081299,4,0,0,0
42,0.44028714299201965,4,0,0,0
43,0.5530311465263367,4,0,0,0
44,0.4301748275756836,4,0,0,0
45,0.9168024659156799,4,0,0,0
46,0.5032537579536438,4,0,0,0
47,0.6869823336601257,4,0,0,0
48,0.8846356868743896,4,0,0,0
49,0.48438847064971924,4,0,0,0
50,0.401101291179657,4,0,0,0
51,0.7600109577178955,4,0,0,0
52,0.43808889389038086,4,0,0,0
53,0.5577623844146729,4,0,0,0
54,0.7307367324829102,4,0,0,0
55,0.42596474289894104,4,0,0,0
56,0.48494553565979004,4,0,0,0
57,0.5697600245475769,4,0,0,0
58,0.7789291143417358,4,0,0,0
59,0.4868195056915283,4,0,0,0
60,0.5504838228225708,4,0,0,0
61,0.5862972736358643,4,0,0,0
62,0.5797533392906189,4,0,0,0
63,0.4698721766471863,4,0,0,0
64,0.41113242506980896,4,0,0,0
65,0.38855236768722534,4,0,0,0
66,0.5701064467430115,4,0,0,0
67,0.44257110357284546,4,0,0,0
68,0.6190048456192017,4,0,0,0
69,0.377171128988266,4,0,0,0
70,0.5337269306182861,4,0,0,0
71,0.4544149339199066,4,0,0,0
72,0.3567727208137512,4,0,0,0
73,0.42396512627601624,4,0,0,0
74,0.4301644265651703,4,0,0,0
75,0.35361766815185547,4,0,0,0
76,0.41550442576408386,4,0,0,0
77,0.4610183537006378,4,0,0,0
78,0.3550853729248047,4,0,0,0
79,0.4523316025733948,4,0,0,0
80,0.4007406234741211,4,0,0,0
81,0.3573521077632904,4,0,0,0
82,0.39895114302635193,4,0,0,0
83,0.3539648950099945,4,0,0,0
84,0.34255144000053406,4,0,0,0
85,0.3412577509880066,4,0,0,0
86,0.47237104177474976,4,0,0,0
87,0.34159496426582336,4,0,0,0
88,0.5208038091659546,4,0,0,0
89,0.3360495865345001,4,0,0,0
90,0.5115939974784851,4,0,0,0
91,0.5458551049232483,4,0,0,0
92,0.3281698226928711,4,0,0,0
93,0.38367760181427,4,0,0,0
94,0.49210238456726074,4,0,0,0
95,0.5299619436264038,4,0,0,0
96,0.3214522898197174,4,0,0,0
97,0.3129798173904419,4,0,0,0
98,0.4733909070491791,4,0,0,0
99,0.37319669127464294,4,0,0,0
100,0.39280250668525696,4,0,0,0
101,0.3750108480453491,4,0,0,0
102,0.5251120924949646,4,0,0,0
103,0.3853575587272644,4,0,0,0
104,0.4485795795917511,4,0,0,0
105,0.31806543469429016,4,0,0,0
106,0.3524578809738159,4,0,0,0
107,0.41812944412231445,4,0,0,0
108,0.3200855255126953,4,0,0,0
109,0.4004229009151459,4,0,0,0
110,0.28218334913253784,4,0,0,0
111,0.24710537493228912,4,0,0,0
112,0.3497825860977173,4,0,0,0
113,0.36811354756355286,4,0,0,0
114,0.34950655698776245,4,0,0,0
115,0.46557649970054626,4,0,0,0
116,0.3464164137840271,4,0,0,0
117,0.29211917519569397,4,0,0,0
118,0.3022170960903168,4,0,0,0
119,0.39100998640060425,4,0,0,0
120,0.4560890793800354,4,0,0,0
121,0.3750220835208893,4,0,0,0
122,0.286908894777298,4,0,0,0
123,0.37099409103393555,4,0,0,0
124,0.38818517327308655,4,0,0,0
125,0.2942229211330414,4,0,0,0
126,0.22613461315631866,4,0,0,0
127,0.3056890666484833,4,0,0,0
128,0.4302780032157898,4,0,0,0
129,0.33346763253211975,4,0,0,0
130,0.2205464094877243,4,0,0,0
131,0.30140501260757446,4,0,0,0
132,0.4272221326828003,4,0,0,0
133,0.34450972080230713,4,0,0,0
134,0.2411201447248459,4,0,0,0
135,0.3425617516040802,4,0,0,0
136,0.2382030487060547,4,0,0,0
137,0.27263936400413513,4,0,0,0
138,0.280449241399765,4,0,0,0
139,0.3398320972919464,4,0,0,0
140,0.32551154494285583,4,0,0,0
141,0.20633572340011597,4,0,0,0
142,0.2771545350551605,4,0,0,0
143,0.2907884418964386,4,0,0,0
144,0.2897661030292511,4,0,0,0
145,0.3497857451438904,4,0,0,0
146,0.3369569182395935,4,0,0,0
147,0.3358118236064911,4,0,0,0
148,0.3295961618423462,4,0,0,0
149,0.3282512128353119,4,0,0,0
150,0.308364599943161,4,0,0,0
151,0.3785654306411743,4,0,0,0
152,0.21913841366767883,4,0,0,0
153,0.2677915096282959,4,0,0,0
154,0.2783621549606323,4,0,0,0
155,0.3289356827735901,4,0,0,0
156,0.2652617394924164,4,0,0,0
157,0.25837671756744385,4,0,0,0
158,0.25776463747024536,4,0,0,0
159,0.3336774408817291,4,0,0,0
160,0.3262374997138977,4,0,0,0
161,0.3316132724285126,4,0,0,0
162,0.32450637221336365,4,0,0,0
163,0.20882606506347656,4,0,0,0
164,0.25376638770103455,4,0,0,0
165,0.25307497382164,4,0,0,0
166,0.2965998351573944,4,0,0,0
167,0.2582833170890808,4,0,0,0
168,0.18126356601715088,4,0,0,0
169,0.3173435926437378,4,0,0,0
170,0.3231549561023712,4,0,0,0
171,0.32220762968063354,4,0,0,0
172,0.321117103099823,4,0,0,0
173,0.29085665941238403,4,0,0,0
174,0.25438934564590454,4,0,0,0
175,0.25378552079200745,4,0,0,0
176,0.3050839900970459,4,0,0,0
177,0.24552325904369354,4,0,0,0
178,0.28942883014678955,4,0,0,0
179,0.3017013967037201,4,0,0,0
180,0.30388033390045166,4,0,0,0
181,0.29953598976135254,4,0,0,0
182,0.30613160133361816,4,0,0,0
183,0.3342406749725342,4,0,0,0
184,0.33301404118537903,4,0,0,0
185,0.2493637055158615,4,0,0,0
186,0.29410916566848755,4,0,0,0
187,0.1935386210680008,4,0,0,0
188,0.2386171817779541,4,0,0,0
189,0.2941458523273468,4,0,0,0
190,0.29803356528282166,4,0,0,0
191,0.19088725745677948,4,0,0,0
192,0.2745893597602844,4,0,0,0
193,0.23586733639240265,4,0,0,0
194,0.18890036642551422,4,0,0,0
195,0.23486025631427765,4,0,0,0
196,0.18761466443538666,4,0,0,0
197,0.1869572252035141,4,0,0,0
198,0.3472370207309723,4,0,0,0
199,0.31167614459991455,4,0,0,0
200,0.28394052386283875,4,0,0,0
