model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
ANIL,0.45833333333333326,0.6403050108932462,1.2565562451206969,0.38176830918630944,0.4432278540368904,0.5263157894736842,0.47058823529411764,0.4998280456673135,0.5294117647058824,17,9,0.6,0.3333333333333333,0.6843515475204854,0.5,0.5555555555555556,0.6259391255210975,0.5294117647058824,1.0,0.8620896624025243,0
ANIL,0.6666666666666666,0.9074938949938949,1.5812009860262073,0.37065954219890684,0.44329882834426826,0.4,0.4375,0.33045872438378865,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,0.8,0.6666666666666666,0.8701249883466594,0.75,1.0,0.9752554009722034,1
ANIL,0.6212121212121212,0.8029695349214067,0.7079394903581638,0.24884073241682667,0.3491981432718389,0.75,0.6470588235294118,0.7000968649106867,0.6470588235294118,17,11,0.8,0.36363636363636365,0.8539316501572934,0.7,0.6363636363636364,0.7655934900767002,0.6470588235294118,1.0,0.935647780820461,2
ANIL,0.5833333333333334,0.8797161172161172,2.0719239940277543,0.48926997939821126,0.5544495057702079,0.2857142857142857,0.375,0.1955504942297921,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,0.7,0.5833333333333334,0.8006937664098821,0.75,1.0,0.9663747751269386,3
ANIL,0.5833333333333333,0.7536027568922307,1.1091438609211397,0.3182502976989272,0.3856714845518581,0.64,0.55,0.5485152422566898,0.6,20,12,0.6,0.25,0.7227265726449517,0.8,0.6666666666666666,0.8200685179888283,0.6,1.0,0.9170872548307155,4
ANIL,0.45833333333333326,0.6403050108932462,1.2565562451206969,0.38176830918630944,0.4432278540368904,0.5263157894736842,0.47058823529411764,0.4998280456673135,0.5294117647058824,17,9,0.6,0.3333333333333333,0.6843515475204854,0.5,0.5555555555555556,0.6259391255210975,0.5294117647058824,1.0,0.8620896624025243,5
ANIL,0.4444444444444444,0.7945437278770613,1.631190266548218,0.4049068420087447,0.5580493565827894,0.5,0.5384615384615384,0.34230200729619426,0.6923076923076923,13,9,0.8,0.4444444444444444,0.8687949224876581,0.6,0.6666666666666666,0.7407933245435486,0.6923076923076923,1.0,0.9316105022058155,6
ANIL,0.4444444444444444,0.7945437278770613,1.631190266548218,0.4049068420087447,0.5580493565827894,0.5,0.5384615384615384,0.34230200729619426,0.6923076923076923,13,9,0.8,0.4444444444444444,0.8687949224876581,0.6,0.6666666666666666,0.7407933245435486,0.6923076923076923,1.0,0.9316105022058155,7
ANIL,0.7159090909090909,0.8419755682913579,1.2766482332301108,0.37489960328452665,0.41146104586751836,0.7333333333333333,0.5789473684210527,0.9267645572361193,0.5789473684210527,19,11,1.0,0.45454545454545453,0.9999999999999999,0.8,0.7272727272727273,0.8521705090845473,0.5789473684210527,1.0,0.9541361859532843,8
ANIL,0.71875,0.8229166666666667,1.2801632400126044,0.42842181092340137,0.44853200344368815,0.6086956521739131,0.4375,0.8378075701184571,0.5,16,8,0.8,0.5,0.8687949224876581,0.6,0.75,0.817834171108954,0.5,1.0,0.9444594550563762,9
