iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,0.6572268009185791,4,0,0,0
2,0.443167507648468,4,0,0,0
3,0.4520610272884369,4,0,0,0
4,0.48025044798851013,4,0,0,0
5,0.43529802560806274,4,0,0,0
6,0.6339796781539917,4,0,0,0
7,0.7521651983261108,4,0,0,0
8,0.7468596696853638,4,0,0,0
9,0.43582457304000854,4,0,0,0
10,0.44408366084098816,4,0,0,0
11,0.45785456895828247,4,0,0,0
12,0.4271787106990814,4,0,0,0
13,0.9777575135231018,4,0,0,0
14,0.44911882281303406,4,0,0,0
15,0.43394625186920166,4,0,0,0
16,0.5926691293716431,4,0,0,0
17,0.40307939052581787,4,0,0,0
18,0.41287967562675476,4,0,0,0
19,0.953790009021759,4,0,0,0
20,0.43177279829978943,4,0,0,0
21,0.42257824540138245,4,0,0,0
22,0.42071589827537537,4,0,0,0
23,0.3929879367351532,4,0,0,0
24,0.9323185086250305,4,0,0,0
25,0.4230053424835205,4,0,0,0
26,0.3933977782726288,4,0,0,0
27,0.4194713532924652,4,0,0,0
28,0.5558376908302307,4,0,0,0
29,0.37753912806510925,4,0,0,0
30,0.4517841339111328,4,0,0,0
31,0.41031989455223083,4,0,0,0
32,0.3804697096347809,4,0,0,0
33,0.7760518193244934,4,0,0,0
34,0.36795514822006226,4,0,0,0
35,0.3691791892051697,4,0,0,0
36,0.532295823097229,4,0,0,0
37,0.37041643261909485,4,0,0,0
38,0.5261858105659485,4,0,0,0
39,0.39241543412208557,4,0,0,0
40,0.6195146441459656,4,0,0,0
41,0.3644963800907135,4,0,0,0
42,0.3608565032482147,4,0,0,0
43,0.3548630177974701,4,0,0,0
44,0.35697802901268005,4,0,0,0
45,0.3786223232746124,4,0,0,0
46,0.3495853543281555,4,0,0,0
47,0.34484919905662537,4,0,0,0
48,0.37220317125320435,4,0,0,0
49,0.34145113825798035,4,0,0,0
50,0.3456740975379944,4,0,0,0
51,0.3741019070148468,4,0,0,0
52,0.3640950918197632,4,0,0,0
53,0.5765051245689392,4,0,0,0
54,0.36988914012908936,4,0,0,0
55,0.3389893174171448,4,0,0,0
56,0.47490060329437256,4,0,0,0
57,0.36573293805122375,4,0,0,0
58,0.35204407572746277,4,0,0,0
59,0.33247026801109314,4,0,0,0
60,0.6962143778800964,4,0,0,0
61,0.37145885825157166,4,0,0,0
62,0.3212008774280548,4,0,0,0
63,0.3264589309692383,4,0,0,0
64,0.6830003261566162,4,0,0,0
65,0.32002824544906616,4,0,0,0
66,0.44966045022010803,4,0,0,0
67,0.4470607340335846,4,0,0,0
68,0.31603291630744934,4,0,0,0
69,0.31471461057662964,4,0,0,0
70,0.3608713150024414,4,0,0,0
71,0.7719005942344666,4,0,0,0
72,0.7676882147789001,4,0,0,0
73,0.43166467547416687,4,0,0,0
74,0.3081851899623871,4,0,0,0
75,0.7536431550979614,4,0,0,0
76,0.4240294396877289,4,0,0,0
77,0.34061214327812195,4,0,0,0
78,0.33940112590789795,4,0,0,0
79,0.6192134022712708,4,0,0,0
