model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
ANIL,0.9788583509513742,0.9942404268365256,0.4438755404980234,0.14870050815008862,0.29150571798284847,0.7887323943661971,0.7222222222222222,0.5370267600648932,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,1.0,0.23255813953488372,1.0,1.0,0.46511627906976744,0.9999999999999999,0
ANIL,0.9830866807610993,0.9955149571808234,0.2619997604627344,0.07521358471008188,0.1704856593299795,0.9523809523809523,0.9259259259259259,0.6812566734022565,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,1.0,0.23255813953488372,1.0,1.0,0.46511627906976744,0.9999999999999999,1
ANIL,0.9830866807610993,0.9955149571808234,0.2619997604627344,0.07521358471008188,0.1704856593299795,0.9523809523809523,0.9259259259259259,0.6812566734022565,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,1.0,0.23255813953488372,1.0,1.0,0.46511627906976744,0.9999999999999999,2
ANIL,0.9788583509513742,0.9942404268365256,0.4438755404980234,0.14870050815008862,0.29150571798284847,0.7887323943661971,0.7222222222222222,0.5370267600648932,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,1.0,0.23255813953488372,1.0,1.0,0.46511627906976744,0.9999999999999999,3
ANIL,0.9873150105708245,0.9967232552067469,0.4533810821936168,0.15207887936922923,0.30042226343519157,0.7887323943661971,0.7222222222222222,0.5272430369837416,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,1.0,0.23255813953488372,1.0,1.0,0.46511627906976744,0.9999999999999999,4
ANIL,0.988394584139265,0.997259967071073,0.22446959788460286,0.06071239829774993,0.1341115990332488,0.967741935483871,0.9482758620689655,0.7169841809262489,0.8103448275862069,58,47,1.0,0.10638297872340426,0.9999999999999999,1.0,0.2127659574468085,1.0,1.0,0.425531914893617,0.9999999999999999,5
ANIL,0.9830866807610993,0.9955149571808234,0.275412403795417,0.0810955307009712,0.17985110743730154,0.9397590361445783,0.9074074074074074,0.669383466657665,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,1.0,0.23255813953488372,1.0,1.0,0.46511627906976744,0.9999999999999999,6
ANIL,0.9830866807610993,0.9955149571808234,0.275412403795417,0.0810955307009712,0.17985110743730154,0.9397590361445783,0.9074074074074074,0.669383466657665,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,1.0,0.23255813953488372,1.0,1.0,0.46511627906976744,0.9999999999999999,7
ANIL,0.9922630560928433,0.998216339304041,0.22484689993869283,0.05944607959888732,0.1500411677206385,0.967741935483871,0.9482758620689655,0.7119699599670952,0.8103448275862069,58,47,1.0,0.10638297872340426,0.9999999999999999,1.0,0.2127659574468085,1.0,1.0,0.425531914893617,0.9999999999999999,8
ANIL,0.9830866807610993,0.9955149571808234,0.3264196428133006,0.10233293388747206,0.20745184313919807,0.8974358974358975,0.8518518518518519,0.6250443813149575,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,1.0,0.23255813953488372,1.0,1.0,0.46511627906976744,0.9999999999999999,9
ANIL,0.9964349376114082,0.9992384585810195,0.2739190897854975,0.0785868171423803,0.20186027596073763,0.9484536082474226,0.9193548387096774,0.6684264204194469,0.8225806451612904,62,51,1.0,0.09803921568627451,0.9999999999999999,1.0,0.19607843137254902,1.0,1.0,0.39215686274509803,0.9999999999999999,10
ANIL,0.9964349376114082,0.9992384585810195,0.24956537432920667,0.06782578484161715,0.18546350180141385,0.9702970297029703,0.9516129032258065,0.6929467861210147,0.8225806451612904,62,51,1.0,0.09803921568627451,0.9999999999999999,1.0,0.19607843137254902,1.0,1.0,0.39215686274509803,0.9999999999999999,11
ANIL,0.9875222816399287,0.9971941993108606,0.2456768640998321,0.06755556580067654,0.17980082128797803,0.9702970297029703,0.9516129032258065,0.7008070660935294,0.8225806451612904,62,51,1.0,0.09803921568627451,0.9999999999999999,1.0,0.19607843137254902,1.0,1.0,0.39215686274509803,0.9999999999999999,12
ANIL,0.9788583509513742,0.9942404268365256,0.4438755404980234,0.14870050815008862,0.29150571798284847,0.7887323943661971,0.7222222222222222,0.5370267600648932,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,1.0,0.23255813953488372,1.0,1.0,0.46511627906976744,0.9999999999999999,13
ANIL,0.9964349376114082,0.9992384585810195,0.2708835314444785,0.07725090018840014,0.19987577139850585,0.9484536082474226,0.9193548387096774,0.6711650465524965,0.8225806451612904,62,51,1.0,0.09803921568627451,0.9999999999999999,1.0,0.19607843137254902,1.0,1.0,0.39215686274509803,0.9999999999999999,14
ANIL,0.9788583509513742,0.9942404268365256,0.4438755404980234,0.14870050815008862,0.29150571798284847,0.7887323943661971,0.7222222222222222,0.5370267600648932,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,1.0,0.23255813953488372,1.0,1.0,0.46511627906976744,0.9999999999999999,15
ANIL,0.9946524064171123,0.9988463017182743,0.2373464877529159,0.06262475246030652,0.17648390752653922,0.9803921568627451,0.967741935483871,0.7077872344563084,0.8225806451612904,62,51,1.0,0.09803921568627451,0.9999999999999999,1.0,0.19607843137254902,1.0,1.0,0.39215686274509803,0.9999999999999999,16
ANIL,0.9964349376114082,0.9992384585810195,0.2707413178986521,0.0771698309284635,0.19979491877940392,0.9484536082474226,0.9193548387096774,0.6713743637646398,0.8225806451612904,62,51,1.0,0.09803921568627451,0.9999999999999999,1.0,0.19607843137254902,1.0,1.0,0.39215686274509803,0.9999999999999999,17
ANIL,0.9725158562367864,0.9924088886937996,0.27744884057235664,0.08308158125835295,0.1649410560451172,0.926829268292683,0.8888888888888888,0.6735857318120974,0.7962962962962963,54,43,1.0,0.11627906976744186,0.9999999999999999,1.0,0.23255813953488372,1.0,1.0,0.46511627906976744,0.9999999999999999,18
ANIL,0.988394584139265,0.997259967071073,0.22446959788460286,0.06071239829774993,0.1341115990332488,0.967741935483871,0.9482758620689655,0.7169841809262489,0.8103448275862069,58,47,1.0,0.10638297872340426,0.9999999999999999,1.0,0.2127659574468085,1.0,1.0,0.425531914893617,0.9999999999999999,19
