real_k_pos,real_k_neg,synthetic_k_pos,synthetic_k_neg,effective_k_pos,effective_k_neg,n_real_support_rows,n_synthetic_support_rows,n_effective_support_rows,n_real_support_contracts,n_synthetic_support_contracts,episode_idx,augmentation_method,synthetic_proportion,n_query_rows,n_query_pos,n_query_neg,n_query_synthetic_rows
11,11,0,0,11,11,22,0,22,2,0,0,smote_nc,0.5,54,43,11,0
11,11,0,0,11,11,22,0,22,2,0,1,smote_nc,0.5,54,43,11,0
11,11,0,0,11,11,22,0,22,2,0,2,smote_nc,0.5,54,43,11,0
11,11,0,0,11,11,22,0,22,2,0,3,smote_nc,0.5,54,43,11,0
11,11,0,0,11,11,22,0,22,2,0,4,smote_nc,0.5,54,43,11,0
7,11,0,0,7,11,18,0,18,2,0,5,smote_nc,0.5,58,47,11,0
11,11,0,0,11,11,22,0,22,2,0,6,smote_nc,0.5,54,43,11,0
11,11,0,0,11,11,22,0,22,2,0,7,smote_nc,0.5,54,43,11,0
7,11,0,0,7,11,18,0,18,2,0,8,smote_nc,0.5,58,47,11,0
11,11,0,0,11,11,22,0,22,2,0,9,smote_nc,0.5,54,43,11,0
3,11,2,0,5,11,14,2,16,2,2,10,smote_nc,0.5,62,51,11,0
3,11,2,0,5,11,14,2,16,2,2,11,smote_nc,0.5,62,51,11,0
3,11,2,0,5,11,14,2,16,2,2,12,smote_nc,0.5,62,51,11,0
11,11,0,0,11,11,22,0,22,2,0,13,smote_nc,0.5,54,43,11,0
3,11,2,0,5,11,14,2,16,2,2,14,smote_nc,0.5,62,51,11,0
11,11,0,0,11,11,22,0,22,2,0,15,smote_nc,0.5,54,43,11,0
3,11,2,0,5,11,14,2,16,2,2,16,smote_nc,0.5,62,51,11,0
3,11,2,0,5,11,14,2,16,2,2,17,smote_nc,0.5,62,51,11,0
11,11,0,0,11,11,22,0,22,2,0,18,smote_nc,0.5,54,43,11,0
7,11,0,0,7,11,18,0,18,2,0,19,smote_nc,0.5,58,47,11,0
