iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,1.3771549463272095,4,0,0,0
2,1.1171585321426392,4,0,0,0
3,1.7655671834945679,4,0,0,0
4,0.8506256937980652,4,0,0,0
5,1.6511539220809937,4,0,0,0
6,1.0134674310684204,4,0,0,0
7,0.680246889591217,4,0,0,0
8,0.602199912071228,4,0,0,0
9,0.8224402666091919,4,0,0,0
10,0.4561324715614319,4,0,0,0
11,0.8057016134262085,4,0,0,0
12,0.9429485201835632,4,0,0,0
13,0.48544803261756897,4,0,0,0
14,1.0109614133834839,4,0,0,0
15,0.5477074384689331,4,0,0,0
16,0.7325502038002014,4,0,0,0
17,0.4761623442173004,4,0,0,0
18,0.7278000116348267,4,0,0,0
19,0.6314151287078857,4,0,0,0
20,0.46997523307800293,4,0,0,0
21,0.43177270889282227,4,0,0,0
22,0.46525803208351135,4,0,0,0
23,1.3760324716567993,4,0,0,0
24,1.448832392692566,4,0,0,0
25,0.6957708597183228,4,0,0,0
26,0.8477637767791748,4,0,0,0
27,0.4018919765949249,4,0,0,0
28,1.0156611204147339,4,0,0,0
29,0.4505574107170105,4,0,0,0
30,0.41354814171791077,4,0,0,0
31,0.8448923230171204,4,0,0,0
32,0.5202279686927795,4,0,0,0
33,0.9968917369842529,4,0,0,0
34,0.4360334873199463,4,0,0,0
35,0.909267008304596,4,0,0,0
36,0.7216974496841431,4,0,0,0
37,1.191515326499939,4,0,0,0
38,0.7567565441131592,4,0,0,0
39,0.4926449954509735,4,0,0,0
40,1.1494325399398804,4,0,0,0
41,0.8434033989906311,4,0,0,0
42,0.4122993052005768,4,0,0,0
43,0.5523080825805664,4,0,0,0
44,1.081586241722107,4,0,0,0
45,0.45867809653282166,4,0,0,0
46,0.7886361479759216,4,0,0,0
47,0.4250315725803375,4,0,0,0
48,0.6473948955535889,4,0,0,0
49,0.3945097029209137,4,0,0,0
50,0.39394158124923706,4,0,0,0
51,0.2592392861843109,4,0,0,0
52,0.6568052768707275,4,0,0,0
53,0.5051695108413696,4,0,0,0
54,0.4159030020236969,4,0,0,0
55,0.6400315761566162,4,0,0,0
56,0.6795647144317627,4,0,0,0
57,0.414947509765625,4,0,0,0
58,0.5864238142967224,4,0,0,0
59,0.6166440844535828,4,0,0,0
60,0.3677588999271393,4,0,0,0
61,0.49360066652297974,4,0,0,0
62,0.3616919219493866,4,0,0,0
63,0.9033347964286804,4,0,0,0
64,0.3617512285709381,4,0,0,0
65,0.5590053796768188,4,0,0,0
66,0.4245567321777344,4,0,0,0
67,0.9106329679489136,4,0,0,0
68,0.6347662806510925,4,0,0,0
69,0.8531060814857483,4,0,0,0
70,0.43585965037345886,4,0,0,0
71,0.6570659279823303,4,0,0,0
72,0.4307354688644409,4,0,0,0
73,0.39461180567741394,4,0,0,0
74,0.4966682493686676,4,0,0,0
75,0.8246476650238037,4,0,0,0
76,0.511111855506897,4,0,0,0
77,0.395289808511734,4,0,0,0
78,0.3946971595287323,4,0,0,0
79,0.38766294717788696,4,0,0,0
80,0.3031451404094696,4,0,0,0
81,0.4917204678058624,4,0,0,0
82,0.3598457872867584,4,0,0,0
83,0.38610103726387024,4,0,0,0
84,0.3272632956504822,4,0,0,0
85,0.5104227662086487,4,0,0,0
86,0.6923006772994995,4,0,0,0
87,0.3041938841342926,4,0,0,0
88,0.31848061084747314,4,0,0,0
89,0.45175620913505554,4,0,0,0
90,0.3314169943332672,4,0,0,0
91,0.45445629954338074,4,0,0,0
92,0.6752786636352539,4,0,0,0
93,0.3534599542617798,4,0,0,0
94,0.3125087320804596,4,0,0,0
95,0.319782018661499,4,0,0,0
