model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
ANIL,,,0.2461280326234097,0.07199120252478611,0.19387836605310435,0.961038961038961,0.925,0.8061216339468956,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,0
ANIL,,,0.29619328140094014,0.09428198434523241,0.21991084422916177,0.9508196721311475,0.90625,0.7800891557708383,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,1
ANIL,,,0.2320710055699892,0.06589647041736131,0.18511875793337823,0.9743589743589743,0.95,0.8148812420666218,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,2
ANIL,,,0.25209033014916654,0.0780914356591518,0.18884724657982588,0.9508196721311475,0.90625,0.8111527534201741,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,3
ANIL,,,0.24896554390276052,0.0747753855890485,0.1876556426286697,0.9565217391304348,0.9166666666666666,0.8123443573713303,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,4
ANIL,,,0.2461280326234097,0.07199120252478611,0.19387836605310435,0.961038961038961,0.925,0.8061216339468956,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,5
ANIL,,,0.2979931733222142,0.09246461299382318,0.22897905558347703,0.9333333333333333,0.875,0.771020944416523,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,6
ANIL,,,0.2979931733222142,0.09246461299382318,0.22897905558347703,0.9333333333333333,0.875,0.771020944416523,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,7
ANIL,,,0.25209033014916654,0.0780914356591518,0.18884724657982588,0.9508196721311475,0.90625,0.8111527534201741,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,8
ANIL,,,0.321757835477221,0.09559632390170665,0.24359721110926733,0.9565217391304348,0.9166666666666666,0.7564027888907326,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,9
ANIL,,,0.25209033014916654,0.0780914356591518,0.18884724657982588,0.9508196721311475,0.90625,0.8111527534201741,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,10
ANIL,,,0.2320710055699892,0.06589647041736131,0.18511875793337823,0.9743589743589743,0.95,0.8148812420666218,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,11
ANIL,,,0.321757835477221,0.09559632390170665,0.24359721110926733,0.9565217391304348,0.9166666666666666,0.7564027888907326,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,12
ANIL,,,0.20679410948531043,0.059539101065010515,0.15779847982856965,0.9714285714285714,0.9444444444444444,0.8422015201714304,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,13
ANIL,,,0.3856834256622075,0.12228731777589286,0.2861253544688225,0.9152542372881356,0.84375,0.7138746455311775,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,14
ANIL,,,0.2461280326234097,0.07199120252478611,0.19387836605310435,0.961038961038961,0.925,0.8061216339468956,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,15
ANIL,,,0.4436788116524848,0.1449223861725454,0.32477371906861663,0.896551724137931,0.8125,0.6752262809313834,1.0,32,32,1.0,0.15625,0.9999999999999999,1.0,0.3125,1.0,1.0,0.625,0.9999999999999999,16
ANIL,,,0.19400479274767635,0.054219129272198394,0.149560063249535,0.9714285714285714,0.9444444444444444,0.8504399367504649,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,17
ANIL,,,0.3949563203944262,0.12509435773500482,0.2990172572433949,0.8732394366197183,0.775,0.7009827427566051,1.0,40,40,1.0,0.125,0.9999999999999999,1.0,0.25,1.0,1.0,0.5,0.9999999999999999,18
ANIL,,,0.24896554390276052,0.0747753855890485,0.1876556426286697,0.9565217391304348,0.9166666666666666,0.8123443573713303,1.0,36,36,1.0,0.1388888888888889,0.9999999999999999,1.0,0.2777777777777778,1.0,1.0,0.5555555555555556,0.9999999999999999,19
